1,035$a,074$a,086$a,264$c,856,955$b,245$a,245$b
1107882,(OCoLC)1135857545,0968-H-01 (online),J 26.2:OP 3/7,2019,https://purl.fdlp.gov/GPO/gpo126957;Address at time of PURL creationhttps://www.coapresources.org/Content/Documents/BriefingSheets/BJA_COAP_Support_to_Tribal_Communities.pdf,20200114,Bureau of Justice Assistance Comprehensive Opioid Abuse Program: support to tribal communities.,
1111172,(OCoLC)1111259282,0546-D (online),GA 1.13:GAO-18-266,2018,https://purl.fdlp.gov/GPO/gpo129255;Address at time of PURL creationhttps://www.gao.gov/assets/700/691428.pdf,20191205,Office of Navajo and Hopi Indian Relocation :,executive branch and legislative action needed for closure and transfer of activities : report to congressional requesters.
1111314,(OCoLC)1043671308,0998 (online),Y 1.2:IN 2/25/,-2018,https://purl.fdlp.gov/GPO/gpo129037;Address at time of PURL creationhttps://digitalcommons.law.ou.edu/indianserialset/,20191206,"American Indian and Alaskan Native Documents in the Congressional Serial Set, 1817-1899.",
1111718,(OCoLC)1130757804,1009-D-05 (online),Y 4.IN 2/11:S.HRG.116-67,2019,PDF versionhttps://purl.fdlp.gov/GPO/gpo129678;Text versionhttps://purl.fdlp.gov/GPO/gpo129680;Address at time of PURL creationPDF versionhttps://www.govinfo.gov/content/pkg/CHRG-116shrg37844/pdf/CHRG-116shrg37844.pdf;Address at time of PURL creationText versionhttps://www.govinfo.gov/content/pkg/CHRG-116shrg37844/html/CHRG-116shrg37844.htm,20191213,"S. 227, S. 288, S. 290, S. 982, and S. 1853 :","hearing before the Committee on Indian Affairs, United States Senate, One Hundred Sixteenth Congress, first session, June 19, 2019."
1112385,(OCoLC)1134447716,1008-G (online),Y 1.1/5:116-189,2019,https://purl.fdlp.gov/GPO/gpo130210;Address at time of PURL creationhttps://www.govinfo.gov/content/pkg/CRPT-116srpt189/pdf/CRPT-116srpt189.pdf,20191231,To amend the Omnibus Public Land Management Act of 2009 to make the Reclamation Water Settlements Fund permanent :,report (to accompany S. 886) (including cost estimate of the Congressional Budget Office).
1112410,(OCoLC)1134609598,1009-D-05 (online),Y 4.IN 2/11:S.HRG.116-94,2019,https://purl.fdlp.gov/GPO/gpo130236;Address at time of PURL creationhttps://www.govinfo.gov/content/pkg/CHRG-116shrg38548/pdf/CHRG-116shrg38548.pdf,20200102,America's nuclear past :,"examining the effects of radiation in Indian country : hearing before the Committee on Indian Affairs, United States Senate, One Hundred Sixteenth Congress, first session, October 7, 2019."
1112747,(OCoLC)1135350229,1008-G (online),Y 1.1/5:116-180,2019,PDF versionhttps://purl.fdlp.gov/GPO/gpo130531;Text versionhttps://purl.fdlp.gov/GPO/gpo130533;Address at time of PURL creationPDF versionhttps://www.govinfo.gov/content/pkg/CRPT-116srpt180/pdf/CRPT-116srpt180.pdf;Address at time of PURL creationText versionhttps://www.govinfo.gov/content/pkg/CRPT-116srpt180/html/CRPT-116srpt180.htm,20200109,Health Care Access for Urban Native Veterans Act of 2019 :,report (to accompany S. 2365) (including cost estimate of the Congressional Budget Office).
1112762,(OCoLC)1135462582,1008-G (online),Y 1.1/5:116-190,2020,https://purl.fdlp.gov/GPO/gpo130561;Address at time of PURL creationhttps://www.govinfo.gov/content/pkg/CRPT-116srpt190/pdf/CRPT-116srpt190.pdf,20200109,"To extend the federal recognition to the Little Shell Tribe of Chippewa Indians of Montana, and for other purposes :",report (to accompany S.51) (including cost estimate of the Congressional Budget Office).
1113012,(OCoLC)1135866077,1008-G (online),Y 1.1/5:116-191,2020,https://purl.fdlp.gov/GPO/gpo130706;Address at time of PURL creationhttps://www.govinfo.gov/content/pkg/CRPT-116srpt191/pdf/CRPT-116srpt191.pdf,20200114,"To reaffirm the action of the Secretary of the Interior to take land into trust for the benefit of the Santa Ynez Band of Chumash Mission Indians, and for other purposes :",report (to accompany H.R. 317) (including cost estimate of the Congressional Budget Office).
1113039,(OCoLC)1135894751,0807-A-10 (online),LC 14.25:LSB 10138/,-2018,https://purl.fdlp.gov/GPO/gpo130747;Address at time of PURL creationhttps://crsreports.congress.gov/product/details?prodcode=LSB10138,20200114,Update: extent of habitat protection required for Indian treaty fishing sites :,Washington v. United States /
1113299,(OCoLC)1137165894,1008-G (online),Y 1.1/5:116-206,2020,https://purl.fdlp.gov/GPO/gpo130955;Address at time of PURL creationhttps://www.govinfo.gov/content/pkg/CRPT-116srpt206/pdf/CRPT-116srpt206.pdf,20200121,"To direct the Attorney General to review, revise, and develop law enforcement and justice protocols appropriate to address missing and murdered Indians, and for other purposes :",report (to accompany S. 227) (including cost estimate of the Congressional Budget Office).
