1,035$a,074$a,086$a,264$c,856,955$b,245$a,245$b
926578,(OCoLC)1140978307,0624-B-02 (online),I 19.42/4-4:2013-5100,2013,https://purl.fdlp.gov/GPO/gpo132286;Address at time of PURL creationhttp://pubs.usgs.gov/sir/2013/5100/,20200218,"Water levels and water-quality in the Sparta-Memphis aquifer (Middle Claiborne Aquifer) in Arkansas, spring-summer 2009 /",
1031293,(OCoLC)1137261424,0624-H (online),I 19.76:W 29/,-1994,Current issuehttps://purl.fdlp.gov/GPO/gpo131064;Archived issueshttps://purl.fdlp.gov/GPO/gpo85657;Address at time of PURL creationCurrent issuehttps://pubs.er.usgs.gov/publication/ofr20191060;Address at time of PURL creationArchived issuehttps://pubs.er.usgs.gov/search?q=Water-quality%2C+bed-sediment%2C+and+biological+data+...+upper+Clark+Fork+basin+,20200122,"Water-quality, bed-sediment, and biological data ... and statistical summaries of water-quality data ... for streams in the upper Clark Fork Basin, Montana.",
1092300,(OCoLC)1130231809,0624-H (online),I 19.76:2017-1086,2017,https://purl.fdlp.gov/GPO/gpo129406;Address at time of PURL creationhttps://pubs.usgs.gov/of/2017/1086/ofr20171086.pdf,20191210,HIF evaluation of In-Situ Aqua TROLL 400 /,
1094361,(OCoLC)1032304619,0624-H (online),I 19.76:2014-1226,2014,https://purl.fdlp.gov/GPO/gpo129795;Address at time of PURL creationhttps://pubs.usgs.gov/of/2014/1226/,20191217,"Groundwater quality in central New York, 2012 /",
1110155,(OCoLC)1129443021,0612-C-10 (online),I 49.44/8:BTP-R 3018-2019,2019,https://purl.fdlp.gov/GPO/gpo128650;Address at time of PURL creationhttps://digitalmedia.fws.gov/digital/collection/document/id/2250/,20191204,Ecological hazard assessment of contaminants of emerging concern in the U.S. Great Lakes Basin.,
1110931,(OCoLC)1129252442,1016-C (online),Y 4.OV 2:116-69,2019,PDF versionhttps://purl.fdlp.gov/GPO/gpo129175;Text versionhttps://purl.fdlp.gov/GPO/gpo129176;Address at time of PURL creationPDF versionhttps://www.govinfo.gov/content/pkg/CHRG-116hhrg38306/pdf/CHRG-116hhrg38306.pdf;Address at time of PURL creationText versionhttps://www.govinfo.gov/content/pkg/CHRG-116hhrg38306/html/CHRG-116hhrg38306.htm;Documents entered into the recordhttps://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=110157,20191202,Trump's wrong turn on clean cars :,"the effects of fuel efficiency rollbacks on the climate, car companies, and California : hearing before the Subcommittee on Environment of the Committee on Oversight and Reform, House of Representatives, One Hundred Sixteenth Congress, first session, October 29, 2019."
1110971,(OCoLC)1130591518,0624-B-02 (online),I 19.42/4-4:2019-5089,2019,https://purl.fdlp.gov/GPO/gpo129209;Address at time of PURL creationhttps://pubs.usgs.gov/sir/2019/5089/sir20195089.pdf,20191212,"Status of groundwater-level altitudes and long-term groundwater-level changes in the Chicot, Evangeline, and Jasper Aquifers, Houston-Galveston region, Texas, 2019 /",
1110984,(OCoLC)1129259753,0807-A-07 (online),LC 14.23:RL 30207/,-2018,https://purl.fdlp.gov/GPO/gpo129219;Address at time of PURL creationhttps://crsreports.congress.gov/product/details?prodcode=RL30207,20191202,Appropriations for FY2000 :,energy and water development /
1110999,(OCoLC)1129261438,0807-A-09 (online),LC 14.24:IF 10536/,-2017,https://purl.fdlp.gov/GPO/gpo129237;Address at time of PURL creationhttps://crsreports.congress.gov/product/details?prodcode=IF10536,20191202,Water Infrastructure Improvements for the Nation Act (WIIN) /,
1111003,(OCoLC)999610240,0624-H (online),I 19.76:2012-1071,2012,https://purl.fdlp.gov/GPO/gpo129114;Address at time of PURL creationhttps://pubs.usgs.gov/of/2012/1071/ofr2012-1071.pdf,20191203,R-SWAT-FME user's guide /,
1111005,(OCoLC)990281772,0624-H (online),I 19.76:2012-1021,2012,https://purl.fdlp.gov/GPO/gpo129116;Address at time of PURL creationhttps://pubs.usgs.gov/of/2012/1021/pdf/OFR_2012_1021.pdf,20191203,"Megaporosity and permeability of Thalassinoides-dominated ichnofabrics in the Cretaceous karst-carbonate Edwards-Trinity aquifer system, Texas /",
1111011,(OCoLC)1005092926,0624-H (online),I 19.76:2012-1219,2012,https://purl.fdlp.gov/GPO/gpo129118;Address at time of PURL creationhttps://pubs.usgs.gov/of/2012/1219/title_page.html,20191203,"Carolinas Coastal Change Processes Project data report for nearshore observations at Cape Hatteras, North Carolina, February 2010 /",
1111018,(OCoLC)992934315,0624-H (online),I 19.76:2012-1044,2012,https://purl.fdlp.gov/GPO/gpo129123;Address at time of PURL creationhttps://pubs.usgs.gov/of/2012/1044/pdf/ofr20121044.pdf,20191203,In situ optical water-quality sensor networks :,workshop summary report /
1111020,(OCoLC)992934444,0624-H (online),I 19.76:2012-1049,2012,https://purl.fdlp.gov/GPO/gpo129125;Address at time of PURL creationhttps://pubs.usgs.gov/of/2012/1049/pdf/ofr20121049.pdf,20191203,"Test drilling and data collection in the Calaveras County portion of the Eastern San Joaquin Groundwater Subbasin, California, December 2009-June 2011 /",
1111022,(OCoLC)992934446,0624-H (online),I 19.76:2012-1055,2012,https://purl.fdlp.gov/GPO/gpo129127;Address at time of PURL creationhttps://pubs.usgs.gov/of/2012/1055/of2012-1055.pdf,20191203,"Protocols for collection of streamflow, water-quality, streambed-sediment, periphyton, macroinvertebrate, fish, and habitat data to describe stream quality for the Hydrobiological Monitoring Program, Equus Beds Aquifer Storage and Recovery Program, city of Wichita, Kansas /",
1111026,(OCoLC)1004746959,0624-H (online),I 19.76:2012-1206,2012,https://purl.fdlp.gov/GPO/gpo129138;Address at time of PURL creationhttps://pubs.usgs.gov/of/2012/1206/of2012-1206.pdf,20191203,"Evaluation of simulations to understand effects of groundwater development and artificial recharge on the surface water and riparian vegetation, Sierra Vista subwatershed, Upper San Pedro Basin, Arizona /",
1111028,(OCoLC)1004746960,0624-H (online),I 19.76:2012-1208,2012,https://purl.fdlp.gov/GPO/gpo129141;Address at time of PURL creationhttps://pubs.usgs.gov/of/2012/1208/,20191203,"Water-quality data of lakes and wetlands in the Yukon Flats, Alaska, 2007-2009 /",
1111061,(OCoLC)1129390306,1008-G (online),Y 1.1/5:116-160,2019,https://purl.fdlp.gov/GPO/gpo129246;Address at time of PURL creationhttps://www.govinfo.gov/content/pkg/CRPT-116srpt160/pdf/CRPT-116srpt160.pdf,20191203,Jackson Gulch Rehabilitation Project Modification Act :,report (to accompany S. 860) (including cost estimate of the Congressional Budget Office).
