Date Cataloged,CGP Number,OCLC Number,Item Number,SuDoc Number,Title,Date,PURL1,PURL2,
20190528,001099739,1102594649,1009-D-05 (online),Y 4.IN 2/11:S.HRG.116-14,"45th anniversary of the Native American Programs Act and the establishment of the Administration for Native Americans : hearing before the Committee on Indian Affairs, United States Senate, One Hundred Sixteenth Congress, first session, February 27, 2019.",2019.,https://purl.fdlp.gov/GPO/gpo120992,  ,
20190426,001097944,1040061439$z(OCoLC)1038746998,1023-A (online),Y 4.R 31/3:104-52,"Alaska Native Commission report : joint oversight hearing before the Committee on Resources, House of Representatives, and Committee on Energy and Natural Resources and Committee on Indian Affairs, United States Senate; One Hundred Fourth Congress, first session; on the final report of the Federal-State Alaska Natives Commission, dated 1994, to examine the recommendations proposed, and how the problems of Native Alaskans can be improved through better federal and state programs; November 16, 1995; Washington, DC.",1996.,https://purl.fdlp.gov/GPO/gpo119503,  ,
20190426,001097938,682211417$z(OCoLC)657295566,1023-A (online),Y 4.R 31/3:103-120,"Alaska native legislation : hearing before the Subcommittee on Oversight and Investigations of the Committee on Natural Resources, House of Representatives; One Hundred Third Congress, second session; on H.R. 3612, to amend the Alaska Native Claims Settlement Act, and for other purposes; H.R. 4665, to amend the Alaska Native Claims Settlement Act, and for other purposes; H.R. 3613, Kenai Natives Association Equity Act; hearing held in Washington, DC; September 22, 1994.",1995.,https://purl.fdlp.gov/GPO/gpo119501,  ,
20190429,001098032,797892644$z(OCoLC)512623500$z(OCoLC)1012084130$z(OCoLC)1022042021$z(OCoLC)1069620875,1009 (online),Y 4.IN 2/11:SE 4/978,"Amend the Indian self-determination and education assistance act : hearings before the United States Senate, Select Committee on Indian Affairs, Ninety-fifth Congress, second session, on S. 2460, to amend the Indian Self-determination and Education Assistance Act, March 14 and 22, 1978.",1978.,https://purl.fdlp.gov/GPO/gpo119555,  ,
20190513,001098887,1101120925,1008-G (online),Y 1.1/5:116-37,"Amending the Tribal Law and Order Act of 2010 and the Indian Law Enforcement Reform Act to provide for advancements in public safety services to Indian communities, and for other purposes : report (to accompany S. 210) (including cost estimate of the Congressional Budget Office).",[2019],https://purl.fdlp.gov/GPO/gpo120353,https://purl.fdlp.gov/GPO/gpo120354,
20190621,001101300,1105198843,0575-A-02 (online),AE 2.110:104-301,"An Act to Provide for the Settlement of the Navajo-Hopi Land Dispute, and for Other Purposes.",[1996],https://purl.fdlp.gov/GPO/gpo122104,https://purl.fdlp.gov/GPO/gpo122105,
20190612,001100786,1104295832,0575-A-02 (online),AE 2.110:115-304,An Act to Repeal Section 2141 of the Revised Statutes to Remove the Prohibition on Certain Alcohol Manufacturing on Indian lands.,[2018],https://purl.fdlp.gov/GPO/gpo121710,https://purl.fdlp.gov/GPO/gpo121711,
20190515,001099134,1101191984,0014-A (online),A 1.68:2123-4,APHIS Wildlife Services: controlling wildlife damage on Native American lands.,2012.,https://purl.fdlp.gov/GPO/gpo120056,  ,
20190603,001100104,1103314433,1009-D-05 (online),Y 4.IN 2/11:S.HRG.116-16,"Building out Indian country : tools for community development : hearing before the Committee on Indian Affairs, United States Senate, One Hundred Sixteenth Congress, first session, April 10, 2019.",2019.,https://purl.fdlp.gov/GPO/gpo121290,  ,
20190408,001096688,1091900299,0807-A-07 (online),LC 14.23:RL 34521/,"Carcieri v. Salazar : the Secretary of the Interior may not acquire trust land for the Narragansett Indian Tribe under 25 U.S.C. section 465 because that statute applies to tribes ""under federal jurisdiction"" in 1934 /",2018-,https://purl.fdlp.gov/GPO/gpo118546,,
20190528,001099731,1102594166,0968-H-01 (online),J 26.2:C 88,Crossing the bridge : tribal-state-local collaboration /,2019.,https://purl.fdlp.gov/GPO/gpo121015,  ,
20190528,001099747,1102595100,0546-D (online),GA 1.13:GAO-18-309,Drinking water and waste water infrastructure : opportunities exist to enhance federal agency needs assessment and coordination on tribal projects : report to congressional requesters.,2018.,https://purl.fdlp.gov/GPO/gpo120974,  ,
20190528,001099806,1102601935,1009-D-05 (online),Y 4.IN 2/11:S.HRG.116-15,"Enhancing tribal self-governance and safety of Indian roads : hearing before the Committee on Indian Affairs, United States Senate, One Hundred Sixteenth Congress, first session, April 3, 2019.",2019.,https://purl.fdlp.gov/GPO/gpo121048,https://purl.fdlp.gov/GPO/gpo121049,
