Date Cataloged,CGP Number,OCLC Number,Item Number,SuDoc Number,Title,Date,PURL1,PURL2,PURL3,
20190507,001097353,974375078,0624-H (online),I 19.76:2011-1206,Abbreviated bibliography on energy development : a focus on the Rocky Mountain region /,2011.,https://purl.fdlp.gov/GPO/gpo119777,,,
20190417,001097379,1097553717,0620-A (online),I 19.4/2:,USGS research on mineral resources : program and abstracts /,1985-,https://purl.fdlp.gov/GPO/lps101027,https://purl.fdlp.gov/GPO/gpo119114,https://purl.fdlp.gov/GPO/gpo119125,
20190422,001097629,1098031439,0807-A-07 (online),LC 14.23:R 44569/,Energy legislation : comparable provisions in S. 2012 as passed by the House and Senate /,2018-,https://purl.fdlp.gov/GPO/gpo119047,https://purl.fdlp.gov/GPO/gpo121000,,
20190425,001097919,654145869$z(OCoLC)655216228$z(OCoLC)1059537342,1023-A (online),Y 4.R 31/3:104-55;Y 4.R 31/3:104-60,"U.S. energy policy : oversight hearing before the Committee on Resources, House of Representatives, One Hundred Fourth Congress, second session.",1996-,https://purl.fdlp.gov/GPO/gpo119482,,,
20190515,001099109,1101190324,1025-A-03 (online),Y 4.SCI 2:116-5,"The energy water nexus : drier watts and cheaper drops : hearing before the Subcommittee on Energy, Committee on Science, Space, and Technology, House of Representatives, One Hundred Sixteenth Congress, first session, March 7, 2019.",2019.,https://purl.fdlp.gov/GPO/gpo120471,,,
20190515,001099117,1101191390,1045 (online),Y 4.P 96/10:94-H 35,"The impact of energy development on northwestern New Mexico : hearing before the Subcommittee on Economic Development of the Committee on Public Works, United States Senate, Ninety-fourth Congress, second session, March 12, 1976, Farmington, N. Mex.",1976.,https://purl.fdlp.gov/GPO/gpo120475,,,
20190517,001099277,1101621608,0430-P-17 (online),E 9.28:NREL/PO-5000-72233,A Monte Carlo-based approach to assessing annual energy production and uncertainty /,[2018].,https://purl.fdlp.gov/GPO/gpo120572,,,
20190528,001099708,1102593689,1008-I (online),Y 1.1/8:116-83,"Energy and water development and related agencies appropriations bill, 2020 : report together with minority views (to accompany H.R. 2960).",[2019],https://purl.fdlp.gov/GPO/gpo121000,https://purl.fdlp.gov/GPO/gpo121000,,
20190528,001099722,1102594199,1040-C (online),Y 4.EN 2:S.HRG.115-493,"Pending legislation : hearing before the Subcommittee on Energy of the Committee on Energy and Natural Resources, United States Senate, One Hundred Fifteenth Congress, first session, on S. 1336, S. 1455, S. 1563, S. 1851, S. 1876, S. 1981, S. 2030, December 5, 2017.",2019.,https://purl.fdlp.gov/GPO/gpo120994,,,
20190603,001100104,1103314433,1009-D-05 (online),Y 4.IN 2/11:S.HRG.116-16,"Building out Indian country : tools for community development : hearing before the Committee on Indian Affairs, United States Senate, One Hundred Sixteenth Congress, first session, April 10, 2019.",2019.,https://purl.fdlp.gov/GPO/gpo121290,,,
20190605,001100363,1103670670,0807-A-07 (online),LC 14.23:R 42756/,Energy Policy : 114th Congress Issues /,[2018?]-,https://purl.fdlp.gov/GPO/gpo121529,,,
20190624,001101384,1105587869,0807-A-07 (online),LC 14.23:RS 22990/,Gas hydrates : resource and hazard /,2018-,https://purl.fdlp.gov/GPO/gpo121933,,,
