CGP No.,CGP Link,OCLC No.,Item No.,SuDoc No.,Date,PURL,Title
926578,https://catalog.gpo.gov/F/?func=direct&doc_number=926578&local_base=GPO01PUB,1140978307,0624-B-02 (online),I 19.42/4-4:2013-5100,2013,https://purl.fdlp.gov/GPO/gpo132286,"Water levels and water-quality in the Sparta-Memphis aquifer (Middle Claiborne Aquifer) in Arkansas, spring-summer 2009"
1031293,https://catalog.gpo.gov/F/?func=direct&doc_number=1031293&local_base=GPO01PUB,1137261424,0624-H (online),I 19.76:W 29/,-1994,https://purl.fdlp.gov/GPO/gpo131064,"Water-quality, bed-sediment, and biological data ... and statistical summaries of water-quality data ... for streams in the upper Clark Fork Basin, Montana."
1092300,https://catalog.gpo.gov/F/?func=direct&doc_number=1092300&local_base=GPO01PUB,1130231809,0624-H (online),I 19.76:2017-1086,2017,https://purl.fdlp.gov/GPO/gpo129406,HIF evaluation of In-Situ Aqua TROLL 400
1094361,https://catalog.gpo.gov/F/?func=direct&doc_number=1094361&local_base=GPO01PUB,1032304619,0624-H (online),I 19.76:2014-1226,2014,https://purl.fdlp.gov/GPO/gpo129795,"Groundwater quality in central New York, 2012"
1110155,https://catalog.gpo.gov/F/?func=direct&doc_number=1110155&local_base=GPO01PUB,1129443021,0612-C-10 (online),I 49.44/8:BTP-R 3018-2019,2019,https://purl.fdlp.gov/GPO/gpo128650,Ecological hazard assessment of contaminants of emerging concern in the U.S. Great Lakes Basin.
1110931,https://catalog.gpo.gov/F/?func=direct&doc_number=1110931&local_base=GPO01PUB,1129252442,1016-C (online),Y 4.OV 2:116-69,2019,https://purl.fdlp.gov/GPO/gpo129175,"Trump's wrong turn on clean cars : the effects of fuel efficiency rollbacks on the climate, car companies, and California :  hearing before the Subcommittee on Environment of the Committee on Oversight and Reform, House of Representatives, One Hundred Sixteenth Congress, first session, October 29, 2019."
1110971,https://catalog.gpo.gov/F/?func=direct&doc_number=1110971&local_base=GPO01PUB,1130591518,0624-B-02 (online),I 19.42/4-4:2019-5089,2019,https://purl.fdlp.gov/GPO/gpo129209,"Status of groundwater-level altitudes and long-term groundwater-level changes in the Chicot, Evangeline, and Jasper Aquifers, Houston-Galveston region, Texas, 2019"
1110984,https://catalog.gpo.gov/F/?func=direct&doc_number=1110984&local_base=GPO01PUB,1129259753,0807-A-07 (online),LC 14.23:RL 30207/,-2018,https://purl.fdlp.gov/GPO/gpo129219,Appropriations for FY2000 : energy and water development
1110999,https://catalog.gpo.gov/F/?func=direct&doc_number=1110999&local_base=GPO01PUB,1129261438,0807-A-09 (online),LC 14.24:IF 10536/,-2017,https://purl.fdlp.gov/GPO/gpo129237,Water Infrastructure Improvements for the Nation Act (WIIN)
1111003,https://catalog.gpo.gov/F/?func=direct&doc_number=1111003&local_base=GPO01PUB,999610240,0624-H (online),I 19.76:2012-1071,2012,https://purl.fdlp.gov/GPO/gpo129114,R-SWAT-FME user's guide
1111005,https://catalog.gpo.gov/F/?func=direct&doc_number=1111005&local_base=GPO01PUB,990281772,0624-H (online),I 19.76:2012-1021,2012,https://purl.fdlp.gov/GPO/gpo129116,"Megaporosity and permeability of Thalassinoides-dominated ichnofabrics in the Cretaceous karst-carbonate Edwards-Trinity aquifer system, Texas"
1111011,https://catalog.gpo.gov/F/?func=direct&doc_number=1111011&local_base=GPO01PUB,1005092926,0624-H (online),I 19.76:2012-1219,2012,https://purl.fdlp.gov/GPO/gpo129118,"Carolinas Coastal Change Processes Project data report for nearshore observations at Cape Hatteras, North Carolina, February 2010"
1111018,https://catalog.gpo.gov/F/?func=direct&doc_number=1111018&local_base=GPO01PUB,992934315,0624-H (online),I 19.76:2012-1044,2012,https://purl.fdlp.gov/GPO/gpo129123,In situ optical water-quality sensor networks : workshop summary report
