CGP No.,CGP Link,OCLC No.,Item No.,SuDoc No.,Date,PURL,Title
1107882,https://catalog.gpo.gov/F/?func=direct&doc_number=1107882&local_base=GPO01PUB, 1135857545,0968-H-01 (online),J 26.2:OP 3/7,2019,https://purl.fdlp.gov/GPO/gpo126957,Bureau of Justice Assistance Comprehensive Opioid Abuse Program : support to tribal communities : executive branch and legislative action needed for closure and transfer of activities : report to congressional requesters.
1111172,https://catalog.gpo.gov/F/?func=direct&doc_number=1111172&local_base=GPO01PUB, 1111259282,0546-D (online),GA 1.13:GAO-18-266,2018,https://purl.fdlp.gov/GPO/gpo129255,Office of Navajo and Hopi Indian Relocation :
1111314,https://catalog.gpo.gov/F/?func=direct&doc_number=1111314&local_base=GPO01PUB,1043671308,0998 (online),Y 1.2:IN 2/25/,-2018,https://purl.fdlp.gov/GPO/gpo129037,"American Indian and Alaskan Native Documents in the Congressional Serial Set, 1817-1899 : hearing before the Committee on Indian Affairs, United States Senate, One Hundred Sixteenth Congress, first session, June 19, 2019."
1111718,https://catalog.gpo.gov/F/?func=direct&doc_number=1111718&local_base=GPO01PUB,1130757804,1009-D-05 (online),Y 4.IN 2/11:S.HRG.116-67,2019,https://purl.fdlp.gov/GPO/gpo129678,"S. 227, S. 288, S. 290, S. 982, and S. 1853 : report (to accompany S. 886) (including cost estimate of the Congressional Budget Office)."
1112385,https://catalog.gpo.gov/F/?func=direct&doc_number=1112385&local_base=GPO01PUB,1134447716,1008-G (online),Y 1.1/5:116-189,2019,https://purl.fdlp.gov/GPO/gpo130210,"To amend the Omnibus Public Land Management Act of 2009 to make the Reclamation Water Settlements Fund permanent : examining the effects of radiation in Indian country : hearing before the Committee on Indian Affairs, United States Senate, One Hundred Sixteenth Congress, first session, October 7, 2019."
1112410,https://catalog.gpo.gov/F/?func=direct&doc_number=1112410&local_base=GPO01PUB,1134609598,1009-D-05 (online),Y 4.IN 2/11:S.HRG.116-94,2019,https://purl.fdlp.gov/GPO/gpo130236,America's nuclear past  :report (to accompany S. 2365) (including cost estimate of the Congressional Budget Office).
1112747,https://catalog.gpo.gov/F/?func=direct&doc_number=1112747&local_base=GPO01PUB,1135350229,1008-G (online),Y 1.1/5:116-180,2019,https://purl.fdlp.gov/GPO/gpo130531,Health Care Access for Urban Native Veterans Act of 2019 : report (to accompany S.51) (including cost estimate of the Congressional Budget Office).
1112762,https://catalog.gpo.gov/F/?func=direct&doc_number=1112762&local_base=GPO01PUB,1135462582,1008-G (online),Y 1.1/5:116-190,2020,https://purl.fdlp.gov/GPO/gpo130561,"To extend the federal recognition to the Little Shell Tribe of Chippewa Indians of Montana, and for other purposes : report (to accompany H.R. 317) (including cost estimate of the Congressional Budget Office)."
1113012,https://catalog.gpo.gov/F/?func=direct&doc_number=1113012&local_base=GPO01PUB,1135866077,1008-G (online),Y 1.1/5:116-191,2020,https://purl.fdlp.gov/GPO/gpo130706,"To reaffirm the action of the Secretary of the Interior to take land into trust for the benefit of the Santa Ynez Band of Chumash Mission Indians, and for other purposes : Washington v. United States"
1113039,https://catalog.gpo.gov/F/?func=direct&doc_number=1113039&local_base=GPO01PUB,1135894751,0807-A-10 (online),LC 14.25:LSB 10138/,-2018,https://purl.fdlp.gov/GPO/gpo130747,Update : extent of habitat protection required for Indian treaty fishing sites :report (to accompany S. 227) (including cost estimate of the Congressional Budget Office).
