CGP No.,CGP Link,OCLC No.,Item No.,SuDoc No.,Date,PURL,Title
913714,https://catalog.gpo.gov/F/?func=direct&doc_number=913714&local_base=GPO01PUB,1134988533,0429-V-04 (online),E 2.2:IN 8/;E 2.2:G 21/3/,-2000,https://purl.fdlp.gov/GPO/gpo130408,An interstate natural gas facility on my land?
1093792,https://catalog.gpo.gov/F/?func=direct&doc_number=1093792&local_base=GPO01PUB,1138943232,0120 (online),A 57.2:W 75/5/,-2018,https://purl.fdlp.gov/GPO/gpo130700,Wisconsin successes from the field : featuring local farmers & landowners
1100246,https://catalog.gpo.gov/F/?func=direct&doc_number=1100246&local_base=GPO01PUB,1125226196,0629-E-09 (online),I 53.59:F 82/V.1-2/DRAFT,2019,https://purl.fdlp.gov/GPO/gpo127908,"Four Rivers Field Office draft resource management plan and draft environmental impact statement : Four Rivers Field Office, Boise District, Idaho"
1100433,https://catalog.gpo.gov/F/?func=direct&doc_number=1100433&local_base=GPO01PUB,1129235789,0629-E-09 (online),I 53.59:M 69/V.1-2/DRAFT,2019,https://purl.fdlp.gov/GPO/gpo121551,"Missoula Field Office, draft resource management plan and environmental impact statement"
1108436,https://catalog.gpo.gov/F/?func=direct&doc_number=1108436&local_base=GPO01PUB,1128271668,0629-E-09 (online),I 53.59:R 47/3,2019,https://purl.fdlp.gov/GPO/gpo127306,Final environmental impact statement for the proposed Haines amendment to the Ring of Fire Resource Management Plan
1110921,https://catalog.gpo.gov/F/?func=direct&doc_number=1110921&local_base=GPO01PUB,1133275633,0082-A-05 (online),A 13.105/2:MB-R 3-12-05,2019,https://purl.fdlp.gov/GPO/gpo129181,"Tonto National Forest draft land management plan : Coconino, Gila, Maricopa, Pinal, and Yavapai Counties, Arizona."
1110923,https://catalog.gpo.gov/F/?func=direct&doc_number=1110923&local_base=GPO01PUB,1129251884,0431-I-01 (online),EP 1.2:AU 8/17,1975,https://purl.fdlp.gov/GPO/gpo129107,"Automobile emission control - the technical status and outlook as of December 1974 : a report to the Administrator, Environmental Protection Agency"
1110930,https://catalog.gpo.gov/F/?func=direct&doc_number=1110930&local_base=GPO01PUB,1133275869,0082-A-05 (online),A 13.105/2:MB-R 3-12-06/,2019,https://purl.fdlp.gov/GPO/gpo129183,"Draft environmental impact statement for the draft land management plan, Tonto National Forest : Coconino, Gila, Maricopa, Pinal, and Yavapai Counties, Arizona."
1110931,https://catalog.gpo.gov/F/?func=direct&doc_number=1110931&local_base=GPO01PUB,1129252442,1016-C (online),Y 4.OV 2:116-69,2019,https://purl.fdlp.gov/GPO/gpo129175,"Trump's wrong turn on clean cars : the effects of fuel efficiency rollbacks on the climate, car companies, and California :  hearing before the Subcommittee on Environment of the Committee on Oversight and Reform, House of Representatives, One Hundred Sixteenth Congress, first session, October 29, 2019."
1110984,https://catalog.gpo.gov/F/?func=direct&doc_number=1110984&local_base=GPO01PUB,1129259753,0807-A-07 (online),LC 14.23:RL 30207/,-2018,https://purl.fdlp.gov/GPO/gpo129219,Appropriations for FY2000 : energy and water development
1111139,https://catalog.gpo.gov/F/?func=direct&doc_number=1111139&local_base=GPO01PUB,1129456243,0429-T-11 (online),E 3.2:INTERNET,-2019,http://purl.fdlp.gov/GPO/gpo129287,U.S. Energy Information Administration : independent statistics & analysis.
1111164,https://catalog.gpo.gov/F/?func=direct&doc_number=1111164&local_base=GPO01PUB,1129584690,0629-E-10 (online),I 53.59/2:D 38/RECORD,[2013],https://purl.fdlp.gov/GPO/gpo129302,"East Alaska resource management plan amendment, Delta River special recreation management area : decision record and approved plan."
1111243,https://catalog.gpo.gov/F/?func=direct&doc_number=1111243&local_base=GPO01PUB,1129591023,0857-E-01 (online),PREX 6.2:EN 3,2019,https://purl.fdlp.gov/GPO/gpo129413,The value of U.S. energy innovation and policies supporting the shale revolution
1111255,https://catalog.gpo.gov/F/?func=direct&doc_number=1111255&local_base=GPO01PUB,1129596235,0629-E-12 (online),I 53.20/2:49,2001,https://purl.fdlp.gov/GPO/gpo128880,The Soils Suitability Extension (SSE)
1111393,https://catalog.gpo.gov/F/?func=direct&doc_number=1111393&local_base=GPO01PUB,1129456997,0629-E-09 (online),I 53.59:P 44/2019/DRAFT,2019,https://purl.fdlp.gov/GPO/gpo129530,"National Petroleum Reserve in Alaska :  integrated activity plan and environmental impact statement, draft"
1111790,https://catalog.gpo.gov/F/?func=direct&doc_number=1111790&local_base=GPO01PUB,1131699354,1016-C (online),Y 4.OV 2:116-67,2019,https://purl.fdlp.gov/GPO/gpo129693,"Examining the oil industry's efforts to suppress the truth about climate change : hearing before the Subcommittee on Civil Rights and Civil Liberties of the Committee on Oversight and Reform, House of Representatives, One Hundred Sixteenth Congress, first session, October 23, 2019."
1111826,https://catalog.gpo.gov/F/?func=direct&doc_number=1111826&local_base=GPO01PUB,1137163927,0083-B-06 (online),A 13.88:PNW-GTR-977,October 2019.,https://purl.fdlp.gov/GPO/gpo129770,Climate change vulnerability and adaptation in southwest Washington
1111847,https://catalog.gpo.gov/F/?func=direct&doc_number=1111847&local_base=GPO01PUB,1131724966,0807-A-09 (online),LC 14.24:IF 10842/,-2019,https://purl.fdlp.gov/GPO/gpo129802,The renewable fuel standard : Is legislative reform needed?
1111900,https://catalog.gpo.gov/F/?func=direct&doc_number=1111900&local_base=GPO01PUB,1131863172,0629-E-12 (online),I 53.20/2:66,2003,https://purl.fdlp.gov/GPO/gpo129658,Estimating watershed runoff and sediment yield using a GIS interface to curve number and MUSLE models
1111994,https://catalog.gpo.gov/F/?func=direct&doc_number=1111994&local_base=GPO01PUB,1132234380,0807-A-09 (online),LC 14.24:IF 10857/,-2019,https://purl.fdlp.gov/GPO/gpo129899,Venezuela's petroleum sector and U.S. sanctions
1112052,https://catalog.gpo.gov/F/?func=direct&doc_number=1112052&local_base=GPO01PUB,1132289898,0629-E-12 (online),I 53.20/2:77,2005,https://purl.fdlp.gov/GPO/gpo129740,Internet plant databases
1112400,https://catalog.gpo.gov/F/?func=direct&doc_number=1112400&local_base=GPO01PUB,1114268390,0624-H (online),I 19.76:2016-1065,2016,https://purl.fdlp.gov/GPO/gpo129984,"Development of a decision support tool for water and resource management using biotic, abiotic, and hydrological assessments of Topock Marsh, Arizona"
1112592,https://catalog.gpo.gov/F/?func=direct&doc_number=1112592&local_base=GPO01PUB,1135058411,0082-A-05 (online),A 13.105/2:MB-R 3-12-08/DRAFT/,2019,https://purl.fdlp.gov/GPO/gpo130423,Pinto Valley Mine:  draft environmental impact statement.
1112898,https://catalog.gpo.gov/F/?func=direct&doc_number=1112898&local_base=GPO01PUB,1135758556,1017-C-07 (online),Y 4.F 76/1:116-62,2019,https://purl.fdlp.gov/GPO/gpo130632,"Voices leading the next generation on the global climate crisis : hearing before the Subcommittee on Europe, Eurasia, Energy, and the Environment of the Committee on Foreign Affairs, House of Representatives, One Hundred Sixteenth Congress, first session, September 18, 2019."
1113007,https://catalog.gpo.gov/F/?func=direct&doc_number=1113007&local_base=GPO01PUB,1138991620,0082-A-05 (online),A 13.105/2:MB-R 3-06-11/DRAFT,2019,https://purl.fdlp.gov/GPO/gpo130701,"Draft revised forest plan Gila National Forest : Catron, Grant, Hidalgo, and Sierra Counties, New Mexico."
1113029,https://catalog.gpo.gov/F/?func=direct&doc_number=1113029&local_base=GPO01PUB,1138991825,0082-A-05 (online),A 13.105/2:MB-R 3-06-12/DRAFT/,2019,https://purl.fdlp.gov/GPO/gpo130719,"Gila National Forest draft revised forest plan:  draft environmental impact statement : Catron, Grant, Hidalgo, and Sierra Counties, New Mexico."
1113096,https://catalog.gpo.gov/F/?func=direct&doc_number=1113096&local_base=GPO01PUB,1136131387,1008-G (online),Y 1.1/5:116-197,2020,https://purl.fdlp.gov/GPO/gpo130800,Advanced Geothermal Innovation Leadership Act of 2019 : report (to accompany S. 2657).
1113099,https://catalog.gpo.gov/F/?func=direct&doc_number=1113099&local_base=GPO01PUB,1136131989,1008-G (online),Y 1.1/5:116-198,2020,https://purl.fdlp.gov/GPO/gpo130808,Nexus of Energy and Water for Sustainability Act of 2019 : report (to accompany S. 2799) (including cost estimate of the Congressional Budget Office).
1113107,https://catalog.gpo.gov/F/?func=direct&doc_number=1113107&local_base=GPO01PUB,1136134402,0431-I-01 (online),EP 1.2:D 56/13,August 1980.,https://purl.fdlp.gov/GPO/gpo130145,Report impact analysis for the proposed heavy-duty diesel particulate regulation
1113140,https://catalog.gpo.gov/F/?func=direct&doc_number=1113140&local_base=GPO01PUB,1136154967,0431-I-01 (online),EP 1.2:M 56/26,1988,https://purl.fdlp.gov/GPO/gpo130771,The emission characteristics of methanol and compressed natural gas in light vehicles
1113191,https://catalog.gpo.gov/F/?func=direct&doc_number=1113191&local_base=GPO01PUB,1136494559,0484-E (online),EP 6.52:G 21/11,June 1992.,https://purl.fdlp.gov/GPO/gpo130790,1992 natural gas vehicle challenge : EPA emissions and fuel economy testing.
1113421,https://catalog.gpo.gov/F/?func=direct&doc_number=1113421&local_base=GPO01PUB,1137263110,1040-C (online),Y 4.EN 2:S.HRG.115-513,2020,https://purl.fdlp.gov/GPO/gpo131100,"Energy-related challenges and opportunities in remote and rural areas of the United States : hearing before the Committee on Energy and Natural Resources, United States Senate, One Hundred Fifteenth Congress, second session, April 19, 2018."
1113445,https://catalog.gpo.gov/F/?func=direct&doc_number=1113445&local_base=GPO01PUB,1137316994,0431-I-01 (online),EP 1.2:EM 4/98,December 1980.,https://purl.fdlp.gov/GPO/gpo130963,Criteria for development of emissions averaging for heavy-duty engines and light-duty trucks
1113496,https://catalog.gpo.gov/F/?func=direct&doc_number=1113496&local_base=GPO01PUB,1137343887,0807-A-09 (online),LC 14.24:IF 10869/,-2019,https://purl.fdlp.gov/GPO/gpo131199,Reconsidering the strategic petroleum reserve
1113538,https://catalog.gpo.gov/F/?func=direct&doc_number=1113538&local_base=GPO01PUB,1137377515,0431-I-01 (online),EP 1.2:F 95/22,November 1980.,https://purl.fdlp.gov/GPO/gpo131066,A summary and analysis of comments received in response to the EPA/NHTSA information request regarding the effects of test procedure changes on fuel economy
1113544,https://catalog.gpo.gov/F/?func=direct&doc_number=1113544&local_base=GPO01PUB,1137379393,0546-D (online),GA 1.13:GAO-18-477,2018,https://purl.fdlp.gov/GPO/gpo131201,Strategic Petroleum Reserve:  DOE needs to strengthen its approach to planning the future of emergency stockpile : report to congressional requesters.
1113588,https://catalog.gpo.gov/F/?func=direct&doc_number=1113588&local_base=GPO01PUB,1137387077,0807-A-09 (online),LC 14.24:IF 10874/,-2019,https://purl.fdlp.gov/GPO/gpo131309,DOE Office of Electricity Delivery and Energy Reliability:  organization and FY2019 budget request
