----
| *Title* | *CGP* | *Author* | *Date* | *SuDoc*
|:-----------------|:-----------------|:-----------------|:-----------------|:-----------------
"Alaska Native Village Municipal Lands Restoration Act : report (to accompany S. 2615).",1263061,https://catalog.gpo.gov/F/?func=direct&doc_number=1263061&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Energy and Natural Resources",2024,Y 1.1/5:118-177
"Amendments to the Indian bill of rights : hearing before the Subcommittee on Constitutional Rights of the Committee on the Judiciary, United States Senate, Ninety-first Congress, first session, on Title II of the Civil rights act of 1968. April 11, 1969, Albuquerque, New Mexico.",1257867,https://catalog.gpo.gov/F/?func=direct&doc_number=1257867&local_base=GPO01PUB,"United States. Congress. Senate. Committee on the Judiciary. Subcommittee on Constitutional Rights",1970,Y 4.J 89/2:IN 2/7
"Bureau on Indian Education: improved oversight of schools' COVID-19 spending is needed : report to congressional addressees /",1257494,https://catalog.gpo.gov/F/?func=direct&doc_number=1257494&local_base=GPO01PUB,"United States. Government Accountability Office",2024,GA 1.13:GAO-24-105451
"Civil rights and the impact of Native American names, symbols, and imagery in school mascots : a briefing report of the Nebraska Advisory Committee to the U.S. Commission on Civil Rights.",1166153,https://catalog.gpo.gov/F/?func=direct&doc_number=1166153&local_base=GPO01PUB,"United States Commission on Civil Rights. Nebraska Advisory Committee",2021,CR 1.8/2-2:N 27/N 21
"Colville judgment funds : hearings before the Subcommittee on Indian Affairs of the Committee on Interior and Insular Affairs, United States Senate, Eighty-seventh Congress, first session, on S. 2123 and H.R. 8236, legislation to authorize the use of funds arising from judgments in favor of any of the Confederated Tribes of the Colville Reservation, August 15 and September 13, 1961.",1262515,https://catalog.gpo.gov/F/?func=direct&doc_number=1262515&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Interior and Insular Affairs. Subcommittee on Indian Affairs",1961,Y 4.IN 8/13:C 72/7
"Constitutional rights of the American Indian : hearings before the Subcommittee on Constitutional Rights of the Committee on the Judiciary, United States Senate, Eighty-seventh Congress, first session.",1257712,https://catalog.gpo.gov/F/?func=direct&doc_number=1257712&local_base=GPO01PUB,"United States. Congress. Senate. Committee on the Judiciary. Subcommittee on Constitutional Rights",1962,Y 4.J 89/2:IN 2/5/PT.1-4
"Department of the Interior support for tribal water projects /",1257858,https://catalog.gpo.gov/F/?func=direct&doc_number=1257858&local_base=GPO01PUB,"Stern, Charles V.",2024,LC 14.24:IF 12616/
"Drinking water infrastructure and tribal communities : hearing before the Subcommittee on Fisheries, Water, and Wildlife of the Committee on Environment and Public Works, United States Senate, One Hundred Eighteenth Congress, first session, September 20, 2023.",1262261,https://catalog.gpo.gov/F/?func=direct&doc_number=1262261&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Environment and Public Works. Subcommittee on Fisheries, Water, and Wildlife",2024,Y 4.P 96/10:S.HRG.118-23
"The EPA adhered to tribal consultation policies for pesticide actions but could update guidance to enhance the meaningful involvement of tribal governments /",1262836,https://catalog.gpo.gov/F/?func=direct&doc_number=1262836&local_base=GPO01PUB,"United States. Environmental Protection Agency. Office of the Inspector General",2023,EP 12.15:23-E-0037
"Examining the opportunities and challenges of land consolidation in Indian country : oversight hearing before the Subcommittee on Indian and Insular Affairs of the Committee on Natural Resources, U.S. House of Representatives, One Hundred Eighteenth Congress, second session, Tuesday, January 30, 2024.",1411396,https://catalog.gpo.gov/F/?func=direct&doc_number=1411396&local_base=GPO01PUB,"United States. Congress. House. Committee on Natural Resources. Subcommittee on Indian and Insular Affairs",2024,Y 4.R 31/3:118-92
"Federal resources for Native arts & cultural activities /",1257897,https://catalog.gpo.gov/F/?func=direct&doc_number=1257897&local_base=GPO01PUB,"No data",2023,NF 2.2:N 21/3
"Fentanyl in native communities : native perspectives on addressing the growing crisis : hearing before the Committee on Indian Affairs, United States Senate, One Hundred Eighteenth Congress, first session, November 8, 2023.",1261448,https://catalog.gpo.gov/F/?func=direct&doc_number=1261448&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Indian Affairs (1993- )",2024,Y 4.IN 2/11:S.HRG.118-252
"H.R. 4524, H.R. 4748, H.R. 6368, and H.R. 6443 : legislative hearing before the Subcommittee on Indian and Insular Affairs of the Committee on Natural Resources, U.S> House of Representatives, One Hundred Eighteenth Congress, first session, Tuesday, December 5, 2023.",1263193,https://catalog.gpo.gov/F/?func=direct&doc_number=1263193&local_base=GPO01PUB,"United States. Congress. House. Committee on Natural Resources. Subcommittee on Indian and Insular Affairs",2024,Y 4.R 31/3:118-81
"Hawaiian Native Claims Settlement Study Commission : joint hearings before the Subcommittee on Public Lands and Resources of the Committee on Energy and Natural Resources, United States Senate, and the Subcommittee on Indian Affairs and Public Lands of the Committee on Interior and Insular Affairs, House of Representatives, Ninety-fifth Congress, first session, on S.J. Res. 4 ... H.J. Res. 526 ... Honolulu, Hawaii, July 6, 1977, Wailuku, Maui, Hawaii, July 7, 1977.",1257945,https://catalog.gpo.gov/F/?func=direct&doc_number=1257945&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Energy and Natural Resources. Subcommittee on Public Lands and Resources",1977,Y 4.EN 2:95-83
"Historic and ongoing impacts of federal dams on the Columbia River Basin Tribes /",1411328,https://catalog.gpo.gov/F/?func=direct&doc_number=1411328&local_base=GPO01PUB,"No data",2024,I 1.2:D 18
"Independent auditors' reports on the Tribal and Other Trust Funds and Individuals Indian Monies Trust Funds statements for fiscal years 2018 and 2017 /",1261478,https://catalog.gpo.gov/F/?func=direct&doc_number=1261478&local_base=GPO01PUB,"United States. Department of the Interior. Office of Inspector General",2018,I 1.121:2018-FIN-036
"Indian Affairs offices' poor recordkeeping and coordination threaten impact of Tiwahe Initiative /",1263050,https://catalog.gpo.gov/F/?func=direct&doc_number=1263050&local_base=GPO01PUB,"United States. Department of the Interior. Office of Inspector General",2018,I 1.121:2017-ER-018
"Indian Health Service: opportunities exist to improve clinician screening adherence and oversight : report to congressional requesters /",1257772,https://catalog.gpo.gov/F/?func=direct&doc_number=1257772&local_base=GPO01PUB,"United States. Government Accountability Office",2024,GA 1.13:GAO-24-106230
