----
| *Title* | *CGP* | *Author* | *Date* | *SuDoc*
:-----------------|:-----------------:|:-----------------:|:-----------------:|:-----------------:
"Alaska Offshore Parity Act : report (to accompany S. 2996).",1206947,https://catalog.gpo.gov/F/?func=direct&doc_number=1206947&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Energy and Natural Resources",2022,Y 1.1/5:117-201
"Alphabetical list of fuel oil primary suppliers.",1204724,https://catalog.gpo.gov/F/?func=direct&doc_number=1204724&local_base=GPO01PUB,"United States. Office of Price Administration.",1943,Pr 32.4202:F 95/2
"Detecting and quantifying methane emissions from the oil and gas sector : hearing before the Committee on Science, Space, and Technology, of the House of Representatives, One Hundred Seventeenth Congress, second session, June 8, 2022.",1202806,https://catalog.gpo.gov/F/?func=direct&doc_number=1202806&local_base=GPO01PUB,"United States. Congress. House. Committee on Science, Space, and Technology (2011- )",2022,Y 4.SCI 2:117-60
"Fostering a new era of fusion energy research and technology development : hearing before the Subcommittee on Energy of the Committee on Science, Space, and Technology, of the House of Representatives, One Hundred Seventeenth Congress, first session, November 17, 2021.",1206944,https://catalog.gpo.gov/F/?func=direct&doc_number=1206944&local_base=GPO01PUB,"United States. Congress. House. Committee on Science, Space, and Technology (2011- ). Subcommittee on Energy",2022,Y 4.SCI 2:117-38
"Fueling the climate crisis : examining big oil's prices, profits, and pledges : hearing before the Committee on Oversight and Reform, House of Representatives, One Hundred Seventeenth Congress, second session, September 15, 2022.",1204691,https://catalog.gpo.gov/F/?func=direct&doc_number=1204691&local_base=GPO01PUB,"United States. Congress. House. Committee on Oversight and Reform",2022,Y 4.OV 2:117-102
"Laws on the extraction of natural resources : Ivory Coast and Madagascar / prepared by Anton Wekerle.",1205131,https://catalog.gpo.gov/F/?func=direct&doc_number=1205131&local_base=GPO01PUB,"Wekerle, Anton",1980,LC 42.20:N 21/26
"North Dakota and Landsat.",1202988,https://catalog.gpo.gov/F/?func=direct&doc_number=1202988&local_base=GPO01PUB,"No data",2022,I 19.127:2022-3053
"Offshore oil and gas exploration in various African and Middle-Eastern countries.",1206481,https://catalog.gpo.gov/F/?func=direct&doc_number=1206481&local_base=GPO01PUB,"No data",1988,LC 42.20:OF 2/4
"Offshore oil and gas leasing : President Biden's "pause" / Laura B. Comay.",1206774,https://catalog.gpo.gov/F/?func=direct&doc_number=1206774&local_base=GPO01PUB,"Comay, Laura B.",2021,LC 14.25/2:IN 11601/
"Oil and gas permitting process : report (to accompany S. 4227).",1207174,https://catalog.gpo.gov/F/?func=direct&doc_number=1207174&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Energy and Natural Resources",2022,Y 1.1/5:117-203
