----
| *Title* | *CGP* | *Author* | *Date* | *SuDoc*
:-----------------|:-----------------|:-----------------|:-----------------|:-----------------
"Advancing the growth of the U.S. wind industry : federal incentives, funding, and partnership opportunities.",1165172,https://catalog.gpo.gov/F/?func=direct&doc_number=1165172&local_base=GPO01PUB,"No data",2017,E 1.77:DOE/GO-102017-4940
"Assessment of undiscovered continuous oil resources in the Bakken and Three Forks Formations of the Williston Basin Province, North Dakota and Montana, 2021.",1168945,https://catalog.gpo.gov/F/?func=direct&doc_number=1168945&local_base=GPO01PUB,"No data",2021,I 19.127:2021-3058
"Assessment of undiscovered conventional oil and gas resources of China, 2020.",1168291,https://catalog.gpo.gov/F/?func=direct&doc_number=1168291&local_base=GPO01PUB,"No data",2021,I 19.127:2021-3051
"Delineation of brine contamination in and near the East Poplar oil field, Fort Peck Indian Reservation, northeastern Montana, 2004-09 / Joanna N. Thamke and Bruce D. Smith.",1194652,https://catalog.gpo.gov/F/?func=direct&doc_number=1194652&local_base=GPO01PUB,"Thamke, Joanna N.",2014,I 19.42/4-4:2014-5024
"ETIPP technical assistance informational webinar.",1192928,https://catalog.gpo.gov/F/?func=direct&doc_number=1192928&local_base=GPO01PUB,"No data",2022,E 9.22:NREL/PR-5 R 00-82089
"Fossil Creek Wild and Scenic River resource assessment.",1193340,https://catalog.gpo.gov/F/?func=direct&doc_number=1193340&local_base=GPO01PUB,"No data",2017,A 13.92/2:C 64/6/RESOURCE
"Identifying geothermal resources in western United States : using aerial surveys to capture critical data to support the growth of clean, renewable geothermal energy / U.S. Department of Energy, Office of Energy Efficiency & Renewable Energy.",1168311,https://catalog.gpo.gov/F/?func=direct&doc_number=1168311&local_base=GPO01PUB,"No data",2021,E 1.120:2487
"The Lake Charles CCS Project. Phase 1, Topical report.",1192944,https://catalog.gpo.gov/F/?func=direct&doc_number=1192944&local_base=GPO01PUB,"No data",2010,E 1.84:0002314
"Lake Charles CCS Project. Phase 2, Final technical report.",1192948,https://catalog.gpo.gov/F/?func=direct&doc_number=1192948&local_base=GPO01PUB,"No data",2015,E 1.84:0002314/FINAL
"National assessment of carbon dioxide enhanced oil recovery and associated carbon dioxide retention resources--summary / by Peter D. Warwick and fourteen others.",1172013,https://catalog.gpo.gov/F/?func=direct&doc_number=1172013&local_base=GPO01PUB,"Warwick, Peter D.",2022,I 19.127:2021-3057
"National assessment of carbon dioxide enhanced oil recovery and associated carbon dioxide retention resources. Results / by Peter D. Warwick and 14 others ; Energy Resources Program.",1172008,https://catalog.gpo.gov/F/?func=direct&doc_number=1172008&local_base=GPO01PUB,"Warwick, Peter D.",2022,I 19.4/2:1489
"Natural resource conditions at Glen Canyon National Recreation Area : findings and management considerations for selected resources / Jeff Albright and five others.",1179121,https://catalog.gpo.gov/F/?func=direct&doc_number=1179121&local_base=GPO01PUB,"Albright, Jeff",2022,I 29.89:2022/2374
"Oil shale, mining, and energy : hearings before the Subcommittee on Mines and Mining of the Committee on Interior and Insular Affairs, House of Representatives, Ninety-third Congress, second session on H.R. 12014 and related bills, to amend the Mineral Lands Leasing Act to provide for a more efficient and equitable method for the exploration for and development of oil shale resources on federal lands, and for other purposes : hearings held in Washington, D.C., March 14, May 23, and August 8, 1974.",1200826,https://catalog.gpo.gov/F/?func=direct&doc_number=1200826&local_base=GPO01PUB,"United States. Congress. House. Committee on Interior and Insular Affairs. Subcommittee on Mines and Mining",1974,Y 4.IN 8/14:93-46
"PR100: Puerto Rico grid resilience and transition to 100% renewable energy.",1192931,https://catalog.gpo.gov/F/?func=direct&doc_number=1192931&local_base=GPO01PUB,"No data",2022,E 9.22:NREL/PR-6 A 20-82130
"Potential state impacts of a pause on federal onshore oil and natural gas leases / Brandon S. Tracy.",1180720,https://catalog.gpo.gov/F/?func=direct&doc_number=1180720&local_base=GPO01PUB,"Tracy, Brandon S.",2021,LC 14.24:IF 11785/
"Sustainable energy opportunities : best practices for Alaska tribes.",1192098,https://catalog.gpo.gov/F/?func=direct&doc_number=1192098&local_base=GPO01PUB,"No data",2012,EP 1.2:SU 8/7
"Wyoming and Landsat.",1178175,https://catalog.gpo.gov/F/?func=direct&doc_number=1178175&local_base=GPO01PUB,"No data",2022,I 19.127:2022-3027
"The bipartisan infrastructure law provides opportunities for water power across several programs / U.S. Department of Energy, Office of Energy Efficiency & Renewable Energy.",1178645,https://catalog.gpo.gov/F/?func=direct&doc_number=1178645&local_base=GPO01PUB,"No data",2022,E 1.120:2581
