----
| *Title* | *CGP* | *Author* | *Date* | *SuDoc*
:-----------------|:-----------------:|:-----------------:|:-----------------:|:-----------------:
"A co-simulation framework to study future energy-economy interactions / Stuart M. Cohen and three others.",1203373,https://catalog.gpo.gov/F/?func=direct&doc_number=1203373&local_base=GPO01PUB,"Cohen, Stuart (Stuart Michael)",2019,E 9.22:NREL/PR-6A20-75221
"A new approach and methodologies for characterizing the hydrogeologic properties of aquifers / by Fred J. Molz, Oktay Güven, Joel G. Melville ; with contributions by Iraj Javandel and Alfred E. Hess, Frederick L. Paillet.",1203309,https://catalog.gpo.gov/F/?func=direct&doc_number=1203309&local_base=GPO01PUB,"Molz, Fred J.",1990,EP 1.23/2:600/2-90/002
"A plan for study of natural and man-made hexavalent chromium, Cr(VI), in groundwater near a mapped plume, Hinkley, California / by John A. Izbicki and Krishangi Groover.",1204501,https://catalog.gpo.gov/F/?func=direct&doc_number=1204501&local_base=GPO01PUB,"Izbicki, John A.",2016,I 19.76:2016-1004
"A reconnaissance spatial and temporal baseline assessment of methane and inorganic constituents in groundwater in bedrock aquifers, Pike County, Pennsylvania, 2012-13 / by Lisa A. Senior.",1202827,https://catalog.gpo.gov/F/?func=direct&doc_number=1202827&local_base=GPO01PUB,"Senior, Lisa A.",2014,I 19.42/4-4:2014-5117
"A technique for estimating ground-water levels at sites in Rhode Island from observation-well data / by Roy S. Socolow and 3 others.",1206645,https://catalog.gpo.gov/F/?func=direct&doc_number=1206645&local_base=GPO01PUB,"Socolow, Roy S.",1994,I 19.42/4:94-4138
"Age of ground water in basalt aquifers near Spring Creek National Fish Hatchery, Skamania County, Washington / by Stephen R. Hinkle.",1203257,https://catalog.gpo.gov/F/?func=direct&doc_number=1203257&local_base=GPO01PUB,"Hinkle, Stephen R.",1996,I 19.42/4:95-4272
"Alabama and Landsat.",1202959,https://catalog.gpo.gov/F/?func=direct&doc_number=1202959&local_base=GPO01PUB,"No data",2022,I 19.127:2022-3060
"An overview comparing results from two decades of monitoring for pesticides in the nation's streams and rivers, 1992-2001 and 2002-2011 / by Wesley W. Stone, Robert J. Gilliom, and Jeffrey D. Martin.",1203388,https://catalog.gpo.gov/F/?func=direct&doc_number=1203388&local_base=GPO01PUB,"Stone, Wesley W.",2014,I 19.42/4-4:2014-5154
"Analysis of aquifer tests to determine hydrologic and water-quality conditions in stratified-drift and riverbed sediments near a former municipal well, Milford, New Hampshire / by Thomas J. Mack and Philip T. Harte.",1202906,https://catalog.gpo.gov/F/?func=direct&doc_number=1202906&local_base=GPO01PUB,"Mack, Thomas J.",1996,I 19.42/4:96-4019
"Analysis of floods, Including the Tropical Storm Irene inundation, of the Ottauquechee River in Woodstock, Bridgewater, and Killington and of Reservoir Brook in Bridgewater and Plymouth, Vermont / by Robert H. Flynn.",1204188,https://catalog.gpo.gov/F/?func=direct&doc_number=1204188&local_base=GPO01PUB,"Flynn, Robert H.",2014,I 19.42/4-4:2014-5214
"Application of ground-penetrating radar methods in determining hydrogeologic conditions in a karst area, west-central Florida / by G.L. Barr.",1204872,https://catalog.gpo.gov/F/?func=direct&doc_number=1204872&local_base=GPO01PUB,"Barr, G. L.",1993,I 19.42/4:92-4141
"Assessing inundation hazards to nuclear powerplant sites using geologically extended histories of riverine floods, tsunamis, and storm surges / by J.E. O'Connor and six others",1204042,https://catalog.gpo.gov/F/?func=direct&doc_number=1204042&local_base=GPO01PUB,"O'Connor, Jim E.",2014,I 19.42/4-4:2014-5207
"Assessment of the spatial extent and height of flooding in Lake Champlain during May 2011, using satellite remote sensing and ground-based information / by David M. Bjerklie, Thomas J. Trombley, and Scott A. Olson.",1203475,https://catalog.gpo.gov/F/?func=direct&doc_number=1203475&local_base=GPO01PUB,"Bjerklie, David M.",2014,I 19.42/4-4:2014-5163
"Burma / prepared by Mya Saw Shin.",1202647,https://catalog.gpo.gov/F/?func=direct&doc_number=1202647&local_base=GPO01PUB,"Mya Saw Shin",1992,LC 42.20:AC 7/3
