----
| *Title* | *CGP* | *Author* | *Date* | *SuDoc*
:-----------------|:-----------------|:-----------------|:-----------------|:-----------------
"ACCEPT: introduction of the adverse condition and critical event prediction toolbox / Rodney A. Martin and three others.",970788,https://catalog.gpo.gov/F/?func=direct&doc_number=970788&local_base=GPO01PUB,"Martin, Rodney A.",2015,NAS 1.15:2015-218927
"AI and the evolution of cloud computing : evaluating how financial data is stored, protected, and maintained by cloud providers : hearing before the Task Force on Artificial Intelligence of the Committee on Financial Services, U.S. House of Representatives, One Hundred Sixteenth Congress, first session, October 18, 2019.",1134645,https://catalog.gpo.gov/F/?func=direct&doc_number=1134645&local_base=GPO01PUB,"United States. Congress. House. Committee on Financial Services. Task Force on Artificial Intelligence",2020,Y 4.F 49/20:116-60
"AI in Government Act of 2019 : report of the Committee on Homeland Security and Governmental Affairs, United States Senate, to accompany S. 1363, to authorize an AI Center of Excellence within the General Services Administration, and for other purposes.",1122659,https://catalog.gpo.gov/F/?func=direct&doc_number=1122659&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Homeland Security and Governmental Affairs",2020,Y 1.1/5:116-225
"AI, UAVs, hypersonics, and autonomous systems : emerging technologies and Euro-Atlantic security : hearing before the Commission on Security and Cooperation in Europe, One Hundred Sixteenth Congress, second session, January 22, 2020.",1148626,https://catalog.gpo.gov/F/?func=direct&doc_number=1148626&local_base=GPO01PUB,"United States. Congress. Commission on Security and Cooperation in Europe",2021,Y 4.SE 2:116-2-1
"The AIM initiative : a strategy for augmenting intelligence using machines.",1091545,https://catalog.gpo.gov/F/?func=direct&doc_number=1091545&local_base=GPO01PUB,"United States. Office of the Director of National Intelligence",2019,PREX 28.2:AU 4
"Accessibility of big data imagery for next generation machine learning applications / Sarah Margolis and ten others.",1100716,https://catalog.gpo.gov/F/?func=direct&doc_number=1100716&local_base=GPO01PUB,"Margolis, Sarah",2019,C 55.13/2:NMFS-F/SPO-194
"An Act to Include Certain Computer-Related Projects in the Federal Permitting Program under Title XLI of the FAST Act, and for Other Purposes.",1200701,https://catalog.gpo.gov/F/?func=direct&doc_number=1200701&local_base=GPO01PUB,"United States",2022,AE 2.110:117-173
"Adding human expertise to the quantitative analysis of fingerprints : final report / Thomas Busey, Chen Yu.",1050843,https://catalog.gpo.gov/F/?func=direct&doc_number=1050843&local_base=GPO01PUB,"Busey, Thomas",2010,J 28.2:F 49/5
"Advanced computing, data science, and artificial intelligence research opportunities for energy-focused transportation science / David Biagioni and twelve others.",1169467,https://catalog.gpo.gov/F/?func=direct&doc_number=1169467&local_base=GPO01PUB,"Biagioni, David",2021,E 9.16:NREL/TP-2 C 00-79589
"Advanced data structures for the interpretation of image and cartographic data in geo-based information systems electronic resource : final report / by Donna J. Peuquet.",861169,https://catalog.gpo.gov/F/?func=direct&doc_number=861169&local_base=GPO01PUB,"Peuquet, Donna J.",1986,NAS 1.26:176559
"Advancing American AI Act : report of the Committee on Homeland Security and Governmental Affairs, United States Senate to accompany S. 1353 to promote United States values and fulfill agency missions through the use of innovative applied artificial intelligence technologies, and for other purposes.",1209811,https://catalog.gpo.gov/F/?func=direct&doc_number=1209811&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Homeland Security and Governmental Affairs",2023,Y 1.1/5:117-270
"Agent reasoning transparency: the influence of information level on automation-induced complacency / by Julia L Wright and three others.",1086983,https://catalog.gpo.gov/F/?func=direct&doc_number=1086983&local_base=GPO01PUB,"Wright, Julia L.",2017,D 101.133:8044
"Ai phase II : national security standards for artificial intelligence.",1135942,https://catalog.gpo.gov/F/?func=direct&doc_number=1135942&local_base=GPO01PUB,"No data",2019,HS 1.2:AR 7
"Al, human-machine interaction, and autonomous weapons : thinking carefully about taking "Killer Robots" seriously. Paper #2 / by Christopher A. Ford.",1125570,https://catalog.gpo.gov/F/?func=direct&doc_number=1125570&local_base=GPO01PUB,"Ford, Christopher A.",2020,S 22.15:1/2
"American Competitiveness of a More Productive Emerging Tech Economy Act : report (to accompany H.R. 8132).",1133536,https://catalog.gpo.gov/F/?func=direct&doc_number=1133536&local_base=GPO01PUB,"United States. Congress. House. Committee on Energy and Commerce",2020,Y 1.1/8:116-539
"American artificial intelligence initiative : year one annual report / prepared by the White House, Office of Science and Technology Policy.",1120007,https://catalog.gpo.gov/F/?func=direct&doc_number=1120007&local_base=GPO01PUB,"No data",2020,PREX 23.2:AR 7/2
"Americans at risk : manipulation and deception in the digital age : hearing before the Subcommittee on Consumer Protection and Commerce of the Committee on Energy and Commerce, House of Representatives, One Hundred Sixteenth Congress, second session, January 8, 2020.",1163981,https://catalog.gpo.gov/F/?func=direct&doc_number=1163981&local_base=GPO01PUB,"United States. Congress. House. Committee on Energy and Commerce. Subcommittee on Consumer Protection and Commerce",2021,Y 4.C 73/8:116-86
"Analytical learning and term-rewriting systems / Philip Laird and Evan Gamble.",1125563,https://catalog.gpo.gov/F/?func=direct&doc_number=1125563&local_base=GPO01PUB,"Laird, Philip",1990,NAS 1.15:107892
"Application of machine learning to rotorcraft health monitoring / Tyler Cody, Paula J. Dempsey.",1019932,https://catalog.gpo.gov/F/?func=direct&doc_number=1019932&local_base=GPO01PUB,"Cody, Tyler",2017,NAS 1.15:2017-219408
"Artificial Intelligence Training for the Acquisition Workforce Act : report of the Committee on Homeland Security and Governmental Affairs, United States Senate, to accompany S. 2551, to require the Director of the Office of Management and Budget to establish or otherwise provide an artificial intelligence training program for the acquisition workforce, and for other purposes.",1165167,https://catalog.gpo.gov/F/?func=direct&doc_number=1165167&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Homeland Security and Governmental Affairs",2021,Y 1.1/5:117-40
"Artificial Intelligence Training for the Acquisition Workforce Act.",1204292,https://catalog.gpo.gov/F/?func=direct&doc_number=1204292&local_base=GPO01PUB,"United States",2022,AE 2.110:117-207
"Artificial intelligence (AI) and education / Joyce J. Lu, Laurie A. Harris.",1126821,https://catalog.gpo.gov/F/?func=direct&doc_number=1126821&local_base=GPO01PUB,"Lu, Joyce J.",2020,LC 14.24:IF 10937/
"Artificial intelligence : DOD should improve strategies, inventory process, and collaboration guidance : report to congressional committees.",1178484,https://catalog.gpo.gov/F/?func=direct&doc_number=1178484&local_base=GPO01PUB,"United States. Government Accountability Office",2022,GA 1.13:GAO-22-105834
"Artificial intelligence : background, selected issues, and policy considerations / Laurie A. Harris.",1171705,https://catalog.gpo.gov/F/?func=direct&doc_number=1171705&local_base=GPO01PUB,"Harris, Laurie A.",2021,LC 14.23:R 46795/
"Artificial intelligence : risks and opportunities : hearing before the Committee on Homeland Security and Governmental Affairs, United States Senate, One Hundred Eighteenth Congress, first session, March 8, 2023.",1231001,https://catalog.gpo.gov/F/?func=direct&doc_number=1231001&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Homeland Security and Governmental Affairs",2023,Y 4.G 74/9:S.HRG.118-25
"Artificial intelligence : societal and ethical implications : hearing before the Committee on Science, Space, and Technology, House of Representatives, One Hundred Sixteenth Congress, first session, June 26, 2019.",1109796,https://catalog.gpo.gov/F/?func=direct&doc_number=1109796&local_base=GPO01PUB,"United States. Congress. House. Committee on Science, Space, and Technology (2011- )",2019,Y 4.SCI 2:116-32
"Artificial intelligence : with great power comes great responsibility : joint hearing before the Subcommittee on Research and Technology & Subcommittee on Energy, Committee on Science, Space, and Technology, House of Representatives, One Hundred Fifteenth Congress, second session, June 26, 2018.",1097585,https://catalog.gpo.gov/F/?func=direct&doc_number=1097585&local_base=GPO01PUB,"United States. Congress. House. Committee on Science, Space, and Technology (2011- ). Subcommittee on Research and Technology",2018,Y 4.SCI 2:115-67
"Artificial intelligence and national security / Daniel S. Hoadley, Nathan J. Lucas.",1084533,https://catalog.gpo.gov/F/?func=direct&doc_number=1084533&local_base=GPO01PUB,"Hoadley, Daniel S.",2018,LC 14.23:R 45178/
"Artificial intelligence and the future of work : hearing before the Subcommittee on Research and Technology, Committee on Science, Space, and Technology, House of Representatives, One Hundred Sixteenth Congress, first session, September 24, 2019.",1111822,https://catalog.gpo.gov/F/?func=direct&doc_number=1111822&local_base=GPO01PUB,"United States. Congress. House. Committee on Science, Space, and Technology (2011- ). Subcommittee on Research and Technology",2019,Y 4.SCI 2:116-48
"Artificial intelligence ethics framework for the intelligence community.",1127467,https://catalog.gpo.gov/F/?func=direct&doc_number=1127467&local_base=GPO01PUB,"No data",2020,PREX 28.2:AR 7
"Artificial intelligence for command and control of air power / Matthew R. Voke, Major, USAF.",1120936,https://catalog.gpo.gov/F/?func=direct&doc_number=1120936&local_base=GPO01PUB,"Voke, Matthew R.",2019,D 301.26/30:72
