----
| *Title* | *CGP* | *Author* | *Date* | *SuDoc*
:-----------------|:-----------------|:-----------------|:-----------------|:-----------------
""Disaster diplomacy" and the US response to COVID-19 / C. Anthony Pfaff.",1121042,https://catalog.gpo.gov/F/?func=direct&doc_number=1121042&local_base=GPO01PUB,"Pfaff, C. Anthony",2020,D 101.146:C 81
""Hole" of government : what COVID-19 reveals about American security planning / Isaiah Wilson III.",1121245,https://catalog.gpo.gov/F/?func=direct&doc_number=1121245&local_base=GPO01PUB,"Wilson, Isaiah",2020,D 101.146:C 81/7
""Tracing papers" : a comparison of COVID-19 data privacy bills / Jonathan M. Gaffney.",1138643,https://catalog.gpo.gov/F/?func=direct&doc_number=1138643&local_base=GPO01PUB,"Gaffney, Jonathan M.",2020,LC 14.25:LSB 10501/
""Unnecessary costs" : how the Trump Administration allowed thousands of aviation workers to lose their jobs : staff analysis / Select Subcommittee on the Coronavirus Crisis.",1170607,https://catalog.gpo.gov/F/?func=direct&doc_number=1170607&local_base=GPO01PUB,"United States. Congress. House. Committee on Oversight and Reform. Select Subcommittee on the Coronavirus Crisis",2020,Y 4.OV 2:AV 5
""Zombie" companies : background and policy issues / Eva Su.",1133524,https://catalog.gpo.gov/F/?func=direct&doc_number=1133524&local_base=GPO01PUB,"Su, Eva",2020,LC 14.24:IF 11673/
"(U) Potential links between the Wuhan Institute of Virology and the origin of the COVID-19 pandemic / Office of the Director of National Intelligence.",1230459,https://catalog.gpo.gov/F/?func=direct&doc_number=1230459&local_base=GPO01PUB,"United States. Office of the Director of National Intelligence",2023,PREX 28.2:W 95
"10 cách để kiểm soát các triệu chứng hô hấp tại nhà.",1118156,https://catalog.gpo.gov/F/?func=direct&doc_number=1118156&local_base=GPO01PUB,"No data",2020,HE 20.7002:C 81/22/VIET.
"10 choses que vous pouvez faire pour atténuer vos symptômes dus au COVID-19 chez vous.",1121624,https://catalog.gpo.gov/F/?func=direct&doc_number=1121624&local_base=GPO01PUB,"No data",2020,HE 20.7002:C 81/52/FR.
"10 maneras de manejar los síntomas respiratorios en casa.",1118132,https://catalog.gpo.gov/F/?func=direct&doc_number=1118132&local_base=GPO01PUB,"No data",2020,HE 20.7002:C 81/22/SPAN.
"10 things you can do to manage your COVID-19 symptoms at home.",1121538,https://catalog.gpo.gov/F/?func=direct&doc_number=1121538&local_base=GPO01PUB,"No data",2020,HE 20.7002:C 81/52
"10 things you can do to manage your COVID-19 symptoms at home.",1127393,https://catalog.gpo.gov/F/?func=direct&doc_number=1127393&local_base=GPO01PUB,"No data",2020,HE 20.7002:C 81/52/REV.
"10 ways to manage respiratory symptoms at home.",1118121,https://catalog.gpo.gov/F/?func=direct&doc_number=1118121&local_base=GPO01PUB,"No data",2020,HE 20.7002:C 81/22
"2020 Census fieldwork delayed by COVID-19 / Jennifer D. Williams.",1127701,https://catalog.gpo.gov/F/?func=direct&doc_number=1127701&local_base=GPO01PUB,"Williams, Jennifer D.",2020,LC 14.24:IF 11486/
"2020 Census: Census Bureau needs to assess data quality concerns stemming from recent design changes : report to congressional addressees.",1133478,https://catalog.gpo.gov/F/?func=direct&doc_number=1133478&local_base=GPO01PUB,"United States. Government Accountability Office",2020,GA 1.13:GAO-21-142
"2020 Census: Census Bureau needs to ensure transparency over data quality : testimony before the Committee on Oversight and Reform, House of Representatives / statement of J. Christopher Mihm.",1133477,https://catalog.gpo.gov/F/?func=direct&doc_number=1133477&local_base=GPO01PUB,"United States. Government Accountability Office",2020,GA 1.5/2:GAO-21-262 T
"The 2020 Renewable Fuel Standard (RFS) : COVID-19 impacts / Kelsi Bracmort.",1129379,https://catalog.gpo.gov/F/?func=direct&doc_number=1129379&local_base=GPO01PUB,"Bracmort, Kelsi",2020,LC 14.25/2:IN 11353/
"2020 census: COVID-19 presents delays and risks to census count : a report to congressional requesters.",1123208,https://catalog.gpo.gov/F/?func=direct&doc_number=1123208&local_base=GPO01PUB,"United States. Government Accountability Office",2020,GA 1.41:GAO-20-551 R
"2020 census: key areas for attention raised by compressed timeframes : testimony before the Committee on Oversight and Reform, U.S. House of Representatives / statement of J. Christopher Mihm.",1128849,https://catalog.gpo.gov/F/?func=direct&doc_number=1128849&local_base=GPO01PUB,"United States. Government Accountability Office",2020,GA 1.5/2:GAO-20-720 T
"2020 census: recent decision to compress census timeframe poses additional risks to an accurate count : a report to congressional requesters.",1128253,https://catalog.gpo.gov/F/?func=direct&doc_number=1128253&local_base=GPO01PUB,"United States. Government Accountability Office",2020,GA 1.41:GAO-20-671 R
"2020 elections : state and local perspectives on election administration during the COVID-19 pandemic : report to congressional committees.",1192925,https://catalog.gpo.gov/F/?func=direct&doc_number=1192925&local_base=GPO01PUB,"United States. Government Accountability Office",2022,GA 1.13:GAO-22-104731
"2020 general election preparations : hearing before the Committee on Rules and Administration, United States Senate, One Hundred Sixteenth Congress, second session, July 22, 2020.",1132554,https://catalog.gpo.gov/F/?func=direct&doc_number=1132554&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Rules and Administration",2020,Y 4.R 86/2:S.HRG.116-266
"2020 hurricane season FAQ : federal disaster assistance for hurricanes during the COVID-19 pandemic / Elizabeth M. Webster and five others.",1125576,https://catalog.gpo.gov/F/?func=direct&doc_number=1125576&local_base=GPO01PUB,"Webster, Elizabeth M.",2020,LC 14.23:R 46385/
"3 key steps to take while you wait for your COVID-19 test result.",1125505,https://catalog.gpo.gov/F/?func=direct&doc_number=1125505&local_base=GPO01PUB,"No data",2020,HE 20.7002:C 81/99
"30 days to slow the spread.",1118318,https://catalog.gpo.gov/F/?func=direct&doc_number=1118318&local_base=GPO01PUB,"No data",2020,HE 20.7008:C 81/7
"30 días para frenar la propagación.",1118461,https://catalog.gpo.gov/F/?func=direct&doc_number=1118461&local_base=GPO01PUB,"No data",2020,HE 20.7008:C 81/7/SPAN.
"9 Kauj Ruam los Txo Qis Kev Sib Kis Tus Kab Mob Khaus Viv-19 (COVID-19) Ntawm cov neeg ua hauj lwm hauv cov chaw tsim nqaij thiab tsiaj muaj tis, thiab nqaij npuas thiab cov chaw ntim.",1125428,https://catalog.gpo.gov/F/?func=direct&doc_number=1125428&local_base=GPO01PUB,"No data",2020,L 35.2:C 81/4/HMO.
"9 bước để giảm nguy cơ người lao động phơi nhiễm covid-19 trong cơ sở chế biến và đóng gói sản phẩm thịt, gia cầm và thịt heo.",1125831,https://catalog.gpo.gov/F/?func=direct&doc_number=1125831&local_base=GPO01PUB,"No data",2020,L 35.2:C 81/4/VIET.
"9 consejos para reducir el riesgo de exposición al virus covid-19 para las instalaciones de procesamiento de carne y aves y envasado.",1125373,https://catalog.gpo.gov/F/?func=direct&doc_number=1125373&local_base=GPO01PUB,"No data",2020,L 35.2:C 81/4/SPAN.
"9 etap pou redwi ekspozisyon travayè a covid-19 nan etablisman transfòmasyon ak anbalaj vyann, volay ak kochon.",1125421,https://catalog.gpo.gov/F/?func=direct&doc_number=1125421&local_base=GPO01PUB,"No data",2020,L 35.2:C 81/4/FRENCH-CRE.
"9 etapas para reduzir a exposição dos trabalhadores ao COVID-19, em instalações de processamento e embalagem de Carnes e Aves.",1125519,https://catalog.gpo.gov/F/?func=direct&doc_number=1125519&local_base=GPO01PUB,"No data",2020,L 35.2:C 81/4/PORT.
"9 étapes pour réduire l'exposition des travailleurs au COVID-19 dans les installations de transformation et d'emballage de viande, de volaille et de porc.",1125388,https://catalog.gpo.gov/F/?func=direct&doc_number=1125388&local_base=GPO01PUB,"No data",2020,L 35.2:C 81/4/FR.
"9 orientações para reduzir a exposição dos trabalhadores ao COVID-19 em instalações de processamento e embalagem de carne, aves e suínos.",1125382,https://catalog.gpo.gov/F/?func=direct&doc_number=1125382&local_base=GPO01PUB,"No data",2020,L 35.2:C 81/4/BRAZILIAN-PORT.
"9 steps to reducing worker exposure to COVID-19 in meat, poultry, and pork processing and packaging facilities.",1125360,https://catalog.gpo.gov/F/?func=direct&doc_number=1125360&local_base=GPO01PUB,"No data",2020,L 35.2:C 81/4
"Accountability in crisis : GAO's recommendations to improve the federal coronavirus response : hearing before the Select Subcommittee on the Coronavirus Crisis of the Committee on Oversight and Reform, House of Representatives, One Hundred Sixteenth Congress, second session, June 26, 2020.",1133483,https://catalog.gpo.gov/F/?func=direct&doc_number=1133483&local_base=GPO01PUB,"United States. Congress. House. Committee on Oversight and Reform. Select Subcommittee on the Coronavirus Crisis",2020,Y 4.OV 2:116-100
"An Act to Amend the CARES Act to Extend the Sunset for the Definition of a Small Business Debtor, and for Other Purposes.",1148272,https://catalog.gpo.gov/F/?func=direct&doc_number=1148272&local_base=GPO01PUB,"United States",2021,AE 2.110:117-5
"An Act to Amend the Internal Revenue Code of 1986 to Repeal the Excise Tax on High Cost Employer-sponsored Health Coverage.",1127469,https://catalog.gpo.gov/F/?func=direct&doc_number=1127469&local_base=GPO01PUB,"United States",2020,AE 2.110:116-136
"An Act to Authorize the Secretary of Veterans Affairs to Furnish COVID-19 Vaccines to Certain Individuals, and for Other Purposes.",1148281,https://catalog.gpo.gov/F/?func=direct&doc_number=1148281&local_base=GPO01PUB,"United States",2021,AE 2.110:117-4
"An Act to Direct the Federal Trade Commission to Develop and Disseminate Information to the Public about Scams Related to COVID-19, and for Other Purposes.",1147970,https://catalog.gpo.gov/F/?func=direct&doc_number=1147970&local_base=GPO01PUB,"United States",2021,AE 2.110:116-287
"An Act to Extend Public Safety Officer Death Benefits to Public Safety Officers Whose Death is Caused by COVID-19, and for Other Purposes.",1127986,https://catalog.gpo.gov/F/?func=direct&doc_number=1127986&local_base=GPO01PUB,"United States",2020,AE 2.110:116-157
"An Act to Extend the Statute of Limitations for Fraud by Borrowers under Certain COVID-19 Economic Injury Disaster Loan Programs of the Small Business Administration, and for Other Purposes.",1194517,https://catalog.gpo.gov/F/?func=direct&doc_number=1194517&local_base=GPO01PUB,"United States",2022,AE 2.110:117-165
"An Act to Facilitate the Expedited Review of COVID-19 Hate Crimes, and for Other Purposes.",1158086,https://catalog.gpo.gov/F/?func=direct&doc_number=1158086&local_base=GPO01PUB,"United States",2021,AE 2.110:117-13
"An Act to Make Certain Improvements in the Educational Assistance Benefits under the Laws Administered by the Secretary of Veterans Affairs in the Case of Changes to Courses of Education by Reason of Emergency Situations, and for Other Purposes.",1120826,https://catalog.gpo.gov/F/?func=direct&doc_number=1120826&local_base=GPO01PUB,"United States",2020,AE 2.110:116-140
"An Act to Restrict the Imposition by the Secretary of Homeland Security of Fines, Penalties, Duties, or Tariffs Applicable Only to Coastwise Voyages, or Prohibit Otherwise Qualified Non-United States Citizens from Serving as Crew, on Specified Vessels Transporting Passengers between the State of Washington and the State of Alaska, to Address a Canadian Cruise Ship Ban and the Extraordinary Impacts of the COVID-19 Pandemic on Alaskan Communities, and for Other Purposes.",1158081,https://catalog.gpo.gov/F/?func=direct&doc_number=1158081&local_base=GPO01PUB,"United States",2021,AE 2.110:117-14
"Activity at the Wuhan Institute of Virology.",1136704,https://catalog.gpo.gov/F/?func=direct&doc_number=1136704&local_base=GPO01PUB,"No data",2021,S 1.2:W 95
"Addressing COVID-19 pandemic impacts on civil aviation operations / Bart Elias.",1129407,https://catalog.gpo.gov/F/?func=direct&doc_number=1129407&local_base=GPO01PUB,"Elias, Bartholomew",2020,LC 14.23:R 46483/
"Addressing the risk of COVID-19 in preschool, elementary and secondary schools while serving children with disabilities.",1125387,https://catalog.gpo.gov/F/?func=direct&doc_number=1125387&local_base=GPO01PUB,"No data",2020,ED 1.202:C 81
"Addressing the risk of COVID-19 in schools while protecting the civil rights of students.",1125429,https://catalog.gpo.gov/F/?func=direct&doc_number=1125429&local_base=GPO01PUB,"No data",2020,ED 1.2:C 81/6
