----
| *Title* | *CGP* | *Author* | *Date* | *SuDoc*
:-----------------|:-----------------:|:-----------------:|:-----------------:|:-----------------:
""Affirmative action" and equal protection in higher education / Christine J. Back, JD S. Hsin.",1094911,https://catalog.gpo.gov/F/?func=direct&doc_number=1094911&local_base=GPO01PUB,"Back, Christine J.",2019,LC 14.23:R 45481/
""Dear colleague" letters in the House of Representatives : past practices and issues for Congress / Jacob R. Straus.",1096082,https://catalog.gpo.gov/F/?func=direct&doc_number=1096082&local_base=GPO01PUB,"Straus, Jacob R.",2018,LC 14.23:R 44768/
""Dirty bombs" : background in brief / Mary Beth D. Nikitin.",1106885,https://catalog.gpo.gov/F/?func=direct&doc_number=1106885&local_base=GPO01PUB,"Nikitin, Mary Beth Dunham",2018,LC 14.23:R 41891/
""Duck Boat" accident highlights gap in regulation / Bill Canis.",1172852,https://catalog.gpo.gov/F/?func=direct&doc_number=1172852&local_base=GPO01PUB,"Canis, Bill",2018,LC 14.25/2:IN 10932/
""Entrenchment" of Senate procedure and the "nuclear option" for change : possible proceedings and their implications / Richard S. Beth.",1106416,https://catalog.gpo.gov/F/?func=direct&doc_number=1106416&local_base=GPO01PUB,"Beth, Richard S.",2019,LC 14.23:RL 32843/
""Extraordinary measures" and the debt limit / Grant A. Driessen, Joseph S. Hughes.",1134713,https://catalog.gpo.gov/F/?func=direct&doc_number=1134713&local_base=GPO01PUB,"Driessen, Grant A.",2019,LC 14.25/2:IN 10837/
""Faithless elector" challenge goes to Supreme Court / Jacob D. Shelly.",1137579,https://catalog.gpo.gov/F/?func=direct&doc_number=1137579&local_base=GPO01PUB,"Shelly, Jacob D.",2020,LC 14.25:LSB 10462/
""Fast track" legislative procedures governing congressional consideration of a Defense Base Closure and Realignment (BRAC) Commission report / Christopher M. Davis.",1101960,https://catalog.gpo.gov/F/?func=direct&doc_number=1101960&local_base=GPO01PUB,"Davis, Christopher M.",2018,LC 14.23:R 43102/
""Fast track" procedures to disapprove additional funds under the Emergency Economic Stabilization Act / Christopher M. Davis.",1113593,https://catalog.gpo.gov/F/?func=direct&doc_number=1113593&local_base=GPO01PUB,"Davis, Christopher M.",2018,LC 14.23:R 40134/
""Fast-track" or expedited procedures : their purpose, elements, and implications / Christopher M. Davis.",1113576,https://catalog.gpo.gov/F/?func=direct&doc_number=1113576&local_base=GPO01PUB,"Davis, Christopher M.",2018,LC 14.23:98-888/
""First day" proceedings and procedural change In the Senate / Valerie Heitshusen.",1105517,https://catalog.gpo.gov/F/?func=direct&doc_number=1105517&local_base=GPO01PUB,"Heitshusen, Valerie",2018,LC 14.23:R 42928/
""Holds" in the Senate / Mark J. Oleszek.",1098318,https://catalog.gpo.gov/F/?func=direct&doc_number=1098318&local_base=GPO01PUB,"Oleszek, Mark J.",2018,LC 14.23:R 43563/
