----
| *Title* | *CGP* | *Author* | *Date* | *SuDoc*
|:-----------------|:-----------------|:-----------------|:-----------------|:-----------------
"... American travel survey.",1200651,https://catalog.gpo.gov/F/?func=direct&doc_number=1200651&local_base=GPO01PUB,"No data",1997,TD 12.2:AM 3/
"... FAIR Act inventory data.",1414775,https://catalog.gpo.gov/F/?func=direct&doc_number=1414775&local_base=GPO01PUB,"United States. National Transportation Safety Board",1800,TD 1.102:IN 8/
"... economic census.",1168935,https://catalog.gpo.gov/F/?func=direct&doc_number=1168935&local_base=GPO01PUB,"No data",1999,TD 12.27:
"... motor vehicle occupant safety survey.",784824,https://catalog.gpo.gov/F/?func=direct&doc_number=784824&local_base=GPO01PUB,"No data",2019,TD 8.2:M 85/36/
"... unit plan.",1137836,https://catalog.gpo.gov/F/?func=direct&doc_number=1137836&local_base=GPO01PUB,"United States. Federal Highway Administration. Office of Research, Development, and Technology",2000,TD 2.30/24-2:
"10 smart routes to bicycle safety",654100,https://catalog.gpo.gov/F/?func=direct&doc_number=654100&local_base=GPO01PUB,"No data",1998,TD 8.2:B 47/7
"The 100-car naturalistic driving study a descriptive analysis of light vehicle-heavy vehicle interactions from the light vehicle driver's perspective.",800266,https://catalog.gpo.gov/F/?func=direct&doc_number=800266&local_base=GPO01PUB,"No data",2005,TD 2.302:N 21
"1996 National Fleet Safety Survey",805509,https://catalog.gpo.gov/F/?func=direct&doc_number=805509&local_base=GPO01PUB,"No data",1998,TD 2.30/20:98-004
"2003 Highway-Rail Grade Crossing Safety Research Needs Workshop /",863327,https://catalog.gpo.gov/F/?func=direct&doc_number=863327&local_base=GPO01PUB,"Highway-Rail Grade Crossing Safety Research Needs Workshop (2nd : John A. Volpe National Transportation Center)",2009,TD 3.15:09/09
"The 2007 Click It or Ticket high-visibility seat belt mobilization",763638,https://catalog.gpo.gov/F/?func=direct&doc_number=763638&local_base=GPO01PUB,"No data",2010,TD 8.63:395
"2007 motor vehicle occupant safety survey finds children more likely to use booster seats compared to 2003",764387,https://catalog.gpo.gov/F/?func=direct&doc_number=764387&local_base=GPO01PUB,"No data",2009,TD 8.63:375
"2007 national roadside survey of alcohol and drug use by drivers : drug results /",701843,https://catalog.gpo.gov/F/?func=direct&doc_number=701843&local_base=GPO01PUB,"No data",2009,TD 8.67:811 249
"2010 traffic incident management handbook update /",790086,https://catalog.gpo.gov/F/?func=direct&doc_number=790086&local_base=GPO01PUB,"Owens, Nicholas",2010,TD 2.30/19:10-013
"2012 urban congestion trends : operations : the key to reliable travel.",1126842,https://catalog.gpo.gov/F/?func=direct&doc_number=1126842&local_base=GPO01PUB,"No data",2013,TD 2.30/19:13-016
"2014 traffic sign retroreflective sheeting identification guide.",987453,https://catalog.gpo.gov/F/?func=direct&doc_number=987453&local_base=GPO01PUB,"No data",2014,TD 2.30/13:14-022
"2016 freight quick facts report /",1007266,https://catalog.gpo.gov/F/?func=direct&doc_number=1007266&local_base=GPO01PUB,"Worth, Monica",2016,TD 2.30/19:16-083
