----
| *Title* | *CGP* | *Author* | *Date* | *SuDoc*
:-----------------|:-----------------|:-----------------|:-----------------|:-----------------
"Building the space workforce of the future : STEM engagement for a 21st century education : hearing before the Subcommittee on Aviation and Space of the Committee on Commerce, Science, and Transportation, United States Senate, One Hundred Sixteenth Congress, first session, November 5, 2019.",1231588,https://catalog.gpo.gov/F/?func=direct&doc_number=1231588&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Commerce, Science, and Transportation. Subcommittee on Aviation and Space",2023,Y 4.C 73/7:S.HRG.116-617
"China's artificial intelligence ecosystem / Richard Uber.",1231427,https://catalog.gpo.gov/F/?func=direct&doc_number=1231427&local_base=GPO01PUB,"Uber, Richard",2021,D 5.216:AR 7/2
"Continuation of the national emergency with respect to Hong Kong : message from the President of the United States transmitting notification that the national emergency with respect to Hong Kong, declared in Executive Order 13936 on July 14, 2020, is to continue in effect beyond July 14, 2023, pursuant to 50 U.S.C. 1622(d); Public Law 94-412, sec. 202(d); (90 STAT. 1257).",1231640,https://catalog.gpo.gov/F/?func=direct&doc_number=1231640&local_base=GPO01PUB,"United States. President (2021- : Biden)",2023,Y 1.1/7:118-51
"Digital repression growing globally, threatening freedoms / National Intelligence Council.",1232188,https://catalog.gpo.gov/F/?func=direct&doc_number=1232188&local_base=GPO01PUB,"National Intelligence Council (U.S.)",2022,PREX 28.18/4-2:2022-22810
"Hypersonic research collaboration between the United Kingdom and People's Republic of China / Geoffrey Chambers and Matt Bruzzese, a BluePath Labs report.",1231742,https://catalog.gpo.gov/F/?func=direct&doc_number=1231742&local_base=GPO01PUB,"Chambers, Geoffrey",2023,D 301.26/6:H 99/2
"Oversight hearing on preserving U.S. interests in the Indo-Pacific : examining how U.S. engagement counters Chinese influence in the region : oversight hearing before the Subcommittee on Indian and Insular Affairs of the Committee on Natural Resources, House of Representatives, One Hundred Eighteenth Congress, first session, Tuesday, May 16, 2023.",1230802,https://catalog.gpo.gov/F/?func=direct&doc_number=1230802&local_base=GPO01PUB,"United States. Congress. House. Committee on Natural Resources. Subcommittee on Indian and Insular Affairs",2023,Y 4.R 31/3:118-29
"Oversight of the U.S. Patent and Trademark Office : hearing before the Subcommittee on Courts, Intellectual Property, and the Internet of the Committee on the Judiciary, U.S. House of Representatives, One Hundred Eighteenth Congress, first session, Thursday, April 27, 2023.",1230646,https://catalog.gpo.gov/F/?func=direct&doc_number=1230646&local_base=GPO01PUB,"United States. Congress. House. Committee on the Judiciary. Subcommittee on Courts, Intellectual Property, and the Internet",2023,Y 4.J 89/1:118-17
"Planning for and implementing effective school desegregation : the role of teacher associations / written by Boyd Bosma ; edited by Florence Hamlish Levinsohn.",1232011,https://catalog.gpo.gov/F/?func=direct&doc_number=1232011&local_base=GPO01PUB,"Bosma, Boyd",1980,ED 1.302:D 45
"Report of the National Academy of Sciences for the year ...",1232154,https://catalog.gpo.gov/F/?func=direct&doc_number=1232154&local_base=GPO01PUB,"National Academy of Sciences (U.S.)",1800,Y 1.1/2:
"Research and innovation : ensuring America's economic and strategic leadership : hearing before the Subcommittee on Science, Oceans, Fisheries, and Weather of the Committee on Commerce, Science, and Transportation, United States Senate, One Hundred Sixteenth Congress, first session, October 22, 2019.",1231442,https://catalog.gpo.gov/F/?func=direct&doc_number=1231442&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Commerce, Science, and Transportation. Subcommittee on Science, Oceans, Fisheries, and Weather",2023,Y 4.C 73/7:S.HRG.116-614
"Rural quality of life : opportunities and challenges for the rural care economy : hearing before the Committee on Agriculture, Nutrition, and Forestry, United States Senate, One Hundred Seventeenth Congress, second session, March 22, 2022.",1231359,https://catalog.gpo.gov/F/?func=direct&doc_number=1231359&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Agriculture, Nutrition, and Forestry",2023,Y 4.AG 8/3:S.HRG.117-602
"Sudan: pressure mounts on the government / Lauren Ploch Blanchard.",1231189,https://catalog.gpo.gov/F/?func=direct&doc_number=1231189&local_base=GPO01PUB,"Blanchard, Lauren Ploch",2019,LC 14.25/2:IN 11058/
"The United States, China, and the fight for global leadership : building a U.S. National Science and Technology strategy : hearing before the Committee on Science, Space and Technology, of the House of Representatives, One Hundred Eighteenth Congress, first session, February 28, 2023.",1230792,https://catalog.gpo.gov/F/?func=direct&doc_number=1230792&local_base=GPO01PUB,"United States. Congress. House. Committee on Science, Space, and Technology (2011- )",2023,Y 4.SCI 2:118-1
"The Voting Rights Act : historical development and policy background / R. Sam Garrett.",1230324,https://catalog.gpo.gov/F/?func=direct&doc_number=1230324&local_base=GPO01PUB,"Garrett, R. Sam",2023,LC 14.23:R 47520/
"An examination of existing programs and future opportunities to ensure access to affordable, reliable, and clean energy for rural and low-income communities : hearing before the Subcommittee on Energy of the Committee on Energy and Natural Resources, United States Senate, One Hundred Seventeenth Congress, first session, June 23, 2021.",1231361,https://catalog.gpo.gov/F/?func=direct&doc_number=1231361&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Energy and Natural Resources. Subcommittee on Energy",2023,Y 4.EN 2:S.HRG.117-143
