----
| *Title* | *CGP* | *Author* | *Date* | *SuDoc* | *Format*
:-----------------|:-----------------|:-----------------|:-----------------|:-----------------|:-----------------
"21st century communities : expanding opportunity through infrastructure investments : hearing before the Committee on Banking, Housing, and Urban Affairs, United States Senate, One Hundred Seventeenth Congress, first session on examining how infrastructure investment will help workers and their families, May 20, 2021.",1229726,https://catalog.gpo.gov/F/?func=direct&doc_number=1229726&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Banking, Housing, and Urban Affairs",2023,Y 4.B 22/3:S.HRG.117-284,Print
"Building the space workforce of the future : STEM engagement for a 21st century education : hearing before the Subcommittee on Aviation and Space of the Committee on Commerce, Science, and Transportation, United States Senate, One Hundred Sixteenth Congress, first session, November 5, 2019.",1231589,https://catalog.gpo.gov/F/?func=direct&doc_number=1231589&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Commerce, Science, and Transportation. Subcommittee on Aviation and Space",2023,Y 4.C 73/7:S.HRG.116-617,Print
"Continuation of the national emergency with respect to Belarus : message from the President of the United States transmitting notification that the national emergency with respect to Belarus declared in Executive Order 13405 of June 16, 2006, as modified, is to continue in effect beyond June 16, 2023, pursuant to 50 U.S.C. 1622(d); Public Law 94- 412, Sec. 202(d); (90 Stat. 1257).",1229807,https://catalog.gpo.gov/F/?func=direct&doc_number=1229807&local_base=GPO01PUB,"United States. President (2021- : Biden)",2023,Y 1.1/7:118-47,Print
"Continuation of the national emergency with respect to Hong Kong : message from the President of the United States transmitting notification that the national emergency with respect to Hong Kong, declared in Executive Order 13936 on July 14, 2020, is to continue in effect beyond July 14, 2023, pursuant to 50 U.S.C. 1622(d); Public Law 94-412, sec. 202(d); (90 STAT. 1257).",1231639,https://catalog.gpo.gov/F/?func=direct&doc_number=1231639&local_base=GPO01PUB,"United States. President (2021- : Biden)",2023,Y 1.1/7:118-51,Print
"Cooperative farm credit can assist in rural development.",1231290,https://catalog.gpo.gov/F/?func=direct&doc_number=1231290&local_base=GPO01PUB,"No data",1958,FCA 1.4/2:E-44,Print
"Oversight hearing on preserving U.S. interests in the Indo-Pacific : examining how U.S. engagement counters Chinese influence in the region : oversight hearing before the Subcommittee on Indian and Insular Affairs of the Committee on Natural Resources, House of Representatives, One Hundred Eighteenth Congress, first session, Tuesday, May 16, 2023.",1230803,https://catalog.gpo.gov/F/?func=direct&doc_number=1230803&local_base=GPO01PUB,"United States. Congress. House. Committee on Natural Resources. Subcommittee on Indian and Insular Affairs",2023,Y 4.R 31/3:118-29,Print
"Planning for and implementing effective school desegregation : the role of teacher associations / written by Boyd Bosma ; edited by Florence Hamlish Levinsohn.",1232003,https://catalog.gpo.gov/F/?func=direct&doc_number=1232003&local_base=GPO01PUB,"Bosma, Boyd",1980,ED 1.302:D 45,Print
"Research and innovation : ensuring America's economic and strategic leadership : hearing before the Subcommittee on Science, Oceans, Fisheries, and Weather of the Committee on Commerce, Science, and Transportation, United States Senate, One Hundred Sixteenth Congress, first session, October 22, 2019.",1231443,https://catalog.gpo.gov/F/?func=direct&doc_number=1231443&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Commerce, Science, and Transportation. Subcommittee on Science, Oceans, Fisheries, and Weather",2023,Y 4.C 73/7:S.HRG.116-614,Print
"Rural quality of life : opportunities and challenges for the rural care economy : hearing before the Committee on Agriculture, Nutrition, and Forestry, United States Senate, One Hundred Seventeenth Congress, second session, March 22, 2022.",1231324,https://catalog.gpo.gov/F/?func=direct&doc_number=1231324&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Agriculture, Nutrition, and Forestry",2023,Y 4.AG 8/3:S.HRG.117-602,Print
"The United States, China, and the fight for global leadership : building a U.S. National Science and Technology strategy : hearing before the Committee on Science, Space and Technology, of the House of Representatives, One Hundred Eighteenth Congress, first session, February 28, 2023.",1230687,https://catalog.gpo.gov/F/?func=direct&doc_number=1230687&local_base=GPO01PUB,"United States. Congress. House. Committee on Science, Space, and Technology (2011- )",2023,Y 4.SCI 2:118-1,Print
"An examination of existing programs and future opportunities to ensure access to affordable, reliable, and clean energy for rural and low-income communities : hearing before the Subcommittee on Energy of the Committee on Energy and Natural Resources, United States Senate, One Hundred Seventeenth Congress, first session, June 23, 2021.",1231362,https://catalog.gpo.gov/F/?func=direct&doc_number=1231362&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Energy and Natural Resources. Subcommittee on Energy",2023,Y 4.EN 2:S.HRG.117-143,Print
