----
| *Title* | *CGP* | *Author* | *Date* | *SuDoc*
|:-----------------|:-----------------|:-----------------|:-----------------|:-----------------
""We are in earnest for our rights" : Representative Joesph H. Rainey and the struggle for Reconstruction.",1263441,https://catalog.gpo.gov/F/?func=direct&doc_number=1263441&local_base=GPO01PUB,"No data",2020,Y 1.2:R 13/2
"AI risk management framework /",1262886,https://catalog.gpo.gov/F/?func=direct&doc_number=1262886&local_base=GPO01PUB,"No data",2021,C 13.2:AR 7/
"Agricultural trade : priorities and issues facing America's farmers : hearing before the Subcommittee on Commodities, Risk Management, and Trade of the Committee on Agriculture, Nutrition, and Forestry, United States Senate, One Hundred Seventeenth Congress, second session, June 9, 2022.",1263636,https://catalog.gpo.gov/F/?func=direct&doc_number=1263636&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Agriculture, Nutrition, and Forestry. Subcommittee on Commodities, Risk Management, and Trade",2024,Y 4.AG 8/3:S.HRG.117-607
"Amendments to the Voting Rights Act of 1965 : hearings before the Subcommittee on Constitutional Rights of the Committee on the Judiciary, United States Senate, Ninety-first Congress, first and second sessions on S.818, S.2456, S.2507, and Title IV of S.2029, bills to amend the Voting Rights Act of 1965, July 9, 10, 11, and 30, 1969, February 18,19, 24, 25, and 26, 1970.",1263659,https://catalog.gpo.gov/F/?func=direct&doc_number=1263659&local_base=GPO01PUB,"United States. Congress. Senate. Committee on the Judiciary. Subcommittee on Constitutional Rights",1970,Y 4.J 89/2:V 94/2/969-70
"Artificial intelligence accountability policy report.",1257609,https://catalog.gpo.gov/F/?func=direct&doc_number=1257609&local_base=GPO01PUB,"United States. National Telecommunications and Information Administration",2024,C 60.2:AR 7
"Building tech capacity in law enforcement agencies : on strengthening foundations and pathways for public interest technologists in government.",1261525,https://catalog.gpo.gov/F/?func=direct&doc_number=1261525&local_base=GPO01PUB,"No data",2024,FT 1.49:T 22
"Continuation of the national emergency with respect to Belarus : message from the President of the United States transmitting notification that the national emergency with respect to Belarus declared in Executive Order 13405 of June 16, 2006, as modified, is to continue in effect beyond June 16, 2024, pursuant to 50 U.S.C. 1622(d); Public Law 94- 412, Sec. 202(d); (90 Stat. 1257).",1263794,https://catalog.gpo.gov/F/?func=direct&doc_number=1263794&local_base=GPO01PUB,"United States. President (2021- : Biden)",2024,Y 1.1/7:118-148
"Employment spillover effects of rural inpatient healthcare facilities /",1262579,https://catalog.gpo.gov/F/?func=direct&doc_number=1262579&local_base=GPO01PUB,"Miller, Cristina",2017,A 93.73:241
"Examining the New York child welfare system and its impact on black children and families : a report of the New York Advisory Committee to the U.S. Commission on Civil Rights.",1263493,https://catalog.gpo.gov/F/?func=direct&doc_number=1263493&local_base=GPO01PUB,"United States Commission on Civil Rights. New York State Advisory Committee",2024,CR 1.8/2-2:N 42 Y/W 45
"Executive order on the termination of emergency with respect to the situation in Zimbabwe /",1262573,https://catalog.gpo.gov/F/?func=direct&doc_number=1262573&local_base=GPO01PUB,"United States. President (2021- : Biden)",2024,PR 46.2:EX 3/7
"Fact sheet: President Biden announces key progress on efforts to close the racial wealth gap /",1257845,https://catalog.gpo.gov/F/?func=direct&doc_number=1257845&local_base=GPO01PUB,"No data",2024,PREX 1.24:R 11
"Fact sheet: President Biden announces up to $6.1 billion preliminary agreement with Micron under the CHIPS and Science Act /",1262305,https://catalog.gpo.gov/F/?func=direct&doc_number=1262305&local_base=GPO01PUB,"No data",2024,PREX 1.24:M 58
"Farm bill 2023 : research programs : hearing before the Committee on Agriculture, Nutrition, and Forestry, United States Senate, One Hundred Seventeenth Congress, second session, December 6, 2022.",1411504,https://catalog.gpo.gov/F/?func=direct&doc_number=1411504&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Agriculture, Nutrition, and Forestry",2024,Y 4.AG 8/3:S.HRG.117-613
"Food, Conservation, and Energy Act of 2008, Section 14010, report of civil rights complaints, resolutions and actions.",1411408,https://catalog.gpo.gov/F/?func=direct&doc_number=1411408&local_base=GPO01PUB,"United States. Department of Agriculture",1800,A 1.2:C 49/9/
"Guidelines for federal research agencies regarding foreign talent recruitment programs.",1263716,https://catalog.gpo.gov/F/?func=direct&doc_number=1263716&local_base=GPO01PUB,"United States. Office of Science and Technology Policy",2024,PREX 23.2:R 24
"Hong Kong adopts new national security ordinance : Article 23 /",1263666,https://catalog.gpo.gov/F/?func=direct&doc_number=1263666&local_base=GPO01PUB,"Barrios, Ricardo",2024,LC 14.25/2:IN 12341/
"Improving access and inclusivity in the patent system : unleashing America's economic engine : hearing before the Subcommittee on Intellectual Property of the Committee on the Judiciary, United States Senate, One Hundred Seventeenth Congress, first session, April 21, 2021.",1257912,https://catalog.gpo.gov/F/?func=direct&doc_number=1257912&local_base=GPO01PUB,"United States. Congress. Senate. Committee on the Judiciary. Subcommittee on Intellectual Property",2024,Y 4.J 89/2:S.HRG.117-531
"Legislative hearing on the Endless Frontier Act : hearing before the Committee on Commerce, Science, and Transportation, United States Senate, One Hundred Seventeenth Congress, first session, April 14, 2021.",1257907,https://catalog.gpo.gov/F/?func=direct&doc_number=1257907&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Commerce, Science, and Transportation",2024,Y 4.C 73/7:S.HRG.117-841
"Letter from Justice Samuel A. Alito, Jr. to Hon. Richard J. Durbin and Hon. Sheldon Whitehouse, rejecting request to recuse.",1263820,https://catalog.gpo.gov/F/?func=direct&doc_number=1263820&local_base=GPO01PUB,"Alito, Samuel A., Jr.",2024,JU 6.2:R 25
"Military justice: increased oversight, data collection, and analysis could aid assessment of racial disparities : report to congressional committees /",1263024,https://catalog.gpo.gov/F/?func=direct&doc_number=1263024&local_base=GPO01PUB,"United States. Government Accountability Office",2024,GA 1.13:GAO-24-106386
"Notification and Federal Employee Anti-discrimination and Retaliation ... Act annual report /",1411392,https://catalog.gpo.gov/F/?func=direct&doc_number=1411392&local_base=GPO01PUB,"United States. Merit Systems Protection Board",1800,MS 1.2:EM 7/8/
"Opportunities and challenges facing farmers, families, and rural communities : hearing before the Committee on Agriculture, Nutrition, and Forestry, United States Senate, One Hundred Seventeenth Congress, second session, May 26, 2022.",1262630,https://catalog.gpo.gov/F/?func=direct&doc_number=1262630&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Agriculture, Nutrition, and Forestry",2024,Y 4.AG 8/3:S.HRG.117-605
"The Patent Trial and Appeal Board and inter partes review /",1263594,https://catalog.gpo.gov/F/?func=direct&doc_number=1263594&local_base=GPO01PUB,"Zirpoli, Christopher T.",2024,LC 14.23:R 48016/
"Patent infringement : hearings before the Subcommittee on Patents, Trademarks, and Copyrights of the Committee on the Judiciary, United States Senate, Eighty-ninth Congress, first session, pursuant to S. Res. 48 on S. 1047, June 1, 2, 3, July 6, 7, August 17 and 19, 1965.",1263608,https://catalog.gpo.gov/F/?func=direct&doc_number=1263608&local_base=GPO01PUB,"United States. Congress. Senate. Committee on the Judiciary. Subcommittee on Patents, Trademarks, and Copyrights",1965,Y 4.J 89/2:P 27/29
"Patent listing in FDA's Orange Book /",1263233,https://catalog.gpo.gov/F/?func=direct&doc_number=1263233&local_base=GPO01PUB,"Hickey, Kevin J.",2024,LC 14.24:IF 12644/
"Potential application of Bostock v. Clayton county to other civil rights statues /",1261382,https://catalog.gpo.gov/F/?func=direct&doc_number=1261382&local_base=GPO01PUB,"Back, Christine J.",2021,LC 14.23:R 46832/
"Pride in patent ownership : the value of knowing who owns a patent : hearing before the Subcommittee on Intellectual Property of the Committee on the Judiciary, United States Senate, One Hundred Seventeenth Congress, first session, October 19, 2021.",1411394,https://catalog.gpo.gov/F/?func=direct&doc_number=1411394&local_base=GPO01PUB,"United States. Congress. Senate. Committee on the Judiciary. Subcommittee on Intellectual Property",2024,Y 4.J 89/2:S.HRG.117-152
"Race-conscious admissions and equal protection in higher education /",1263804,https://catalog.gpo.gov/F/?func=direct&doc_number=1263804&local_base=GPO01PUB,"Anderson, April J.",2024,LC 14.23:R 48043/
"Report on plan for facilitating awardee access to the microgravity environment.",1263718,https://catalog.gpo.gov/F/?func=direct&doc_number=1263718&local_base=GPO01PUB,"National Science Foundation (U.S.)",2023,NS 1.2:M 58/2
"Roundtable : how can we improve health workforce diversity and address shortages? A conversation with historically black college and university leaders and students : field hearing of the Committee on Health, Education, Labor, and Pensions, United States Senate, One Hundred Eighteenth Congress, first session on field hearing held in Morehouse School of Medicine, Atlanta, GA, May 12, 2023.",1257535,https://catalog.gpo.gov/F/?func=direct&doc_number=1257535&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Health, Education, Labor, and Pensions",2024,Y 4.L 11/4:S.HRG.118-199
"Rural Small Business Resilience Act : report together with minority views (to accompany H.R. 7984).",1263674,https://catalog.gpo.gov/F/?func=direct&doc_number=1263674&local_base=GPO01PUB,"United States. Congress. House. Committee on Small Business",2024,Y 1.1/8:118-537
"Selma and the 1965 Voting Rights Act.",1263440,https://catalog.gpo.gov/F/?func=direct&doc_number=1263440&local_base=GPO01PUB,"No data",2015,Y 1.2:SE 4/2
"Strengthening oversight and equity in the appraisal process : hearing before the Committee on Banking, Housing and Urban Affairs, United States Senate, One Hundred Seventeenth Congress, second session on examining strengthening oversight and equity in the appraisal process, March 24, 2022.",1263264,https://catalog.gpo.gov/F/?func=direct&doc_number=1263264&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Banking, Housing, and Urban Affairs",2024,Y 4.B 22/3:S.HRG.117-758
"Structure, management practices, and production costs of U.S. beef cow-calf farms /",1261269,https://catalog.gpo.gov/F/?func=direct&doc_number=1261269&local_base=GPO01PUB,"Gillespie, Jeffrey (Research agricultural economist)",2023,A 93.73:321
"TikTok and China's digital platforms : issues for Congress /",1263232,https://catalog.gpo.gov/F/?func=direct&doc_number=1263232&local_base=GPO01PUB,"Sutter, Karen M.",2024,LC 14.24:IF 12640/
"USDA's Value-Added Producer Grant program and its effect on business survival and growth /",1262472,https://catalog.gpo.gov/F/?func=direct&doc_number=1262472&local_base=GPO01PUB,"Rupasingha, Anil",2018,A 93.73:248
"Urban and suburban county committee pilot - ... report.",1263836,https://catalog.gpo.gov/F/?func=direct&doc_number=1263836&local_base=GPO01PUB,"United States. Department of Agriculture",1800,A 1.2:UR 1/
"Utility-scale solar and wind development in rural areas : land cover change (2009-20) /",1262921,https://catalog.gpo.gov/F/?func=direct&doc_number=1262921&local_base=GPO01PUB,"Maguire, Karen (Agricultural economist)",2024,A 93.73:330
"The race to 5G : exploring spectrum needs to maintain U.S. global leadership : hearing before the Committee on Commerce, Science, and Transportation, United States Senate, One Hundred Fifteenth Congress, second session, July 25, 2018.",1257591,https://catalog.gpo.gov/F/?func=direct&doc_number=1257591&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Commerce, Science, and Transportation",2024,Y 4.C 73/7:S.HRG.115-790
"The value of scientific information: an overview /",1262152,https://catalog.gpo.gov/F/?func=direct&doc_number=1262152&local_base=GPO01PUB,"Pindilli, Emily",2023,I 19.76:2023-1011
