----
| *Title* | *CGP* | *Author* | *Date* | *SuDoc* | *Format*
:-----------------|:-----------------:|:-----------------:|:-----------------:|:-----------------:|:-----------------:
"... annual Earth System Grid Federation Face-to-Face Conference report.",1203249,https://catalog.gpo.gov/F/?func=direct&doc_number=1203249&local_base=GPO01PUB,"Annual Earth System Grid Federation Face-to-Face Conference",2016,E 1.2:EA 7/,Print
"Combatting authoritarianism : U.S. tools and responses : hearing before the Committee on Foreign Relations, United States Senate, One Hundred Seventeenth Congress, second session, March 15, 2022.",1202530,https://catalog.gpo.gov/F/?func=direct&doc_number=1202530&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Foreign Relations",2022,Y 4.F 76/2:S.HRG.117-350,Print
"Continuing injustice : the centennial of the Tulsa-Greenwood Race Massacre : hearing before the Subcommittee on the Constitution, Civil Rights, and Civil Liberties of the Committee on the Judiciary, U.S. House of Representatives, One Hundred Seventeenth Congress, first session, Wednesday, May 19, 2021.",1201808,https://catalog.gpo.gov/F/?func=direct&doc_number=1201808&local_base=GPO01PUB,"United States. Congress. House. Committee on the Judiciary. Subcommittee on the Constitution, Civil Rights, and Civil Liberties",2022,Y 4.J 89/1:117-22,Print
"Discrimination and violence against Asian Americans : hearing before the Subcommittee on the Constitution, Civil Rights, and Civil Liberties of the Committee on the Judiciary, U.S. House of Representatives, One Hundred Seventeenth Congress, first session, Thursday, March 18, 2021.",1201575,https://catalog.gpo.gov/F/?func=direct&doc_number=1201575&local_base=GPO01PUB,"United States. Congress. House. Committee on the Judiciary. Subcommittee on the Constitution, Civil Rights, and Civil Liberties",2022,Y 4.J 89/1:117-12,Print
"Examining the history and importance of "Lift Every Voice and Sing" : hearing before the Subcommittee on the Constitution, Civil Rights, and Civil Liberties of the Committee on the Judiciary, U.S. House of Representatives, One Hundred Seventeenth Congress, second session, Friday, February 4, 2022.",1202329,https://catalog.gpo.gov/F/?func=direct&doc_number=1202329&local_base=GPO01PUB,"United States. Congress. House. Committee on the Judiciary. Subcommittee on the Constitution, Civil Rights, and Civil Liberties",2022,Y 4.J 89/1:117-54,Print
"Impeachment of Donald John Trump : the evidentiary record pursuant to S. Res. 47.",1203693,https://catalog.gpo.gov/F/?func=direct&doc_number=1203693&local_base=GPO01PUB,"No data",2022,Y 1.1/3:117-4/,Print
"Recommendations to improve continuity of government and congressional operations : report, the Select Committee on the Modernization of Congress, U.S. House of Representatives.",1203229,https://catalog.gpo.gov/F/?func=direct&doc_number=1203229&local_base=GPO01PUB,"United States. Congress. House. Select Committee on the Modernization of Congress",2020,Y 4.2:M 72/C 76,Microfiche
"SBA district office collaboration with resource partners : hearing before the Subcommittee on Underserved, Agricultural, and Rural Business Development of the Committee on Small Business, United States House of Representatives, One Hundred Seventeenth Congress, second session, hearing held July 20, 2022.",1203675,https://catalog.gpo.gov/F/?func=direct&doc_number=1203675&local_base=GPO01PUB,"United States. Congress. House. Committee on Small Business. Subcommittee on Underserved, Agricultural, and Rural Business Development",2022,Y 4.SM 1:117-063,Print
"Securing the future : harnessing the potential of emerging technologies while mitigating security risks : hearing before the Subcommittee on Cybersecurity, Infrastructure Protection, and Innovation of the Committee on Homeland Security, House of Representatives, One Hundred Seventeenth Congress, second session, June 22, 2022.",1204124,https://catalog.gpo.gov/F/?func=direct&doc_number=1204124&local_base=GPO01PUB,"United States. Congress. House. Committee on Homeland Security. Subcommittee on Cybersecurity, Infrastructure Protection, and Innovation",2022,Y 4.H 75:117-63,Print
"The Burma crisis, one year after the coup : hearing before the Subcommittee on Asia, the Pacific, Central Asia, and Nonproliferation of the Committee on Foreign Affairs, House of Representatives, One Hundred Seventeenth Congress, second session, February 17, 2022.",1203897,https://catalog.gpo.gov/F/?func=direct&doc_number=1203897&local_base=GPO01PUB,"United States. Congress. House. Committee on Foreign Affairs. Subcommittee on Asia, the Pacific, Central Asia and Nonproliferation",2022,Y 4.F 76/1:117-105,Print
"The White House ... garden tours.",1203880,https://catalog.gpo.gov/F/?func=direct&doc_number=1203880&local_base=GPO01PUB,"No data",2016,I 29.2:W 58/12/,Print
"Voter suppression and continuing threats to democracy : hearing before the Subcommittee on the Constitution, Civil Rights, and Civil Liberties of the Committee on the Judiciary, U.S. House of Representatives, One Hundred Seventeenth Congress, second session, Thursday, January 20, 2022.",1201898,https://catalog.gpo.gov/F/?func=direct&doc_number=1201898&local_base=GPO01PUB,"United States. Congress. House. Committee on the Judiciary. Subcommittee on the Constitution, Civil Rights, and Civil Liberties",2022,Y 4.J 89/1:117-49,Print
