----
| *Title* | *CGP* | *Author* | *Date* | *SuDoc* | *Format*
|:-----------------|:-----------------|:-----------------|:-----------------|:-----------------|:-----------------
"Bridging history: Selma and the Voting Rights Act of 1965 /",1263417,https://catalog.gpo.gov/F/?func=direct&doc_number=1263417&local_base=GPO01PUB,"No data",2015,Y 1.2:SE 4/3,Print
"Continuation of the national emergency with respect to Belarus : message from the President of the United States transmitting notification that the national emergency with respect to Belarus declared in Executive Order 13405 of June 16, 2006, as modified, is to continue in effect beyond June 16, 2024, pursuant to 50 U.S.C. 1622(d); Public Law 94- 412, Sec. 202(d); (90 Stat. 1257).",1263795,https://catalog.gpo.gov/F/?func=direct&doc_number=1263795&local_base=GPO01PUB,"United States. President (2021- : Biden)",2024,Y 1.1/7:118-148,Print
"Farm bill 2023 : rural development and energy programs : hearing before the Committee on Agriculture, Nutrition, and Forestry, United States Senate, One Hundred Seventeenth Congress, second session, November 15, 2022.",1411340,https://catalog.gpo.gov/F/?func=direct&doc_number=1411340&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Agriculture, Nutrition, and Forestry",2024,Y 4.AG 8/3:S.HRG.117-611,Print
"Individual awards plan : war production drive.",1262203,https://catalog.gpo.gov/F/?func=direct&doc_number=1262203&local_base=GPO01PUB,"United States. War Production Board.",1942,PR 32.4802:P 94/4,Microfilm
"Promoting Resilient Supply Chains Act of 2023 : report (to accompany H.R. 6571).",1262455,https://catalog.gpo.gov/F/?func=direct&doc_number=1262455&local_base=GPO01PUB,"United States. Congress. House. Committee on Energy and Commerce",2024,Y 1.1/8:118-473,Print
"Remarks on presenting the Congressional Medal of Honor to African-American heroes of World War II.",1411327,https://catalog.gpo.gov/F/?func=direct&doc_number=1411327&local_base=GPO01PUB,"No data",1997,AE 1.102:C 61/2,Print
"Rural Small Business Resilience Act : report together with minority views (to accompany H.R. 7984).",1263675,https://catalog.gpo.gov/F/?func=direct&doc_number=1263675&local_base=GPO01PUB,"United States. Congress. House. Committee on Small Business",2024,Y 1.1/8:118-537,Print
"Science achievement and occupational career/technical education coursetaking in high school : the class of 2005 /",1263447,https://catalog.gpo.gov/F/?func=direct&doc_number=1263447&local_base=GPO01PUB,"Levesque, Karen",2010,ED 1.328/4:SCI 2,Print
"Survey of American listed corporations. Data on profits and operations including surplus, 1946-1947. Reported information on registrants with the Securities and Exchange Commission under the Securities act of 1933 and the Securities exchange act of 1934. Pt. 1-7.",1262326,https://catalog.gpo.gov/F/?func=direct&doc_number=1262326&local_base=GPO01PUB,"United States. Securities and Exchange Commission",1948,SE 1.2:C 81/10/1046-1947,Print
"The future of Hong Kong, U.S. policy going forward.",1263105,https://catalog.gpo.gov/F/?func=direct&doc_number=1263105&local_base=GPO01PUB,"United States. Congress. House. Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party",2024,Y 4.2:C 44/H 75,Print
