----
| *Title* | *CGP* | *Author* | *Date* | *SuDoc*
|:-----------------|:-----------------|:-----------------|:-----------------|:-----------------
"The "English rule" on payment of costs of civil litigation.",1193515,https://catalog.gpo.gov/F/?func=direct&doc_number=1193515&local_base=GPO01PUB,"Shroff, Kersi B.",1996,LC 42.20:EN 3/10
""Identity cards" and "reference books" in the Republic of South Africa.",1126751,https://catalog.gpo.gov/F/?func=direct&doc_number=1126751&local_base=GPO01PUB,"No data",1971,LC 42.20:ID 2
"A "fast-track" authority for negotiating trade agreements? : Australia, Brazil, Canada, European Union, Switzerland, United Kingdom.",1232156,https://catalog.gpo.gov/F/?func=direct&doc_number=1232156&local_base=GPO01PUB,"No data",2001,LC 42.20:N 31/3
"The "right to roam" English law on public rights-of-way and access to the countryside /",1126073,https://catalog.gpo.gov/F/?func=direct&doc_number=1126073&local_base=GPO01PUB,"Shroff, Kersi B.",1990,LC 42.20:R 44/2
"The "sole organ" doctrine /",1135771,https://catalog.gpo.gov/F/?func=direct&doc_number=1135771&local_base=GPO01PUB,"Fisher, Louis",2006,LC 42.20:SO 4
"The 10% rate of corporation tax in Ireland.",1177642,https://catalog.gpo.gov/F/?func=direct&doc_number=1177642&local_base=GPO01PUB,"Shroff, Kersi B.",1996,LC 42.20:C 81/4
"1942 Protocol of Rio de Janeiro.",1193868,https://catalog.gpo.gov/F/?func=direct&doc_number=1193868&local_base=GPO01PUB,"Rodriguez-Ferrand, Graciela",1994,LC 42.20:P 94/11
"The 1975 Constitution of the People's Republic of China /",1119871,https://catalog.gpo.gov/F/?func=direct&doc_number=1119871&local_base=GPO01PUB,"Hsia, Tao-tai",1975,LC 42.20:C 44/3
"The 1975 revised Constitution of the People's Republic of China /",1124549,https://catalog.gpo.gov/F/?func=direct&doc_number=1124549&local_base=GPO01PUB,"Hsia, Tao-tai",1975,LC 42.20:C 44/13
"The 1978 act on foreign investment in Yugoslavia /",1201799,https://catalog.gpo.gov/F/?func=direct&doc_number=1201799&local_base=GPO01PUB,"Katich, Stephen S.",19,LC 42.20:IN 8/23
"The 1978 constitution of the People's Republic of China.",1168363,https://catalog.gpo.gov/F/?func=direct&doc_number=1168363&local_base=GPO01PUB,"No data",1978,LC 42.20:C 76/22
"The 1987 Swedish marriage code /",1213321,https://catalog.gpo.gov/F/?func=direct&doc_number=1213321&local_base=GPO01PUB,"Nozari, Fariborz",1989,LC 42.20:M 34/102
"The 1998 Ukranian parliamentary election /",1130054,https://catalog.gpo.gov/F/?func=direct&doc_number=1130054&local_base=GPO01PUB,"Gawdiak, Natalie",2003,LC 42.20:UK 7
"The 25th amendment to the United States Constitution : a bibliography /",1124508,https://catalog.gpo.gov/F/?func=direct&doc_number=1124508&local_base=GPO01PUB,"Norris, Loretta A.",1974,LC 42.20:AM 3
"The 25th amendment to the United States Constitution : a bibliography /",1168372,https://catalog.gpo.gov/F/?func=direct&doc_number=1168372&local_base=GPO01PUB,"Norris, Loretta A.",1982,LC 42.20:AM 3/1981
"AIDS and immigration restrictions : Argentina, Peru, Philippines, Singapore, Uruguay.",1208817,https://catalog.gpo.gov/F/?func=direct&doc_number=1208817&local_base=GPO01PUB,"No data",1989,LC 42.20:AC 7/5
"AIDS and immigration restrictions: Japan, Thailand /",1212701,https://catalog.gpo.gov/F/?func=direct&doc_number=1212701&local_base=GPO01PUB,"Nishioka, Takeo",1989,LC 42.20:AC 7/6
"AIDS legislation in various European countries: Belgium, France, Germany, Greece, Italy, Netherlands, Poland, Sweden, Switzerland, United Kingdom.",1214449,https://catalog.gpo.gov/F/?func=direct&doc_number=1214449&local_base=GPO01PUB,"No data",1992,LC 42.20:AC 7/8
"Abduction of a Colombian child by a parent in the United States /",1181279,https://catalog.gpo.gov/F/?func=direct&doc_number=1181279&local_base=GPO01PUB,"Rodriguez-Ferrand, Graciela",1993,LC 42.20:AB 3/2
"Abortion and birth control in Hong Kong /",1124392,https://catalog.gpo.gov/F/?func=direct&doc_number=1124392&local_base=GPO01PUB,"Mya Saw Shin",1969,LC 42.20:H 75/6
"Abortion and birth control in Japan /",1124387,https://catalog.gpo.gov/F/?func=direct&doc_number=1124387&local_base=GPO01PUB,"Cho, Sung Yoon",1969,LC 42.20:J 27/21
"Abortion and birth control in Singapore /",1124395,https://catalog.gpo.gov/F/?func=direct&doc_number=1124395&local_base=GPO01PUB,"Mya Saw Shin",1969,LC 42.20:SI 6/4
"Abortion and birth control in South Korea /",1124389,https://catalog.gpo.gov/F/?func=direct&doc_number=1124389&local_base=GPO01PUB,"Cho, Sung Yoon",1969,LC 42.20:SO 8 K/2
"Abortion and birth control in Taiwan /",1124396,https://catalog.gpo.gov/F/?func=direct&doc_number=1124396&local_base=GPO01PUB,"Mya Saw Shin",1969,LC 42.20:T 13
"Abortion and birth control in Thailand /",1124399,https://catalog.gpo.gov/F/?func=direct&doc_number=1124399&local_base=GPO01PUB,"Mya Saw Shin",1969,LC 42.20:T 32/4
"Abortion and sex selection in European countries.",1175402,https://catalog.gpo.gov/F/?func=direct&doc_number=1175402&local_base=GPO01PUB,"No data",2012,LC 42.20:AB 7/8
"Abortion in Iran /",1180979,https://catalog.gpo.gov/F/?func=direct&doc_number=1180979&local_base=GPO01PUB,"Vafai, Gholam H.",1993,LC 42.20:AB 7/9
"Abortion law : Australia, India, Kenya, Russia.",1215711,https://catalog.gpo.gov/F/?func=direct&doc_number=1215711&local_base=GPO01PUB,"No data",1994,LC 42.20:AB 7/22
"Abortion law : France, Germany.",1231087,https://catalog.gpo.gov/F/?func=direct&doc_number=1231087&local_base=GPO01PUB,"No data",1993,LC 42.20:AB 7/25
"Abortion law and funding.",1215034,https://catalog.gpo.gov/F/?func=direct&doc_number=1215034&local_base=GPO01PUB,"No data",1993,LC 42.20:AB 7/21
"Abortion law: Hong Kong, Malaysia, Taiwan.",1212530,https://catalog.gpo.gov/F/?func=direct&doc_number=1212530&local_base=GPO01PUB,"No data",1998,LC 42.20:AB 7/17
"Abortion law: India, Pakistan /",1213807,https://catalog.gpo.gov/F/?func=direct&doc_number=1213807&local_base=GPO01PUB,"Nehra, Krishan S.",1990,LC 42.20:AB 7/19
"Abortion laws and policies in 19 jurisdictions.",1201686,https://catalog.gpo.gov/F/?func=direct&doc_number=1201686&local_base=GPO01PUB,"No data",1996,LC 42.20:AB 7/13
"Abortion laws in China, Germany, and Great Britain /",1124987,https://catalog.gpo.gov/F/?func=direct&doc_number=1124987&local_base=GPO01PUB,"Shroff, Kersi B.",1990,LC 42.20:AB 7
"Abortion laws in the German Democratic Republic, Great Britain, and Poland /",1210254,https://catalog.gpo.gov/F/?func=direct&doc_number=1210254&local_base=GPO01PUB,"No data",1990,LC 42.20:AB 7/15
"Abortion laws of the Near Eastern and African countries.",1217632,https://catalog.gpo.gov/F/?func=direct&doc_number=1217632&local_base=GPO01PUB,"No data",1965,LC 42.20:AB 7/23
"Abortion legislation : Bosnia Herzegovina, Russia, Ukraine.",1130509,https://catalog.gpo.gov/F/?func=direct&doc_number=1130509&local_base=GPO01PUB,"Roudik, Peter",2007,LC 42.20:AB 7/3
"Abrogation of a treaty under the Constitution of the Republic of China /",1120731,https://catalog.gpo.gov/F/?func=direct&doc_number=1120731&local_base=GPO01PUB,"Hsia, Tao-tai",1979,LC 42.20:T 71/3
"Absentee voting for citizens residing abroad : Austria, Netherlands, Spain.",1215171,https://catalog.gpo.gov/F/?func=direct&doc_number=1215171&local_base=GPO01PUB,"Palmer, Edith",1993,LC 42.20:AB 8/2
"Absentee voting in Asian countries.",1194047,https://catalog.gpo.gov/F/?func=direct&doc_number=1194047&local_base=GPO01PUB,"No data",1999,LC 42.20:V 94/13
"Absentee voting in national elections : Egypt, France, Haiti, Iraq, Lebanon.",1214536,https://catalog.gpo.gov/F/?func=direct&doc_number=1214536&local_base=GPO01PUB,"No data",2005,LC 42.20:V 94/24
"Absinthe and the law.",1193896,https://catalog.gpo.gov/F/?func=direct&doc_number=1193896&local_base=GPO01PUB,"DeGlopper, Donald R. (Donald Robert)",1995,LC 42.20:AB 8
"Abuse of patents in Canada.",1204942,https://catalog.gpo.gov/F/?func=direct&doc_number=1204942&local_base=GPO01PUB,"Clarke, Stephen F.",2000,LC 42.20:P 27/16
"Academic degrees in Poland.",1214475,https://catalog.gpo.gov/F/?func=direct&doc_number=1214475&local_base=GPO01PUB,"Sadowski, Tadeusz",1973,LC 42.20:AC 1/2
"Academic discussion meeting on the Law of the Sea.",1158096,https://catalog.gpo.gov/F/?func=direct&doc_number=1158096&local_base=GPO01PUB,"Hsia, Tao-tai",1983,LC 42.20:L 41/10
"Access to banking and telephone records.",1175898,https://catalog.gpo.gov/F/?func=direct&doc_number=1175898&local_base=GPO01PUB,"No data",2005,LC 42.20:B 22/6
"Access to classified information : France, Germany, United Kingdom /",1229752,https://catalog.gpo.gov/F/?func=direct&doc_number=1229752&local_base=GPO01PUB,"Atwill, Nicole",1999,LC 42.20:C 56
"Acquisition and use of property by aliens in foreign countries /",1124800,https://catalog.gpo.gov/F/?func=direct&doc_number=1124800&local_base=GPO01PUB,"No data",1992,LC 42.20:AC 7
"Acquisition of Israeli citizenship by Christians /",1202661,https://catalog.gpo.gov/F/?func=direct&doc_number=1202661&local_base=GPO01PUB,"Levush, Ruth",2003,LC 42.20:C 49/33
"Acquisition of Israeli citizenship by Jewish immigrants.",1213261,https://catalog.gpo.gov/F/?func=direct&doc_number=1213261&local_base=GPO01PUB,"Levush, Ruth",1989,LC 42.20:C 49/47
"Acquisition of Thai nationality.",1120153,https://catalog.gpo.gov/F/?func=direct&doc_number=1120153&local_base=GPO01PUB,"Mya Saw Shin",1970,LC 42.20:N 21
"Acquisition of citizenship by children of foreign parents.",1215284,https://catalog.gpo.gov/F/?func=direct&doc_number=1215284&local_base=GPO01PUB,"No data",1993,LC 42.20:C 49/52
"Acquisition of citizenship through marriage under Swiss law.",1215794,https://catalog.gpo.gov/F/?func=direct&doc_number=1215794&local_base=GPO01PUB,"Sipkov, Ivan",1991,LC 42.20:C 49/54
"Acquisition of nationality by birth : Italy, Vietnam.",1217628,https://catalog.gpo.gov/F/?func=direct&doc_number=1217628&local_base=GPO01PUB,"No data",1994,LC 42.20:N 21/35
"Acquisition of real property by foreigners in Morocco.",1161471,https://catalog.gpo.gov/F/?func=direct&doc_number=1161471&local_base=GPO01PUB,"Wekerle, Anton",1980,LC 42.20:AQ 5
"Acquisitons report: Near Eastern and African Law Division.",1213913,https://catalog.gpo.gov/F/?func=direct&doc_number=1213913&local_base=GPO01PUB,"No data",1965,LC 42.20:AC 7/7
"The Act of Endowment of the Pacific Cultural Foundation, A juridical person.",1149833,https://catalog.gpo.gov/F/?func=direct&doc_number=1149833&local_base=GPO01PUB,"Ho, Paul",1974,LC 42.20:AC 8
"Actions by one state against another for transboundary pollution : Belgium, France, Federal Republic of Germany, Greece, India, Pakistan, and Bangladesh, Japan, Scandinavia, Spain.",1130682,https://catalog.gpo.gov/F/?func=direct&doc_number=1130682&local_base=GPO01PUB,"Clarke, Stephen F.",1990,LC 42.20:T 68
"Actions by one state against another for transboundary pollution: Portugal, Switzerland, USSR.",1248728,https://catalog.gpo.gov/F/?func=direct&doc_number=1248728&local_base=GPO01PUB,"No data",1990,LC 42.20:T 68/6
"Administration of estates under Libyan law /",1125682,https://catalog.gpo.gov/F/?func=direct&doc_number=1125682&local_base=GPO01PUB,"Jwaideh, Zuhair E.",1969,LC 42.20:E 8
"Admissibility of illegally obtained evidence : a comparative analysis of the laws of England, Scotland, Ireland, Canada, Australia, and New Zealand /",1158226,https://catalog.gpo.gov/F/?func=direct&doc_number=1158226&local_base=GPO01PUB,"Shroff, Kersi B.",1981,LC 42.2:IL 6
"Admission of skilled immigrants : Australia, Canada /",1217967,https://catalog.gpo.gov/F/?func=direct&doc_number=1217967&local_base=GPO01PUB,"Shroff, Kersi B.",1999,LC 42.20:SK 3
"Adoption among the Ibo Tribe of Nigeria.",1161479,https://catalog.gpo.gov/F/?func=direct&doc_number=1161479&local_base=GPO01PUB,"Okon, Emmanuel",1980,LC 42.20:AD 7/33
"Adoption among the Moslem population of Yugoslavia /",1230326,https://catalog.gpo.gov/F/?func=direct&doc_number=1230326&local_base=GPO01PUB,"Jovanovich, George",1972,LC 42.20:M 85/11
"Adoption and guardianship under the laws of Iran.",1194065,https://catalog.gpo.gov/F/?func=direct&doc_number=1194065&local_base=GPO01PUB,"Vafai, Gholam H.",1997,LC 42.20:G 93/3
"Adoption and the concept of "extended family" in Liberia.",1149276,https://catalog.gpo.gov/F/?func=direct&doc_number=1149276&local_base=GPO01PUB,"Bayar, Belma",1981,LC 42.20:AD 7/15
"Adoption in Albania /",1193467,https://catalog.gpo.gov/F/?func=direct&doc_number=1193467&local_base=GPO01PUB,"Bernal, Marie-Louise H.",1994,LC 42.20:AD 7/56
"Adoption in Burma.",1149591,https://catalog.gpo.gov/F/?func=direct&doc_number=1149591&local_base=GPO01PUB,"Mya Saw Shin",1973,LC 42.20:AD 7/26
"Adoption in Cambodia.",1247724,https://catalog.gpo.gov/F/?func=direct&doc_number=1247724&local_base=GPO01PUB,"Johnson, Constance A.",2001,LC 42.20:AD 7/98
"Adoption in Eastern Nigeria /",1149581,https://catalog.gpo.gov/F/?func=direct&doc_number=1149581&local_base=GPO01PUB,"McDonald, Neil R.",1974,LC 42.20:AD 7/25
