001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001068980,151105s1923\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927735141, 0241 (online), C 13.25:1," Recommended minimum requirements for small dwelling construction :  report of Building Code Committee July 20, 1922 /", Building and housing publication ;1 , https://doi.org/10.6028/NBS.BH.1 https://www.govinfo.gov/content/pkg/GOVPUB-C13-355ae8e6789ebb0186fc7fd126f3f1e0/pdf/GOVPUB-C13-355ae8e6789ebb0186fc7fd126f3f1e0.pdf https://purl.fdlp.gov/GPO/gpo96605
001068981,151105s1924\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927735142, 0241 (online), C 13.25:2," Recommended minimum requirements for plumbing in dwellings and similar buildings :  final report of subcommittee on plumbing of the building code committee July 3, 1923 /", Building and housing publication ;2 , https://doi.org/10.6028/NBS.BH.2 https://www.govinfo.gov/content/pkg/GOVPUB-C13-8afc00e9f8b74ee2210470b8964ead5c/pdf/GOVPUB-C13-8afc00e9f8b74ee2210470b8964ead5c.pdf https://purl.fdlp.gov/GPO/gpo100414
001068982,151105s1922\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927735034, 0241 (online), C 13.25:3, A zoning primer by the advisory committee on zoning appointed by Secretary Hoover / , Building and housing publication ;3 , https://doi.org/10.6028/NBS.BH.3 https://www.govinfo.gov/content/pkg/GOVPUB-C13-cf208d8ed0dda43ed677acd6cad8be81/pdf/GOVPUB-C13-cf208d8ed0dda43ed677acd6cad8be81.pdf https://purl.fdlp.gov/GPO/gpo103167
001068983,151105s1923\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927735217, 0241 (online), C 13.25:4, How to own your home :  a handbook for prospective home owners /, Building and housing publication ;4 , https://doi.org/10.6028/NBS.BH.4 https://www.govinfo.gov/content/pkg/GOVPUB-C13-bf6cee0bb97bd007e345ebc98f24eb84/pdf/GOVPUB-C13-bf6cee0bb97bd007e345ebc98f24eb84.pdf https://purl.fdlp.gov/GPO/gpo102510
001068984,151105s1924\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927735218, 0241 (online), C 13.25:5, A standard state zoning enabling act under which municipalities may adopt zoning regulations by the advisory committee on zoning appointed by Secretary Hoover / , Building and housing publication ;5 , https://doi.org/10.6028/NBS.BH.5 https://www.govinfo.gov/content/pkg/GOVPUB-C13-35817d4f546cea4496be0cd6c98660ea/pdf/GOVPUB-C13-35817d4f546cea4496be0cd6c98660ea.pdf https://purl.fdlp.gov/GPO/gpo96608
001068985,151105s1925\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927734969, 0241 (online), C 13.25:6," Recommended minimum requirements for masonry wall construction :  report of building code committee June 26, 1924 /", Building and housing publication ;6 , https://doi.org/10.6028/NBS.BH.6 https://www.govinfo.gov/content/pkg/GOVPUB-C13-7892fae6f60fdf7fd84ad08549fc7018/pdf/GOVPUB-C13-7892fae6f60fdf7fd84ad08549fc7018.pdf https://purl.fdlp.gov/GPO/gpo99537
001068986,151105s1925\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927735219, 0241 (online), C 13.25:7," Minimum live loads allowable for use in design of buildings :  report of building code committee November 1, 1925 /", Building and housing publication ;7 , https://doi.org/10.6028/NBS.BH.7 https://www.govinfo.gov/content/pkg/GOVPUB-C13-3fe62f845d95fcec4699463b39c5241d/pdf/GOVPUB-C13-3fe62f845d95fcec4699463b39c5241d.pdf https://purl.fdlp.gov/GPO/gpo97397
001068987,151105s1925\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927735221, 0241 (online), C 13.25:8," Recommended practice for arrangement of building codes :  report of building code committee July 15, 1925 /", Building and housing publication ;8 , https://doi.org/10.6028/NBS.BH.8 https://www.govinfo.gov/content/pkg/GOVPUB-C13-fc12ce54e5afbacf704b87358f6e525e/pdf/GOVPUB-C13-fc12ce54e5afbacf704b87358f6e525e.pdf https://purl.fdlp.gov/GPO/gpo105266
001068988,151105s1926\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927735336, 0241 (online), C 13.25:9," Recommended building code requirements for working stresses in building materials :  report of building code committee June 1, 1926 /", Building and housing publication ;9 , https://doi.org/10.6028/NBS.BH.9 https://www.govinfo.gov/content/pkg/GOVPUB-C13-28f33b188fcc39f8ef2596bf58c5ccc4/pdf/GOVPUB-C13-28f33b188fcc39f8ef2596bf58c5ccc4.pdf https://purl.fdlp.gov/GPO/gpo96103
001068989,151105s1926\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927735303, 0241 (online), C 13.25:10, A city planning primer by the advisory committee on zoning appointed by Secretary Hoover / , Building and housing publication ;10 , https://doi.org/10.6028/NBS.BH.10 https://www.govinfo.gov/content/pkg/GOVPUB-C13-58f91c89fcb29ccb4e3c8c6a7db3ef38/pdf/GOVPUB-C13-58f91c89fcb29ccb4e3c8c6a7db3ef38.pdf https://purl.fdlp.gov/GPO/gpo98141
