001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u, 
001068828,151030s1938\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168366, 0241 (online), C 13.29:9," Structural properties of the insulated steel construction company's ""frameless-steel"" constructions for walls, partitions, floors, and roofs / ", Building materials and structures report ; 9 , https://doi.org/10.6028/NBS.BMS.9 https://www.govinfo.gov/content/pkg/GOVPUB-C13-460de8546881d0cc6a10c13565834763/pdf/GOVPUB-C13-460de8546881d0cc6a10c13565834763.pdf https://purl.fdlp.gov/GPO/gpo97288,
001068830,151030s1943\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168467, 0241 (online), C 13.29:100, Relative slipperiness of floor and deck surfaces / , Building materials and structures report ; 100 , https://doi.org/10.6028/NBS.BMS.100 https://www.govinfo.gov/content/pkg/GOVPUB-C13-ec85067fb7033674cb81bdd373a92aee/pdf/GOVPUB-C13-ec85067fb7033674cb81bdd373a92aee.pdf https://purl.fdlp.gov/GPO/gpo104649,
001068846,151030s1949\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168314, 0241 (online), C 13.29:116, Preparation and revision of building codes / , Building materials and structures report ; 116 , https://doi.org/10.6028/NBS.BMS.116 https://www.govinfo.gov/content/pkg/GOVPUB-C13-aba9282e42310d9a808b1d7a1d1dd9be/pdf/GOVPUB-C13-aba9282e42310d9a808b1d7a1d1dd9be.pdf https://purl.fdlp.gov/GPO/gpo101703,
001068847,151030s1950\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168511, 0241 (online), C 13.29:117, Fire resistance of walls of lightweight-aggregate concrete masonry units / , Building materials and structures report ; 117 , https://doi.org/10.6028/NBS.BMS.117 https://www.govinfo.gov/content/pkg/GOVPUB-C13-765f6e8bb59e7f2f435ce2b1f871381d/pdf/GOVPUB-C13-765f6e8bb59e7f2f435ce2b1f871381d.pdf https://purl.fdlp.gov/GPO/gpo99435,
001068865,151030s1953\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168542, 0241 (online), C 13.29:135, Fire tests of steel columns encased with gypsum lath and plaster / , Building materials and structures report ; 135 , https://doi.org/10.6028/NBS.BMS.135 https://www.govinfo.gov/content/pkg/GOVPUB-C13-4b8901ec535475c606e98563746ca5f1/pdf/GOVPUB-C13-4b8901ec535475c606e98563746ca5f1.pdf https://purl.fdlp.gov/GPO/gpo97638,
001068874,151030s1939\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168345, 0241 (online), C 13.29:16," Structural properties of a ""tilecrete"" floor construction sponsored by Tilecrete Floors, Inc. / ", Building materials and structures report ; 16 , https://doi.org/10.6028/NBS.BMS.16 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b69a19cc0134ed3663bb7b7cb6d5a344/pdf/GOVPUB-C13-b69a19cc0134ed3663bb7b7cb6d5a344.pdf https://purl.fdlp.gov/GPO/gpo102153,
001068875,151030s1939\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168346, 0241 (online), C 13.29:17, Sound insulation of wall and floor constructions / , Building materials and structures report ; 17 , https://doi.org/10.6028/NBS.BMS.17 https://www.govinfo.gov/content/pkg/GOVPUB-C13-6b4cb1edeb325387d66bfb4e29efcd68/pdf/GOVPUB-C13-6b4cb1edeb325387d66bfb4e29efcd68.pdf https://purl.fdlp.gov/GPO/gpo98991,
001068876,151030s1938\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168255, 0241 (online), C 13.29:1, Research on building materials and structures for use in low-cost housing / , Building materials and structures report ; 1 , https://doi.org/10.6028/NBS.BMS.1 https://www.govinfo.gov/content/pkg/GOVPUB-C13-a56d6241a4e358182e1c66d8eec3bfaa/pdf/GOVPUB-C13-a56d6241a4e358182e1c66d8eec3bfaa.pdf https://purl.fdlp.gov/GPO/gpo103667,
001068880,151030s1939\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168334, 0241 (online), C 13.29:21, Structural properties of a concrete-block cavity-wall construction sponsored by the National Concrete Masonry Association / , Building materials and structures report ; 21 , https://doi.org/10.6028/NBS.BMS.21 https://www.govinfo.gov/content/pkg/GOVPUB-C13-6490e67f2c6556b6380f21b889f581da/pdf/GOVPUB-C13-6490e67f2c6556b6380f21b889f581da.pdf https://purl.fdlp.gov/GPO/gpo98742,
001068882,151030s1939\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168385, 0241 (online), C 13.29:23," Structural properties of a brick cavity-wall construction sponsored by the Brick Manufacturers Association of New York, Inc. / ", Building materials and structures report ; 23 , https://doi.org/10.6028/NBS.BMS.23 https://www.govinfo.gov/content/pkg/GOVPUB-C13-d88fa1e53f7c5719ad4179c2b469ffa2/pdf/GOVPUB-C13-d88fa1e53f7c5719ad4179c2b469ffa2.pdf https://purl.fdlp.gov/GPO/gpo103773,
001068883,151030s1939\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168386, 0241 (online), C 13.29:24, Structural properties of a reinforced-brick wall construction and a brick-tile cavity-wall construction sponsored by the Structural Clay Products Institute / , Building materials and structures report ; 24 , https://doi.org/10.6028/NBS.BMS.24 https://www.govinfo.gov/content/pkg/GOVPUB-C13-106da623fcfe0465983b89baa1cb616f/pdf/GOVPUB-C13-106da623fcfe0465983b89baa1cb616f.pdf https://purl.fdlp.gov/GPO/gpo94980,
001068889,151030s1939\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927169289, 0241 (online), C 13.29:30, Structural properties of a wood-frame wall construction sponsored by the Douglas Fir Plywood Association / , Building materials and structures report ; 30 , https://doi.org/10.6028/NBS.BMS.30 https://www.govinfo.gov/content/pkg/GOVPUB-C13-de122b0934cfdc7ca819e6c9961feeae/pdf/GOVPUB-C13-de122b0934cfdc7ca819e6c9961feeae.pdf https://purl.fdlp.gov/GPO/gpo105447,
001068890,151030s1939\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927169290, 0241 (online), C 13.29:32, Structural properties of two brick-concrete-block wall constructions and a concrete-block wall construction sponsored by the National Concrete Masonry Association / , Building materials and structures report ; 32 , https://doi.org/10.6028/NBS.BMS.32 https://www.govinfo.gov/content/pkg/GOVPUB-C13-4377b3fde4fe005440b5ca2f9273fe14/pdf/GOVPUB-C13-4377b3fde4fe005440b5ca2f9273fe14.pdf https://purl.fdlp.gov/GPO/gpo97190,
001068891,151030s1939\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168406, 0241 (online), C 13.29:29, Survey of roofing materials in the northeastern states / , Building materials and structures report ; 29 , https://doi.org/10.6028/NBS.BMS.29 https://www.govinfo.gov/content/pkg/GOVPUB-C13-1491822b3964768077ee86e1f1afdd05/pdf/GOVPUB-C13-1491822b3964768077ee86e1f1afdd05.pdf https://purl.fdlp.gov/GPO/gpo95259,
001068892,151030s1945\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927169291, 0241 (online), C 13.29:105, Paint manual / , Building materials and structures report ; 105 , https://doi.org/10.6028/NBS.BMS.105 https://www.govinfo.gov/content/pkg/GOVPUB-C13-67f44fcce7c2c10e148d74789a247639/pdf/GOVPUB-C13-67f44fcce7c2c10e148d74789a247639.pdf https://purl.fdlp.gov/GPO/gpo98868,
001068896,151030s1954\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927169323, 0241 (online), C 13.29:142, Frost closure of rood vents in plumbing systems / , Building materials and structures report ; 142 , https://doi.org/10.6028/NBS.BMS.142 https://www.govinfo.gov/content/pkg/GOVPUB-C13-273090d72b9980d2047c7f60b055e21e/pdf/GOVPUB-C13-273090d72b9980d2047c7f60b055e21e.pdf https://purl.fdlp.gov/GPO/gpo95920,
001068909,151030s1940\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168409, 0241 (online), C 13.29:34, Performance test of floor coverings for use in low-cost housing :  part 1 /, Building materials and structures report ; 34 , https://doi.org/10.6028/NBS.BMS.34 https://www.govinfo.gov/content/pkg/GOVPUB-C13-1b7876ed34335d60977941eef3170e21/pdf/GOVPUB-C13-1b7876ed34335d60977941eef3170e21.pdf https://purl.fdlp.gov/GPO/gpo95661,
001068911,151030s1940\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168411, 0241 (online), C 13.29:36," Structural properties of a wood-frame wall, partition, floor, and roof constructions with ""red stripe"" lath sponsored by the Weston Paper and Manufacturing Co. / ", Building materials and structures report ; 36 , https://doi.org/10.6028/NBS.BMS.36 https://www.govinfo.gov/content/pkg/GOVPUB-C13-47ee3b89a4ec9c543e3224e1dd28aa7e/pdf/GOVPUB-C13-47ee3b89a4ec9c543e3224e1dd28aa7e.pdf https://purl.fdlp.gov/GPO/gpo97500,
001068913,151030s1940\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168413, 0241 (online), C 13.29:38," Structural properties of two ""dunstone"" wall constructions sponsored by the W. E. Dunn Manufacturing Co. / ", Building materials and structures report ; 38 , https://doi.org/10.6028/NBS.BMS.38 https://www.govinfo.gov/content/pkg/GOVPUB-C13-23cf79b3fc3787307a3c0c70bb147dcc/pdf/GOVPUB-C13-23cf79b3fc3787307a3c0c70bb147dcc.pdf https://purl.fdlp.gov/GPO/gpo95839,
001068914,151030s1938\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168257, 0241 (online), C 13.29:3, Suitability of fiber insulating lath as a plaster base / , Building materials and structures report ; 3 , https://doi.org/10.6028/NBS.BMS.3 https://www.govinfo.gov/content/pkg/GOVPUB-C13-e8e9a08becf2687831b9bec07bdf3d91/pdf/GOVPUB-C13-e8e9a08becf2687831b9bec07bdf3d91.pdf https://purl.fdlp.gov/GPO/gpo104494,
001068915,151030s1940\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168414, 0241 (online), C 13.29:39," Structural properties of a wall construction of ""pfeifer units"" sponsored by the Wisconsin Units Company / ", Building materials and structures report ; 39 , https://doi.org/10.6028/NBS.BMS.39 https://www.govinfo.gov/content/pkg/GOVPUB-C13-5a38c5234698d563c93ef495edd8a16c/pdf/GOVPUB-C13-5a38c5234698d563c93ef495edd8a16c.pdf https://purl.fdlp.gov/GPO/gpo98317,
001068916,151030s1940\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168401, 0241 (online), C 13.29:40," Structural properties of a wall construction of ""knap concrete wall units"" sponsored by Knap America Inc. / ", Building materials and structures report ; 40 , https://doi.org/10.6028/NBS.BMS.40 https://www.govinfo.gov/content/pkg/GOVPUB-C13-4eac4cd4904dcab0fa6162e1fe475148/pdf/GOVPUB-C13-4eac4cd4904dcab0fa6162e1fe475148.pdf https://purl.fdlp.gov/GPO/gpo98222,
001068918,151030s1940\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168403, 0241 (online), C 13.29:42," Structural properties of a wood-frame wall and partition constructions with ""celotex"" insulating boards sponsored by the Celotex Corporation / ", Building materials and structures report ; 42 , https://doi.org/10.6028/NBS.BMS.42 https://www.govinfo.gov/content/pkg/GOVPUB-C13-31ea54ee71956acf80ba9586a7bca638/pdf/GOVPUB-C13-31ea54ee71956acf80ba9586a7bca638.pdf https://purl.fdlp.gov/GPO/gpo96804,
001068919,151030s1940\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168404, 0241 (online), C 13.29:43, Performance test of floor coverings for use in low-cost housing :  part 2 /, Building materials and structures report ; 43 , https://doi.org/10.6028/NBS.BMS.43 https://www.govinfo.gov/content/pkg/GOVPUB-C13-fd874471ec63c2d0c0393542459e6006/pdf/GOVPUB-C13-fd874471ec63c2d0c0393542459e6006.pdf https://purl.fdlp.gov/GPO/gpo105330,
001068921,151030s1940\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168420, 0241 (online), C 13.29:45, Air infilteration through windows / , Building materials and structures report ; 45 , https://doi.org/10.6028/NBS.BMS.45 https://www.govinfo.gov/content/pkg/GOVPUB-C13-eefc8d2e1f9ab9032a3b82f301d8b2c7/pdf/GOVPUB-C13-eefc8d2e1f9ab9032a3b82f301d8b2c7.pdf https://purl.fdlp.gov/GPO/gpo104745,
001068923,151030s1940\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168422, 0241 (online), C 13.29:47," Structural properties of prefabricated wood-frame constructions for walls, partitions, and floors sponsored by American Houses, Inc. / ", Building materials and structures report ; 47 , https://doi.org/10.6028/NBS.BMS.47 https://www.govinfo.gov/content/pkg/GOVPUB-C13-33040f4da2ee86ab71e09f090e4ba6d1/pdf/GOVPUB-C13-33040f4da2ee86ab71e09f090e4ba6d1.pdf https://purl.fdlp.gov/GPO/gpo96820,
001068930,151030s1940\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168327, 0241 (online), C 13.29:53," Structural properties of a masonry wall construction of ""munlock dry wall brick"" sponsored by the Munlock Engineering Co. / ", Building materials and structures report ; 53 , https://doi.org/10.6028/NBS.BMS.53 https://www.govinfo.gov/content/pkg/GOVPUB-C13-090ad486d904445749bd559910a40e7e/pdf/GOVPUB-C13-090ad486d904445749bd559910a40e7e.pdf https://purl.fdlp.gov/GPO/gpo94751,
001068944,151030s1940\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168382, 0241 (online), C 13.29:66, Plumbing manual / , Building materials and structures report ; 66 , https://doi.org/10.6028/NBS.BMS.66 https://www.govinfo.gov/content/pkg/GOVPUB-C13-f181dc241045a63f3355422ecf6a04eb/pdf/GOVPUB-C13-f181dc241045a63f3355422ecf6a04eb.pdf https://purl.fdlp.gov/GPO/gpo104847,
001068946,151030s1941\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168384, 0241 (online), C 13.29:68, Performance test of floor coverings for use in low-cost housing :  part 3 /, Building materials and structures report ; 68 , https://doi.org/10.6028/NBS.BMS.68 https://www.govinfo.gov/content/pkg/GOVPUB-C13-41c52d228a438a115ba3778dc586834d/pdf/GOVPUB-C13-41c52d228a438a115ba3778dc586834d.pdf https://purl.fdlp.gov/GPO/gpo97131,
001068953,151030s1941\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168432, 0241 (online), C 13.29:74," Structural and heat-transfer properties of ""U.S.S. panelbilt"" prefabricated sheet-steel constructions for walls, partitions, and roofs sponsored by the Tennessee Coal, Iron & Railroad Co. / ", Building materials and structures report ; 74 , https://doi.org/10.6028/NBS.BMS.74 https://www.govinfo.gov/content/pkg/GOVPUB-C13-39db00d515ac690e44297ea63b594262/pdf/GOVPUB-C13-39db00d515ac690e44297ea63b594262.pdf https://purl.fdlp.gov/GPO/gpo96918,
001068954,151030s1941\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168433, 0241 (online), C 13.29:75, Survey of roofing materials in the north central states / , Building materials and structures report ; 75 , https://doi.org/10.6028/NBS.BMS.75 https://www.govinfo.gov/content/pkg/GOVPUB-C13-f4e219105e9def8debad4b848338a2f5/pdf/GOVPUB-C13-f4e219105e9def8debad4b848338a2f5.pdf https://purl.fdlp.gov/GPO/gpo104974,
001068958,151030s1938\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168364, 0241 (online), C 13.29:7, Water permeability of masonry walls / , Building materials and structures report ; 7 , https://doi.org/10.6028/NBS.BMS.7 https://www.govinfo.gov/content/pkg/GOVPUB-C13-c77fc1e6fedca1e05e6360c82c9e9328/pdf/GOVPUB-C13-c77fc1e6fedca1e05e6360c82c9e9328.pdf https://purl.fdlp.gov/GPO/gpo103670,
001068964,151030s1942\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168446, 0241 (online), C 13.29:84, Survey of roofing materials in the south central states / , Building materials and structures report ; 84 , https://doi.org/10.6028/NBS.BMS.84 https://www.govinfo.gov/content/pkg/GOVPUB-C13-e3cbbef1a1ef691948def07250eba687/pdf/GOVPUB-C13-e3cbbef1a1ef691948def07250eba687.pdf https://purl.fdlp.gov/GPO/gpo104295,
001068966,151030s1942\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168456, 0241 (online), C 13.29:86," Structural, heat-transfer, and water-permeability properties of ""speedbrik"" wall construction sponsored by the General Shale Products Corporation / ", Building materials and structures report ; 86 , https://doi.org/10.6028/NBS.BMS.86 https://www.govinfo.gov/content/pkg/GOVPUB-C13-7f9d166f0184fa3f88cf928e438c92ce/pdf/GOVPUB-C13-7f9d166f0184fa3f88cf928e438c92ce.pdf https://purl.fdlp.gov/GPO/gpo99803,
001068969,151030s1938\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168365, 0241 (online), C 13.29:8, Methods of investigation of surface treatment for corrosion protection of steel / , Building materials and structures report ; 8 , https://doi.org/10.6028/NBS.BMS.8 https://www.govinfo.gov/content/pkg/GOVPUB-C13-a56cddf685b67e1b20558fc582b715c8/pdf/GOVPUB-C13-a56cddf685b67e1b20558fc582b715c8.pdf https://purl.fdlp.gov/GPO/gpo103666,
001068970,151030s1942\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168459, 0241 (online), C 13.29:89," Structural properties of ""precision-built, Jr."" (second construction) prefabricated wood-frame wall construction sponsored by the Homasote Co. / ", Building materials and structures report ; 89 , https://doi.org/10.6028/NBS.BMS.89 https://www.govinfo.gov/content/pkg/GOVPUB-C13-c4f30d8bddaba754d36f1d9aa6cd757d/pdf/GOVPUB-C13-c4f30d8bddaba754d36f1d9aa6cd757d.pdf https://purl.fdlp.gov/GPO/gpo102762,
001116131,110725s1953\\\\dcua\\\\ob\\\f000\0\eng\d, (OCoLC)742379103, 0241 (online), C 13.29:137, Influence of the wash from bronze on the weathering of marble / , Building materials and structures report ; 137 , https://purl.fdlp.gov/GPO/gpo98537 https://www.govinfo.gov/content/pkg/GOVPUB-C13-5f4b99e3fdb2ebffeac58dc73c927c4d/pdf/GOVPUB-C13-5f4b99e3fdb2ebffeac58dc73c927c4d.pdf,
001116132,100423s1942\\\\dcu\\\\\o\\\\f000\0\eng\d, (OCoLC)608739259, 0241 (online), C 13.29:81," Field inspectors' check list for building construction  Report of Subcommittee on structure, Central housing committee on research, design, and construction.", Building materials and structures report ; 81 , https://purl.fdlp.gov/GPO/gpo104673 https://www.govinfo.gov/content/pkg/GOVPUB-C13-ed395657efed5db7c34ba7294e341ad1/pdf/GOVPUB-C13-ed395657efed5db7c34ba7294e341ad1.pdf,
001116133,110523s1942\\\\dcua\\\\obt\\f000\0\eng\d, (OCoLC)726766620, 0241 (online), C 13.29:83, Strength of sleeve joints in copper tubing made with various lead-base solders / , Building materials and structures report ; 83 , https://purl.fdlp.gov/GPO/gpo101768 https://www.govinfo.gov/content/pkg/GOVPUB-C13-ad3b5221cbb6b046ffa6e29ae61b2853/pdf/GOVPUB-C13-ad3b5221cbb6b046ffa6e29ae61b2853.pdf,
001116134,110523s1939\\\\dcua\\\\obt\\f000\0\eng\d, (OCoLC)726766626, 0241 (online), C 13.29:31," Structural properties of ""Insulite"" wall and ""Insulite"" partition constructions sponsored by the Insulite Co / ", Building materials and structures report ; 31 , https://purl.fdlp.gov/GPO/gpo98313 https://www.govinfo.gov/content/pkg/GOVPUB-C13-5a11f0c4336126e4b3d0cc953132f311/pdf/GOVPUB-C13-5a11f0c4336126e4b3d0cc953132f311.pdf,
001116135,110523s1957\\\\dcua\\\\obt\\f000\0\eng\d, (OCoLC)726766630, 0241 (online), C 13.29:149, Combustible contents in buildings / , Building materials and structures report ; 149 , https://purl.fdlp.gov/GPO/gpo102185 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b7787688f6db030705df738e6a93209c/pdf/GOVPUB-C13-b7787688f6db030705df738e6a93209c.pdf,
001116136,110523s1940\\\\dcua\\\\obt\\f000\0\eng\d, (OCoLC)726766633, 0241 (online), C 13.29:61, Structural properties of two nonreinforced monolithic concrete wall constructions / , Building materials and structures report ; 61 , https://purl.fdlp.gov/GPO/gpo103852 https://www.govinfo.gov/content/pkg/GOVPUB-C13-daa0eee11783ac261faf25e696b6e037/pdf/GOVPUB-C13-daa0eee11783ac261faf25e696b6e037.pdf,
001116137,110523s1943\\\\dcua\\\\ot\\\f000\0\eng\d, (OCoLC)726766634, 0241 (online), C 13.29:99," Structural and heat-transfer properties of ""Multiple box-girder plywood panels"" for walls, floors, and roofs sponsored by Loren H. Wittner / ", Building materials and structures report ; 99 , https://purl.fdlp.gov/GPO/gpo104271 https://www.govinfo.gov/content/pkg/GOVPUB-C13-e36febdd7fbfd9f85c4bf65fb9cf1090/pdf/GOVPUB-C13-e36febdd7fbfd9f85c4bf65fb9cf1090.pdf,
001116138,110523s1957\\\\dcua\\\\obt\\f000\0\eng\d, (OCoLC)726766635, 0241 (online), C 13.29:150, Methods of testing small fire extinguishers / , Building materials and structures report ; 150 , https://purl.fdlp.gov/GPO/gpo101176 https://www.govinfo.gov/content/pkg/GOVPUB-C13-9eadd9f98ca034da375ae7326f5dc1a9/pdf/GOVPUB-C13-9eadd9f98ca034da375ae7326f5dc1a9.pdf,
