001,008,035$a,074$a,086$a,245,830,856$u
"001074035","151026s1933\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731485","0247 (online)","C 13.10:140","A study of the deterioration of book papers in libraries /Arthur E. Kimberly, Adelaide L. Emley.","Miscellaneous publications (United States. Bureau of Standards) ;140.","https://doi.org/10.6028/NBS.MP.140;https://www.govinfo.gov/content/pkg/GOVPUB-C13-ec19e6f1c1ca7b9ef4a240ef8cb07424/pdf/GOVPUB-C13-ec19e6f1c1ca7b9ef4a240ef8cb07424.pdf;https://purl.fdlp.gov/GPO/gpo104628"
"001074036","151026s1933\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731475","0247 (online)","C 13.10:142","A study of the removal of sulphur dioxide from library air /Arthur E. Kimberly, Adelaide L. Emley.","Miscellaneous publications (United States. Bureau of Standards) ;142.","https://doi.org/10.6028/NBS.MP.142;https://www.govinfo.gov/content/pkg/GOVPUB-C13-85181e0da263f11f9878d0fe24a9761d/pdf/GOVPUB-C13-85181e0da263f11f9878d0fe24a9761d.pdf;https://purl.fdlp.gov/GPO/gpo100203"
"001074044","151026s1904\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731532","0247 (online)","C 13.10:20-1","Laws concerning the weights and measures of the United States (first edition) /Louis A. Fischer, Henry D. Hubbard.","Miscellaneous publications (United States. Bureau of Standards) ;20-1.","https://doi.org/10.6028/NBS.MP.20-1;https://www.govinfo.gov/content/pkg/GOVPUB-C13-959d66fcddc84068b7d35d8c10072d6a/pdf/GOVPUB-C13-959d66fcddc84068b7d35d8c10072d6a.pdf;https://purl.fdlp.gov/GPO/gpo103547"
"001074051","151026s1932\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731552","0247 (online)","C 13.10:130","National directory of commodity specifications 1932 /Clarence W. Ingels, A. S. McAllister.","Miscellaneous publications (United States. Bureau of Standards) ;130.","https://doi.org/10.6028/NBS.MP.130;https://www.govinfo.gov/content/pkg/GOVPUB-C13-1895dc180e919c20a0334d3de8ed5177/pdf/GOVPUB-C13-1895dc180e919c20a0334d3de8ed5177.pdf;https://purl.fdlp.gov/GPO/gpo95458"
"001074064","151026s1925\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731477","0247 (online)","C 13.10:56","Tables and graphs for facilitating the computation of spectral energy distribution by Planck's formula /M. Katherine Frehafer, Chester L. Snow.","Miscellaneous publications (United States. Bureau of Standards) ;56.","https://doi.org/10.6028/NBS.MP.56;https://www.govinfo.gov/content/pkg/GOVPUB-C13-0885b92ae784fb70e9c646989187c811/pdf/GOVPUB-C13-0885b92ae784fb70e9c646989187c811.pdf;https://purl.fdlp.gov/GPO/gpo94747"
"001074073","151026s1932\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731625","0247 (online)","C 13.10:136","Bibliography on standardization /Ann L. Baden.","Miscellaneous publications (United States. Bureau of Standards) ;136.","https://doi.org/10.6028/NBS.MP.136;https://www.govinfo.gov/content/pkg/GOVPUB-C13-a552590ebc5a14f1c93d130dd559d53b/pdf/GOVPUB-C13-a552590ebc5a14f1c93d130dd559d53b.pdf;https://purl.fdlp.gov/GPO/gpo101454"
"001074076","151026s1932\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731590","0247 (online)","C 13.10:134","Visitors' manual of the National Bureau of Standards :a brief account of its history, functions, and laboratory facilities /Hugh G. Boutell.","Miscellaneous publications (United States. Bureau of Standards) ;134.","https://doi.org/10.6028/NBS.MP.134;https://www.govinfo.gov/content/pkg/GOVPUB-C13-779c76605326b321e8d0ab1d160481d1/pdf/GOVPUB-C13-779c76605326b321e8d0ab1d160481d1.pdf;https://purl.fdlp.gov/GPO/gpo99495"
"001074078","151026s1933\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731690","0247 (online)","C 13.10:141","Report to the National Screw Thread Commission :fourth edition /Lyman J. Briggs.","Miscellaneous publications (United States. Bureau of Standards) ;141.","https://doi.org/10.6028/NBS.MP.141;https://www.govinfo.gov/content/pkg/GOVPUB-C13-f89ba22da0777725b44bfb3434bf25c6/pdf/GOVPUB-C13-f89ba22da0777725b44bfb3434bf25c6.pdf;https://purl.fdlp.gov/GPO/gpo105122"
"001074082","151026s1927\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731694","0247 (online)","C 13.10:77","Standards yearbook 1927 /George K. Burgess.","Miscellaneous publications (United States. Bureau of Standards) ;77.","https://doi.org/10.6028/NBS.MP.77;https://www.govinfo.gov/content/pkg/GOVPUB-C13-05f0663a65a0629a69c90a6421996f2b/pdf/GOVPUB-C13-05f0663a65a0629a69c90a6421996f2b.pdf;https://purl.fdlp.gov/GPO/gpo94621"
"001074083","151026s1928\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731464","0247 (online)","C 13.10:83","Standards yearboook 1928 /George K. Burgess.","Miscellaneous publications (United States. Bureau of Standards) ;83.","https://doi.org/10.6028/NBS.MP.83;https://www.govinfo.gov/content/pkg/GOVPUB-C13-1780d338b005a8dd78dd185fafaf53b0/pdf/GOVPUB-C13-1780d338b005a8dd78dd185fafaf53b0.pdf;https://purl.fdlp.gov/GPO/gpo95428"
"001074084","151026s1929\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731465","0247 (online)","C 13.10:91","Standards yearbook 1929 /George K. Burgess.","Miscellaneous publications (United States. Bureau of Standards) ;91.","https://doi.org/10.6028/NBS.MP.91;https://www.govinfo.gov/content/pkg/GOVPUB-C13-46eaa415d8560d2d1444c628547ec537/pdf/GOVPUB-C13-46eaa415d8560d2d1444c628547ec537.pdf;https://purl.fdlp.gov/GPO/gpo97320"
"001074085","151026s1931\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731697","0247 (online)","C 13.10:119","Standards yearbook 1931 /George K. Burgess.","Miscellaneous publications (United States. Bureau of Standards) ;119.","https://doi.org/10.6028/NBS.MP.119;https://www.govinfo.gov/content/pkg/GOVPUB-C13-579482570bd3181ea8c1c8ac33910b97/pdf/GOVPUB-C13-579482570bd3181ea8c1c8ac33910b97.pdf;https://purl.fdlp.gov/GPO/gpo98093"
"001074086","151026s1932\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731698","0247 (online)","C 13.10:133","Standards yearbook 1932 /George K. Burgess.","Miscellaneous publications (United States. Bureau of Standards) ;133.","https://doi.org/10.6028/NBS.MP.133;https://www.govinfo.gov/content/pkg/GOVPUB-C13-a45fee6c8946f9e2e1eb73231950e354/pdf/GOVPUB-C13-a45fee6c8946f9e2e1eb73231950e354.pdf;https://purl.fdlp.gov/GPO/gpo101409"
"001074087","151026s1933\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731575","0247 (online)","C 13.10:139","Standards yearbook 1933 /George K. Burgess.","Miscellaneous publications (United States. Bureau of Standards) ;139.","https://doi.org/10.6028/NBS.MP.139;https://www.govinfo.gov/content/pkg/GOVPUB-C13-04f61a39f131423e7ff4eb3f84aa5e96/pdf/GOVPUB-C13-04f61a39f131423e7ff4eb3f84aa5e96.pdf;https://purl.fdlp.gov/GPO/gpo94593"
"001074095","151026s1929\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731409","0247 (online)","C 13.10:94","Scientific and technical positons in the National Bureau of Standards /William C. Fewell.","Miscellaneous publications (United States. Bureau of Standards) ;94.","https://doi.org/10.6028/NBS.MP.94;https://www.govinfo.gov/content/pkg/GOVPUB-C13-4c84d50bca501fc35e670c17b0fe4ecb/pdf/GOVPUB-C13-4c84d50bca501fc35e670c17b0fe4ecb.pdf;https://purl.fdlp.gov/GPO/gpo97678"
"001074103","151026s1929\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731652","0247 (online)","C 13.10:85","Specifications and tolerances for commercial weighing and measuring devices /F. S. Holbrook.","Miscellaneous publications (United States. Bureau of Standards) ;85.","https://doi.org/10.6028/NBS.MP.85;https://www.govinfo.gov/content/pkg/GOVPUB-C13-45fbf6f94f06ff4b0647ad979e45d43f/pdf/GOVPUB-C13-45fbf6f94f06ff4b0647ad979e45d43f.pdf;https://purl.fdlp.gov/GPO/gpo97286"
