001,008,035$a,074$a,086$a,245,830,856$u
"001074040","151026s1949\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731530","0247 (online)","C 13.10:194","Research and development in applied optics and optical glass at the National Bureau of Standards /Irvine C. Gardner, C. H. Hahner.","National Bureau of Standards miscellaneous publication ;194.","https://doi.org/10.6028/NBS.MP.194;https://www.govinfo.gov/content/pkg/GOVPUB-C13-f4d15a5f3f2cd6cc6f14e4a586040b1a/pdf/GOVPUB-C13-f4d15a5f3f2cd6cc6f14e4a586040b1a.pdf;https://purl.fdlp.gov/GPO/gpo104971"
"001074045","151026s1952\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731533","0247 (online)","C 13.10:203","Index to the reports of the National Conference on Weights and Measures :from the first to the thirty-sixth 1905 to 1951 /William S. Bussey, Malcolm W. Jensen.","National Bureau of Standards miscellaneous publication ;203.","https://doi.org/10.6028/NBS.MP.203;https://www.govinfo.gov/content/pkg/GOVPUB-C13-763e39130d4d7a443f96c1cc2be5da4d/pdf/GOVPUB-C13-763e39130d4d7a443f96c1cc2be5da4d.pdf;https://purl.fdlp.gov/GPO/gpo99429"
"001074047","151026s1966\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731559","0247 (online)","C 13.10:280","Hydraulic research in the United States 1966 /Helen K. Middleton, Gershon Kulin.","National Bureau of Standards miscellaneous publication ;280.","https://doi.org/10.6028/NBS.MP.280;https://www.govinfo.gov/content/pkg/GOVPUB-C13-ab7469de65e239aad8f5f4c9790f82c8/pdf/GOVPUB-C13-ab7469de65e239aad8f5f4c9790f82c8.pdf;https://purl.fdlp.gov/GPO/gpo101696"
"001074048","151026s1951\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731564","0247 (online)","C 13.10:201","Hydraulic research in the United States /Helen K. Middleton, Sonya W. Matchett.","National Bureau of Standards miscellaneous publication ;201.","https://doi.org/10.6028/NBS.MP.201;https://www.govinfo.gov/content/pkg/GOVPUB-C13-1bdbfed35d7bd72a211b9df2f4f6be01/pdf/GOVPUB-C13-1bdbfed35d7bd72a211b9df2f4f6be01.pdf;https://purl.fdlp.gov/GPO/gpo95670"
"001074049","151026s1952\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731565","0247 (online)","C 13.10:205","Hydraulic research in the United States /Helen K. Middleton, Sonya W. Matchett.","National Bureau of Standards miscellaneous publication ;205.","https://doi.org/10.6028/NBS.MP.205;https://www.govinfo.gov/content/pkg/GOVPUB-C13-938ef43eb8d42ea590a5bdde853b2ea5/pdf/GOVPUB-C13-938ef43eb8d42ea590a5bdde853b2ea5.pdf;https://purl.fdlp.gov/GPO/gpo100764"
"001074050","151026s1953\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731578","0247 (online)","C 13.10:208","Hydraulic research in the United States /Helen K. Middleton, Sonya W. Matchett.","National Bureau of Standards miscellaneous publication ;208.","https://doi.org/10.6028/NBS.MP.208;https://www.govinfo.gov/content/pkg/GOVPUB-C13-f6e3f5792002e0ec452acd1bd6d13987/pdf/GOVPUB-C13-f6e3f5792002e0ec452acd1bd6d13987.pdf;https://purl.fdlp.gov/GPO/gpo105054"
"001074057","151026s1964\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731609","0247 (online)","C 13.10:262-1","Legibility of alphanumeric characters and other symbols I. A permuted title index and bibiography /D. Y. Cornog, F. C. Rose.","National Bureau of Standards miscellaneous publication ;262-1.","https://doi.org/10.6028/NBS.MP.262-1;https://www.govinfo.gov/content/pkg/GOVPUB-C13-bf3a2760c9853595cdc27e60192ca634/pdf/GOVPUB-C13-bf3a2760c9853595cdc27e60192ca634.pdf;https://purl.fdlp.gov/GPO/gpo102500"
"001074058","151026s1967\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731610","0247 (online)","C 13.10:262-2","Legibility of alphanumeric characters and other symbols II. A reference handbook /D. Y. Cornog, F. C. Rose.","National Bureau of Standards miscellaneous publication ;262-2.","https://doi.org/10.6028/NBS.MP.262-2;https://www.govinfo.gov/content/pkg/GOVPUB-C13-f74621aa0e59172343ec89356c7e6ee8/pdf/GOVPUB-C13-f74621aa0e59172343ec89356c7e6ee8.pdf;https://purl.fdlp.gov/GPO/gpo105070"
"001074070","151026s1966\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731624","0247 (online)","C 13.10:278","Bibliography on atomic transition probabilities /B. M. Glennon, W. L. Wiese.","National Bureau of Standards miscellaneous publication ;278.","https://doi.org/10.6028/NBS.MP.278;https://www.govinfo.gov/content/pkg/GOVPUB-C13-d6f15603b276271eab50d3a198ce70c5/pdf/GOVPUB-C13-d6f15603b276271eab50d3a198ce70c5.pdf;https://purl.fdlp.gov/GPO/gpo103488"
"001074072","151026s1961\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731589","0247 (online)","C 13.10:240","Publications of the National Bureau of Standards July 1, 1957, to June 30, 1960 /Betty L. Arnold.","National Bureau of Standards miscellaneous publication ;240.","https://doi.org/10.6028/NBS.MP.240;https://www.govinfo.gov/content/pkg/GOVPUB-C13-91025eb26beadd36c085bb0b4be30d81/pdf/GOVPUB-C13-91025eb26beadd36c085bb0b4be30d81.pdf;https://purl.fdlp.gov/GPO/gpo100657"
