001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001069045,151030s1973\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168604, 0241 (online), C 13.29/2:47, Structural deflections :  a literature and state-of-the-art survey /, NBS building science series ; 47 , https://doi.org/10.6028/NBS.BSS.47 https://www.govinfo.gov/content/pkg/GOVPUB-C13-854c40208b8ac85dc548e5c043b1bfc2/pdf/GOVPUB-C13-854c40208b8ac85dc548e5c043b1bfc2.pdf https://purl.fdlp.gov/GPO/gpo100214
001069063,151030s1975\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168530, 0241 (online), C 13.29/2:65, Nonmetallic coatings for concrete reinforcing bars / , NBS building science series ; 65 , https://doi.org/10.6028/NBS.BSS.65 https://www.govinfo.gov/content/pkg/GOVPUB-C13-1f6934d3293507b50eb49fd48da89864/pdf/GOVPUB-C13-1f6934d3293507b50eb49fd48da89864.pdf https://purl.fdlp.gov/GPO/gpo95746
001069085,151030s1976\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168558, 0241 (online), C 13.29/2:88, Energy conservation in buildings- a human factors/systems viewpoint / , NBS building science series ; 88 , https://doi.org/10.6028/NBS.BSS.88 https://www.govinfo.gov/content/pkg/GOVPUB-C13-c1b612dec017b809e8db306132906b0c/pdf/GOVPUB-C13-c1b612dec017b809e8db306132906b0c.pdf https://purl.fdlp.gov/GPO/gpo102610
001069088,151030s1976\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168679, 0241 (online), C 13.29/2:91, The Development of an improved test for evaluating the racking resistance of wall panels / , NBS building science series ; 91 , https://doi.org/10.6028/NBS.BSS.91 https://www.govinfo.gov/content/pkg/GOVPUB-C13-3409a145e2fc68d671b242b4a14f9981/pdf/GOVPUB-C13-3409a145e2fc68d671b242b4a14f9981.pdf https://purl.fdlp.gov/GPO/gpo96841
001069095,151030s1977\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168297, 0241 (online), C 13.29/2:100-1, Building to resist the effect of wind in five volumes volume 1. overview / , NBS building science series ;  100-1. , https://doi.org/10.6028/NBS.BSS.100-1 https://www.govinfo.gov/content/pkg/GOVPUB-C13-637358bd2921755ba1aa13aa5f5ed7a6/pdf/GOVPUB-C13-637358bd2921755ba1aa13aa5f5ed7a6.pdf https://purl.fdlp.gov/GPO/gpo98693
001069096,151030s1977\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168298, 0241 (online), C 13.29/2:100-2, Building to resist the effect of wind in five volumes volume 2. estimation of extreme speeds and guide to the determination of wind forces / , NBS building science series ;  100-2. , https://doi.org/10.6028/NBS.BSS.100-2 https://www.govinfo.gov/content/pkg/GOVPUB-C13-6b6f21f55f5b47e4966ad93c44fde9c9/pdf/GOVPUB-C13-6b6f21f55f5b47e4966ad93c44fde9c9.pdf https://purl.fdlp.gov/GPO/gpo98998
001069097,151030s1977\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168299, 0241 (online), C 13.29/2:100-3, Building to resist the effect of wind in five volumes volume 3. a guide for improved masonry and timber connections in buildings / , NBS building science series ;  100-3. , https://doi.org/10.6028/NBS.BSS.100-3 https://www.govinfo.gov/content/pkg/GOVPUB-C13-3ab2c7ee121842ee9fd45a7c6d54140a/pdf/GOVPUB-C13-3ab2c7ee121842ee9fd45a7c6d54140a.pdf https://purl.fdlp.gov/GPO/gpo96930
001069098,151030s1977\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168300, 0241 (online), C 13.29/2:100-4, Building to resist the effect of wind in five volumes volume 4. forecasting the economics of housing needs :  a methodological guide /, NBS building science series ;  100-4. , https://doi.org/10.6028/NBS.BSS.100-4 https://www.govinfo.gov/content/pkg/GOVPUB-C13-737156b4b15f65d3f37cac2c8b9c7044/pdf/GOVPUB-C13-737156b4b15f65d3f37cac2c8b9c7044.pdf https://purl.fdlp.gov/GPO/gpo99315
001069099,151030s1977\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168686, 0241 (online), C 13.29/2:100-5, Building to resist the effect of wind in five volumes volume 5. housing in extreme winds :  socio-economic and architectural considerations /, NBS building science series ;  100-5. , https://doi.org/10.6028/NBS.BSS.100-5 https://www.govinfo.gov/content/pkg/GOVPUB-C13-4fb03c729e556c3d61d3cc648b7a28cc/pdf/GOVPUB-C13-4fb03c729e556c3d61d3cc648b7a28cc.pdf https://purl.fdlp.gov/GPO/gpo97800
001069111,151030s1978\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168698, 0241 (online), C 13.29/2:113, Life-cycle costing :  a guide for selecting energy conservation projects for public buildings /, NBS building science series ; 113 , https://doi.org/10.6028/NBS.BSS.113 https://www.govinfo.gov/content/pkg/GOVPUB-C13-fc713fcb0c4cb9de60072c6fa7072536/pdf/GOVPUB-C13-fc713fcb0c4cb9de60072c6fa7072536.pdf https://purl.fdlp.gov/GPO/gpo105290
001069114,151030s1978\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168707, 0241 (online), C 13.29/2:116," Geographical variation in the heating and cooling requirements of a typical single-family house, and correlation of these requirements to degree days / ", NBS building science series ; 116 , https://doi.org/10.6028/NBS.BSS.116 https://www.govinfo.gov/content/pkg/GOVPUB-C13-e37f904e98b1dce1277600c0d09d9036/pdf/GOVPUB-C13-e37f904e98b1dce1277600c0d09d9036.pdf https://purl.fdlp.gov/GPO/gpo104274
