001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001076331,160829s1962\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)957470675,, C 13.38:7441," The development of a rating method for refrigerated trucks :  progress report for the quarter ending December 31, 1961 /", NBS report ; 7441 , https://dx.doi.org/10.6028/NBS.RPT.7441 https://www.govinfo.gov/content/pkg/GOVPUB-C13-0005a7cbbff0df3cdfe03ff3c0252470/pdf/GOVPUB-C13-0005a7cbbff0df3cdfe03ff3c0252470.pdf https://purl.fdlp.gov/GPO/gpo94393
001076332,161006s1955\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)959983021,, C 13.38:4322, Spectrophotometric and colorimetric change in the leaf of a white oak tree under conditions of natural drying and excessive moisture / , NBS report ; 4322 , https://dx.doi.org/10.6028/NBS.RPT.4322 https://www.govinfo.gov/content/pkg/GOVPUB-C13-002876ccf0cd7dd2d95b9b17abcc58b9/pdf/GOVPUB-C13-002876ccf0cd7dd2d95b9b17abcc58b9.pdf https://purl.fdlp.gov/GPO/gpo94413
001076333,160829s1962\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)957470327,, C 13.38:7449, Effect of boiling of the insulation in underground heat distribution systems / , NBS report ; 7449 , https://dx.doi.org/10.6028/NBS.RPT.7449 https://www.govinfo.gov/content/pkg/GOVPUB-C13-0130099fdb400db0d4109a6b617499fb/pdf/GOVPUB-C13-0130099fdb400db0d4109a6b617499fb.pdf https://purl.fdlp.gov/GPO/gpo94394
001076334,160829s1955\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)957470322,, C 13.38:4278," Performance tests of an ""AMER-glas"" throwaway-type air filter / ", NBS report ; 4278 , https://dx.doi.org/10.6028/NBS.RPT.4278 https://www.govinfo.gov/content/pkg/GOVPUB-C13-0195afe02f8c2a039acfc0ed0b192d32/pdf/GOVPUB-C13-0195afe02f8c2a039acfc0ed0b192d32.pdf https://purl.fdlp.gov/GPO/gpo94414
001076335,161006s1968\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)959982926,, C 13.38:9838," Examination of failure of printing plate, no. 29724 / ", NBS report ; 9838 , https://dx.doi.org/10.6028/NBS.RPT.9838 https://www.govinfo.gov/content/pkg/GOVPUB-C13-02ad2f0fdb49e51044e6068c20547fc6/pdf/GOVPUB-C13-02ad2f0fdb49e51044e6068c20547fc6.pdf https://purl.fdlp.gov/GPO/gpo94472
001076336,161006s1963\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)959982270,, C 13.38:8152, Determination of moisture in refractory concretes / , NBS report ; 8152 , https://dx.doi.org/10.6028/NBS.RPT.8152 https://www.govinfo.gov/content/pkg/GOVPUB-C13-038576dc9c5fb95937d1cba1a0fdc0ab/pdf/GOVPUB-C13-038576dc9c5fb95937d1cba1a0fdc0ab.pdf https://purl.fdlp.gov/GPO/gpo94402
001076337,160829s1954\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)957470219,, C 13.38:3079, Requirements for concrete-masonry construction (revision of NBS report 2462) / , NBS report ; 3079 , https://dx.doi.org/10.6028/NBS.RPT.3079 https://www.govinfo.gov/content/pkg/GOVPUB-C13-03871ec03da489d6db2b820f77bdad45/pdf/GOVPUB-C13-03871ec03da489d6db2b820f77bdad45.pdf https://purl.fdlp.gov/GPO/gpo94477
001076338,160829s1956\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)957470371,, C 13.38:4767," Evaluation of refractory qualities of concretes for jet aircraft warm-up, power check, maintenance aprons, and runways :  quarterly report /", NBS report ; 4767 , https://dx.doi.org/10.6028/NBS.RPT.4767 https://www.govinfo.gov/content/pkg/GOVPUB-C13-0436ad5b4d59af4e381a0234be5e0f3d/pdf/GOVPUB-C13-0436ad5b4d59af4e381a0234be5e0f3d.pdf https://purl.fdlp.gov/GPO/gpo94575
001076339,161006s1965\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)959982956,, C 13.38:8972, Earth temperature and thermal diffusivity at selected stations in the United States / , NBS report ; 8972 , https://dx.doi.org/10.6028/NBS.RPT.8972 https://www.govinfo.gov/content/pkg/GOVPUB-C13-04389783ac7336cd7467f93b1ffd3f86/pdf/GOVPUB-C13-04389783ac7336cd7467f93b1ffd3f86.pdf https://purl.fdlp.gov/GPO/gpo94578
001076340,161006s1963\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)959982449,, C 13.38:8001," Performance characteristics of four models of ""Dri-Pak"" deep-bed air filters / ", NBS report ; 8001 , https://dx.doi.org/10.6028/NBS.RPT.8001 https://www.govinfo.gov/content/pkg/GOVPUB-C13-04425084bcad2d59838d66ba3cf67947/pdf/GOVPUB-C13-04425084bcad2d59838d66ba3cf67947.pdf https://purl.fdlp.gov/GPO/gpo94579
001076341,160829s1958\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)957470588,, C 13.38:5833, Performance tests of a Trion HCC high capacity electronic air cleaner (no. 25 cell) / , NBS report ; 5833 , https://dx.doi.org/10.6028/NBS.RPT.5833 https://www.govinfo.gov/content/pkg/GOVPUB-C13-045df3652e0ef88fa0d1c350d9fe1a53/pdf/GOVPUB-C13-045df3652e0ef88fa0d1c350d9fe1a53.pdf https://purl.fdlp.gov/GPO/gpo94580
001076342,160829s1969\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)957470165,, C 13.38:10029," Compatibility of protective coatings, materials, and liquid propellants :  quarterly progress report no. 13 - January 1 to March 31, 1969 /", NBS report ; 10029 , https://dx.doi.org/10.6028/NBS.RPT.10029 https://www.govinfo.gov/content/pkg/GOVPUB-C13-0494a932d596e9956fce6dce487f6de2/pdf/GOVPUB-C13-0494a932d596e9956fce6dce487f6de2.pdf https://purl.fdlp.gov/GPO/gpo94504
001076343,160829s1959\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)957470414,, C 13.38:6325, Exploratory experiments with magnesium fires / , NBS report ; 6325 , https://dx.doi.org/10.6028/NBS.RPT.6325 https://www.govinfo.gov/content/pkg/GOVPUB-C13-049d346391b1fdb4e2eed54274eba435/pdf/GOVPUB-C13-049d346391b1fdb4e2eed54274eba435.pdf https://purl.fdlp.gov/GPO/gpo94511
001076344,161006s1952\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)959982770,, C 13.38:1492, On certain character matrices / , NBS report ; 1492 , https://dx.doi.org/10.6028/NBS.RPT.1492 https://www.govinfo.gov/content/pkg/GOVPUB-C13-04a4b210d547a1db2ec3e50db39d8ce6/pdf/GOVPUB-C13-04a4b210d547a1db2ec3e50db39d8ce6.pdf https://purl.fdlp.gov/GPO/gpo94576
001076345,161006s1955\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)959982690,, C 13.38:4285, Photometric tests of an AVQ-2A aircraft searchlight equipped with each of several reflectors / , NBS report ; 4285 , https://dx.doi.org/10.6028/NBS.RPT.4285 https://www.govinfo.gov/content/pkg/GOVPUB-C13-04a6e2bf747bbcc5abc3229f4cfc81fc/pdf/GOVPUB-C13-04a6e2bf747bbcc5abc3229f4cfc81fc.pdf https://purl.fdlp.gov/GPO/gpo94508
001076346,161006s1955\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)959983020,, C 13.38:4313, Alloys of gallium with powdered metals as possible replacement for dental amalgam / , NBS report ; 4313 , https://dx.doi.org/10.6028/NBS.RPT.4313 https://www.govinfo.gov/content/pkg/GOVPUB-C13-04a8ce952a094919e3484979a74a598f/pdf/GOVPUB-C13-04a8ce952a094919e3484979a74a598f.pdf https://purl.fdlp.gov/GPO/gpo94510
001076347,161006s1963\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)959982426,, C 13.38:7800," Air delivery performance of a Rittling unit ventilator under isothermal conditions :  manufactured by the Rittling Corporation Hamburg, New York /", NBS report ; 7800 , https://dx.doi.org/10.6028/NBS.RPT.7800 https://www.govinfo.gov/content/pkg/GOVPUB-C13-04d82758d480c1a96822a530b4b9e4c5/pdf/GOVPUB-C13-04d82758d480c1a96822a530b4b9e4c5.pdf https://purl.fdlp.gov/GPO/gpo94587
001076348,160829s1958\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)957470597,, C 13.38:5885," Capacity tests of a Mathes heat pump, model 27HAR-REB-HP / ", NBS report ; 5885 , https://dx.doi.org/10.6028/NBS.RPT.5885 https://www.govinfo.gov/content/pkg/GOVPUB-C13-04ec702f7c8c573a943fb5527d90a27d/pdf/GOVPUB-C13-04ec702f7c8c573a943fb5527d90a27d.pdf https://purl.fdlp.gov/GPO/gpo94591
001076349,161006s1963\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)959982266,, C 13.38:8013, Supplementary investigation of test procedures for heating and air conditioning ducts / , NBS report ; 8013 , https://dx.doi.org/10.6028/NBS.RPT.8013 https://www.govinfo.gov/content/pkg/GOVPUB-C13-056b00c4040afa3d21f6451b424bbafd/pdf/GOVPUB-C13-056b00c4040afa3d21f6451b424bbafd.pdf https://purl.fdlp.gov/GPO/gpo94588
001076350,161006s1962\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)959982363,, C 13.38:7510, Standard measurements of slipperiness on walkway and roadway surfaces :  progress report I /, NBS report ; 7510 , https://dx.doi.org/10.6028/NBS.RPT.7510 https://www.govinfo.gov/content/pkg/GOVPUB-C13-05aa32aa2b5dc39fe35f8a2569ae88e7/pdf/GOVPUB-C13-05aa32aa2b5dc39fe35f8a2569ae88e7.pdf https://purl.fdlp.gov/GPO/gpo94613
001076351,161006s1954\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)959982991,, C 13.38:3795, Projects and publications of the National Applied Mathematics Laboratories :  July through September 1954 /, NBS report ; 3795 , https://dx.doi.org/10.6028/NBS.RPT.3795 https://www.govinfo.gov/content/pkg/GOVPUB-C13-05e17711bdfd867ce743bd03acc52e4c/pdf/GOVPUB-C13-05e17711bdfd867ce743bd03acc52e4c.pdf https://purl.fdlp.gov/GPO/gpo94619
001076352,161006s1971\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)959982324,, C 13.38:10456," A stabilizing comonomer :  II. Stabilization and polymerization characteristics : The previous reports in this series have the NBS report nos. 6297, 6484, 6645, 6928, 7093, 7192, 7437, 7587, 7796, 8033, 8186, 8504, 8628, 8919, 9028, 9389, 9500, 9601, 9803, 9905, 10004, 10074 and 10326. /", NBS report ; 10456 , https://dx.doi.org/10.6028/NBS.RPT.10456 https://www.govinfo.gov/content/pkg/GOVPUB-C13-05e9c1c6203da9a24196c0cfe6aa4727/pdf/GOVPUB-C13-05e9c1c6203da9a24196c0cfe6aa4727.pdf https://purl.fdlp.gov/GPO/gpo94620
001076353,160829s1970\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)957470664,, C 13.38:10377, Poor mercury hygiene from ultrasonic amalgam condensation :  progress report /, NBS report ; 10377 , https://dx.doi.org/10.6028/NBS.RPT.10377 https://www.govinfo.gov/content/pkg/GOVPUB-C13-062b6cffabb3ec9fcdafb13adc687be1/pdf/GOVPUB-C13-062b6cffabb3ec9fcdafb13adc687be1.pdf https://purl.fdlp.gov/GPO/gpo94517
001076354,161006s1966\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)959982742,, C 13.38:9426, Saturating organic felts / , NBS report ; 9426 , https://dx.doi.org/10.6028/NBS.RPT.9426 https://www.govinfo.gov/content/pkg/GOVPUB-C13-06645cf7d787d399a5bfd0f66a0bb6bf/pdf/GOVPUB-C13-06645cf7d787d399a5bfd0f66a0bb6bf.pdf https://purl.fdlp.gov/GPO/gpo94519
001076355,160829s1955\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)957470341,, C 13.38:4351," Evaluation of refractory qualities of concretes for jet aircraft warm-up, power check, maintenance aprons, and runways :  quarterly report /", NBS report ; 4351 , https://dx.doi.org/10.6028/NBS.RPT.4351 https://www.govinfo.gov/content/pkg/GOVPUB-C13-0763aecc0fd9f3a0dbc66456c2a9da88/pdf/GOVPUB-C13-0763aecc0fd9f3a0dbc66456c2a9da88.pdf https://purl.fdlp.gov/GPO/gpo94645
001076356,160829s1953\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)957470182,, C 13.38:2717, Fire detection in aircraft engine nacelles :  fifth progress report /, NBS report ; 2717 , https://dx.doi.org/10.6028/NBS.RPT.2717 https://www.govinfo.gov/content/pkg/GOVPUB-C13-076f1fc5459a7826a0d91ade9073324d/pdf/GOVPUB-C13-076f1fc5459a7826a0d91ade9073324d.pdf https://purl.fdlp.gov/GPO/gpo94714
001076357,160829s1954\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)957470281,, C 13.38:3872," Progress report on engine air cleaning :  October 1, 1954 to December 31, 1954 /", NBS report ; 3872 , https://dx.doi.org/10.6028/NBS.RPT.3872 https://www.govinfo.gov/content/pkg/GOVPUB-C13-07cce84e758ada00f9c16a98df12e6a3/pdf/GOVPUB-C13-07cce84e758ada00f9c16a98df12e6a3.pdf https://purl.fdlp.gov/GPO/gpo94723
001076358,160829s1969\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)957470643,, C 13.38:10189," Report on dental research at the National Bureau of Standards :  progress report July 1 to December 31, 1969 /", NBS report ; 10189 , https://dx.doi.org/10.6028/NBS.RPT.10189 https://www.govinfo.gov/content/pkg/GOVPUB-C13-0809c5038680941f25930d71bb93eb50/pdf/GOVPUB-C13-0809c5038680941f25930d71bb93eb50.pdf https://purl.fdlp.gov/GPO/gpo94734
001076359,160829s1954\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)957470224,, C 13.38:3188, Thermal conductivity measurements of two paperboard materials / , NBS report ; 3188 , https://dx.doi.org/10.6028/NBS.RPT.3188 https://www.govinfo.gov/content/pkg/GOVPUB-C13-08491b7fdb9a1682a3166ae6f78df9bd/pdf/GOVPUB-C13-08491b7fdb9a1682a3166ae6f78df9bd.pdf https://purl.fdlp.gov/GPO/gpo94655
001076360,161006s1956\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)959983056,, C 13.38:4659, Visual ranges of four obstruction lights / , NBS report ; 4659 , https://dx.doi.org/10.6028/NBS.RPT.4659 https://www.govinfo.gov/content/pkg/GOVPUB-C13-0860f1adf85740c65c2030b832f382e3/pdf/GOVPUB-C13-0860f1adf85740c65c2030b832f382e3.pdf https://purl.fdlp.gov/GPO/gpo94745
