001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001077314,110721s1972\\\\dcua\\\\ob\\\f000\0\eng\d, (OCoLC)741968889, 0249-A (online), C 13.46:467, Activation analysis :  a bibliography through 1971 /, NBS technical note ; 467 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-17188b435942995b4ae2991d17c6c530/pdf/GOVPUB-C13-17188b435942995b4ae2991d17c6c530.pdf https://purl.fdlp.gov/GPO/gpo95411
001077321,151113s1967\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)929058243, 0249-A (online), C 13.46:100," Required signal-to-noise ratios, RF signal power, and bandwith for multichannel radio communications systems / ", NBS technical note ; 100 , https://dx.doi.org/10.6028/NBS.TN.100 https://www.govinfo.gov/content/pkg/GOVPUB-C13-60ea24154c19448fdd59c332e62ac0bf/pdf/GOVPUB-C13-60ea24154c19448fdd59c332e62ac0bf.pdf https://purl.fdlp.gov/GPO/gpo100034
001077331,151113s1962\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)929058685, 0249-A (online), C 13.46:129, The thermodynamic properties of nitrogen from 64 to 300* K between 0.1 and 200 atmospheres / , NBS technical note ; 129 , https://dx.doi.org/10.6028/NBS.TN.129 https://www.govinfo.gov/content/pkg/GOVPUB-C13-ff190749afd49232202554459eb09189/pdf/GOVPUB-C13-ff190749afd49232202554459eb09189.pdf https://purl.fdlp.gov/GPO/gpo105400
001077434,151113s1972\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929057559, 0249-A (online), C 13.46:744, Disclosures on :  new syntheses of perfluorostyrene and other highly fluorinated derivatives. /, NBS technical note ; 744 , https://doi.org/10.6028/NBS.TN.744 https://www.govinfo.gov/content/pkg/GOVPUB-C13-4f222ccf17ec680ae5bd210623066b23/pdf/GOVPUB-C13-4f222ccf17ec680ae5bd210623066b23.pdf https://purl.fdlp.gov/GPO/gpo97779
001077436,151113s1972\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929057562, 0249-A (online), C 13.46:747, Critical evaluation of data in the physical sciences :  A status report on the National Standard Reference Data System June 1972 /, NBS technical note ; 747 , https://doi.org/10.6028/NBS.TN.747 https://www.govinfo.gov/content/pkg/GOVPUB-C13-ec5a98492de8fbd8f7a4a7ba61df552f/pdf/GOVPUB-C13-ec5a98492de8fbd8f7a4a7ba61df552f.pdf https://purl.fdlp.gov/GPO/gpo104641
001077444,151113s1961\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929058379, 0249-A (online), C 13.46:93, An experimental study of beta decay using the radiations from oriented nuclei / , NBS technical note ; 93 , https://doi.org/10.6028/NBS.TN.93 https://www.govinfo.gov/content/pkg/GOVPUB-C13-fe3b4021f72ad44f6e5e4feb32b4fced/pdf/GOVPUB-C13-fe3b4021f72ad44f6e5e4feb32b4fced.pdf https://purl.fdlp.gov/GPO/gpo105353
001077447,151113s1961\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929058382, 0249-A (online), C 13.46:96, On the climatology of ground-based radio ducts and associated fading regions / , NBS technical note ; 96 , https://doi.org/10.6028/NBS.TN.96 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b3b443ff352a004c11ddd6d8d8a9a04f/pdf/GOVPUB-C13-b3b443ff352a004c11ddd6d8d8a9a04f.pdf https://purl.fdlp.gov/GPO/gpo102030
001077450,151113s1965\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929058462, 0249-A (online), C 13.46:101-1," Transmission loss predictions for tropospheric communication circuits, Volume 1 / ", NBS technical note ;  101-1. , https://doi.org/10.6028/NBS.TN.101-1 https://www.govinfo.gov/content/pkg/GOVPUB-C13-9b0f40a0509f69c5e86522865011f917/pdf/GOVPUB-C13-9b0f40a0509f69c5e86522865011f917.pdf https://purl.fdlp.gov/GPO/gpo101055
001077451,151113s1965\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929058463, 0249-A (online), C 13.46:101-2," Transmission loss predictions for tropospheric communication circuits, Volume 2 / ", NBS technical note ;  101-2. , https://doi.org/10.6028/NBS.TN.101-2 https://www.govinfo.gov/content/pkg/GOVPUB-C13-3a4ef5a915f01235f6ff72a2598c3d81/pdf/GOVPUB-C13-3a4ef5a915f01235f6ff72a2598c3d81.pdf https://purl.fdlp.gov/GPO/gpo96922
001077456,151113s1961\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929058504, 0249-A (online), C 13.46:108, A compilation of the physical equilibria and related properties of the hydrogen-carbon monoxide system / , NBS technical note ; 108 , https://doi.org/10.6028/NBS.TN.108 https://www.govinfo.gov/content/pkg/GOVPUB-C13-43afd4702e63123a12bf51e0c21d182d/pdf/GOVPUB-C13-43afd4702e63123a12bf51e0c21d182d.pdf https://purl.fdlp.gov/GPO/gpo97385
001077458,151113s1961\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929058479, 0249-A (online), C 13.46:110, A compilation of the physical equilibria and related properties of the hydrogen-nitrogen system / , NBS technical note ; 110 , https://doi.org/10.6028/NBS.TN.110 https://www.govinfo.gov/content/pkg/GOVPUB-C13-4fcc59030090e1826be647899411ad02/pdf/GOVPUB-C13-4fcc59030090e1826be647899411ad02.pdf https://purl.fdlp.gov/GPO/gpo97804
