001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001074728,151026s1985\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926739977, 0247 (online), C 13.10:260-104, Standard reference materials :  summary of the biological and botanical standards issued by the National Bureau of Standards /, NBS special publication ;  260-104. , https://doi.org/10.6028/NBS.SP.260-104 https://www.govinfo.gov/content/pkg/GOVPUB-C13-4c3dd9dafb4a824ad1bde0ae86e63456/pdf/GOVPUB-C13-4c3dd9dafb4a824ad1bde0ae86e63456.pdf https://purl.fdlp.gov/GPO/gpo97664
001074729,151026s1975\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740097, 0247 (online), C 13.10:260-51," Standard reference materials :  glass filters as a standard reference material for spectrophotometry - selection, preparation, certification, use SRM 930/", NBS special publication ;  260-51. , https://doi.org/10.6028/NBS.SP.260-51 https://www.govinfo.gov/content/pkg/GOVPUB-C13-7750a9239f260a118abb9d25084e596d/pdf/GOVPUB-C13-7750a9239f260a118abb9d25084e596d.pdf https://purl.fdlp.gov/GPO/gpo99481
001074730,151026s1980\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926739948, 0247 (online), C 13.10:260-68, Standard reference materials :  metal-on-quartz filters as a standard reference material for spectrophotometry - SRM 2031/, NBS special publication ;  260-68. , https://doi.org/10.6028/NBS.SP.260-68 https://www.govinfo.gov/content/pkg/GOVPUB-C13-94e75e4bb016b0c3b5e2f2ecae956437/pdf/GOVPUB-C13-94e75e4bb016b0c3b5e2f2ecae956437.pdf https://purl.fdlp.gov/GPO/gpo100817
001074731,151026s1979\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740056, 0247 (online), C 13.10:260-62, Standard reference materials :  SRM 768 /, NBS special publication ;  260-62. , https://doi.org/10.6028/NBS.SP.260-62 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b61e77bd7102f49b7f778555643f894c/pdf/GOVPUB-C13-b61e77bd7102f49b7f778555643f894c.pdf https://purl.fdlp.gov/GPO/gpo103549
001074732,151026s1983\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740052, 0247 (online), C 13.10:260-86, Standard reference materials :  a standard reference material containing 2.5 percent austenite (SRM 488)/, NBS special publication ;  260-86. , https://doi.org/10.6028/NBS.SP.260-86 https://www.govinfo.gov/content/pkg/GOVPUB-C13-ea3cfe97e54cef554b83161756228ac3/pdf/GOVPUB-C13-ea3cfe97e54cef554b83161756228ac3.pdf https://purl.fdlp.gov/GPO/gpo104539
001074733,151026s1982\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740057, 0247 (online), C 13.10:260-76, Standard reference materials :  a standard reference material containing nominally five percent austenite (SRM 485a)/, NBS special publication ;  260-76. , https://doi.org/10.6028/NBS.SP.260-76 https://www.govinfo.gov/content/pkg/GOVPUB-C13-1fbb6d12739af74989fcfaadadc0173c/pdf/GOVPUB-C13-1fbb6d12739af74989fcfaadadc0173c.pdf https://purl.fdlp.gov/GPO/gpo95623
001074734,151026s1982\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740094, 0247 (online), C 13.10:260-78, Standard reference materials :  a standard reference material containing nominally thirty percent austenite (SRM 487)/, NBS special publication ;  260-78. , https://doi.org/10.6028/NBS.SP.260-78 https://www.govinfo.gov/content/pkg/GOVPUB-C13-6590c45f91bd3937207f354079bc0563/pdf/GOVPUB-C13-6590c45f91bd3937207f354079bc0563.pdf https://purl.fdlp.gov/GPO/gpo98779
001074735,151026s1979\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740095, 0247 (online), C 13.10:260-66," Standard reference materials :  didymium glass filters for calibrating the wavelength scale of spectrophotometers - SRM 2009, 2010, 2013, and 2014/", NBS special publication ;  260-66. , https://doi.org/10.6028/NBS.SP.260-66 https://www.govinfo.gov/content/pkg/GOVPUB-C13-1d45a4a692d75f5287f54354e13f8647/pdf/GOVPUB-C13-1d45a4a692d75f5287f54354e13f8647.pdf https://purl.fdlp.gov/GPO/gpo95704
001074736,151026s1986\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740005, 0247 (online), C 13.10:260-101, Standard reference materials :  SRM 1970 /, NBS special publication ;  260-101. , https://doi.org/10.6028/NBS.SP.260-101 https://www.govinfo.gov/content/pkg/GOVPUB-C13-f9403da8f1772ec49636de2d9a38c8a5/pdf/GOVPUB-C13-f9403da8f1772ec49636de2d9a38c8a5.pdf https://purl.fdlp.gov/GPO/gpo105147
001074737,151026s1971\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740120, 0247 (online), C 13.10:260-22, Standard reference materials :  homogeneity characterization of Fe-3Si alloy/, NBS special publication ;  260-22. , https://doi.org/10.6028/NBS.SP.260-22 https://www.govinfo.gov/content/pkg/GOVPUB-C13-879beb96310be5168dc7b3ff3fb4df70/pdf/GOVPUB-C13-879beb96310be5168dc7b3ff3fb4df70.pdf https://purl.fdlp.gov/GPO/gpo100293
