001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001069179,160620s1987\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)951907139, 0247-D (online), C 13.58:87-3514," SASE - Standards Analysis, Synthesis, and Expression program :  user manual /", NBSIR ;  87-3514. , https://dx.doi.org/10.6028/NBS.IR.87-3514 https://www.govinfo.gov/content/pkg/GOVPUB-C13-05dc6e4feaa6c1563c0460ce22f07420/pdf/GOVPUB-C13-05dc6e4feaa6c1563c0460ce22f07420.pdf https://purl.fdlp.gov/GPO/gpo94617
001069180,160620s1987\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)951907137, 0247-D (online), C 13.58:87-3511, Hierarchical decision-making in the factory of the future / , NBSIR ;  87-3511. , https://dx.doi.org/10.6028/NBS.IR.87-3511 https://www.govinfo.gov/content/pkg/GOVPUB-C13-05f567e7c7413ca8a91a00373b3b763a/pdf/GOVPUB-C13-05f567e7c7413ca8a91a00373b3b763a.pdf https://purl.fdlp.gov/GPO/gpo94618
001069194,160620s1987\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)951907138, 0247-D (online), C 13.58:87-3513," Introduction to SASE :  standards analysis, synthesis, and expression /", NBSIR ;  87-3513. , https://dx.doi.org/10.6028/NBS.IR.87-3513 https://www.govinfo.gov/content/pkg/GOVPUB-C13-2ee11e8ce4de1e0fb96ae6e2375b7f03/pdf/GOVPUB-C13-2ee11e8ce4de1e0fb96ae6e2375b7f03.pdf https://purl.fdlp.gov/GPO/gpo96270
001069212,160620s1986\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)951907135, 0247-D (online), C 13.58:86-3494, Behavior of 1/6-scale model bridge columns subjected to cyclic inelastic loading / , NBSIR ;  86-3494. , https://dx.doi.org/10.6028/NBS.IR.86-3494 https://www.govinfo.gov/content/pkg/GOVPUB-C13-6f78d21d152e2a0a410f283bfc8fb988/pdf/GOVPUB-C13-6f78d21d152e2a0a410f283bfc8fb988.pdf https://purl.fdlp.gov/GPO/gpo99158
001069261,160620s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907314, 0247-D (online), C 13.58:88-3733, Cone calorimeter evaluation of the flammability of composite materials / , NBSIR;  88-3733. , https://doi.org/10.6028/NBS.IR.88-3733 https://www.govinfo.gov/content/pkg/GOVPUB-C13-dd9dbd324094a77bd5db382c5777e5d4/pdf/GOVPUB-C13-dd9dbd324094a77bd5db382c5777e5d4.pdf https://purl.fdlp.gov/GPO/gpo104011
001069262,160620s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907315, 0247-D (online), C 13.58:88-3734, Estimating the environment and the reponse of sprinkler links in compartment fires with draft curtains and fusible link-actuated ceiling vents- part I :  theory /, NBSIR;  88-3734. , https://doi.org/10.6028/NBS.IR.88-3734 https://www.govinfo.gov/content/pkg/GOVPUB-C13-cbf61cee3af2742d539512a8c5c15d73/pdf/GOVPUB-C13-cbf61cee3af2742d539512a8c5c15d73.pdf https://purl.fdlp.gov/GPO/gpo103053
001069263,160620s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907323, 0247-D (online), C 13.58:88-3735, Coordinated joint motion for an industrial robot / , NBSIR;  88-3735. , https://doi.org/10.6028/NBS.IR.88-3735 https://www.govinfo.gov/content/pkg/GOVPUB-C13-4bfa376267f3de81133a91d872b65ff9/pdf/GOVPUB-C13-4bfa376267f3de81133a91d872b65ff9.pdf https://purl.fdlp.gov/GPO/gpo97652
001069264,160620s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907324, 0247-D (online), C 13.58:88-3736, Electrical performance tests for true-RMS voltmeters / , NBSIR;  88-3736. , https://doi.org/10.6028/NBS.IR.88-3736 https://www.govinfo.gov/content/pkg/GOVPUB-C13-83cb89e6828c42f3920d25f1c0c1001c/pdf/GOVPUB-C13-83cb89e6828c42f3920d25f1c0c1001c.pdf https://purl.fdlp.gov/GPO/gpo99966
001069265,160620s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907325, 0247-D (online), C 13.58:88-3738, The VWS_CADM user interface of the Vertical Workstation of the Automated Manufacturing Research Facility at the National Bureau of Standards / , NBSIR;  88-3738. , https://doi.org/10.6028/NBS.IR.88-3738 https://www.govinfo.gov/content/pkg/GOVPUB-C13-90604e15c6c51d8338ad5e00e53ed35c/pdf/GOVPUB-C13-90604e15c6c51d8338ad5e00e53ed35c.pdf https://purl.fdlp.gov/GPO/gpo100636
001069266,160620s1987\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907144, 0247-D (online), C 13.58:86-3500, A plan for the development of the generic framework and associated computer software for a consolidated compartment fire model computer code / , NBSIR;  86-3500. , https://doi.org/10.6028/NBS.IR.86-3500 https://www.govinfo.gov/content/pkg/GOVPUB-C13-d32fc842271ddad7db7a123cb0864812/pdf/GOVPUB-C13-d32fc842271ddad7db7a123cb0864812.pdf https://purl.fdlp.gov/GPO/gpo103330
