001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001069162,151030s1989\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168765, 0241 (online), C 13.29/2:166, Inelastic behavior of full-scale bridge columns subjected to cyclic loading / , NIST building science series ; 166 , https://doi.org/10.6028/NIST.BSS.166 https://www.govinfo.gov/content/pkg/GOVPUB-C13-49c1da50e1c1acb7f0361456c55c4609/pdf/GOVPUB-C13-49c1da50e1c1acb7f0361456c55c4609.pdf https://purl.fdlp.gov/GPO/gpo97566
001069163,151030s1989\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168766, 0241 (online), C 13.29/2:167, Interim criteria for polymer-modified bitiminous roofing membrane materials / , NIST building science series ; 167 , https://doi.org/10.6028/NIST.BSS.167 https://www.govinfo.gov/content/pkg/GOVPUB-C13-a3c654cd6209cf68db56400fafd24f80/pdf/GOVPUB-C13-a3c654cd6209cf68db56400fafd24f80.pdf https://purl.fdlp.gov/GPO/gpo101388
001069164,151030s1990\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168767, 0241 (online), C 13.29/2:168, Periodic and chaotic motions of a modified stoker column :  experimental and numerical results /, NIST building science series ; 168 , https://doi.org/10.6028/NIST.BSS.168 https://www.govinfo.gov/content/pkg/GOVPUB-C13-21fd8476f2dca383b6170ebaeff5344b/pdf/GOVPUB-C13-21fd8476f2dca383b6170ebaeff5344b.pdf https://purl.fdlp.gov/GPO/gpo95972
001069165,151030s1990\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168768, 0241 (online), C 13.29/2:169, Strength and creep-rupture properties of adhesive-bonded EPDM joints stressed in peel / , NIST building science series ; 169 , https://doi.org/10.6028/NIST.BSS.169 https://www.govinfo.gov/content/pkg/GOVPUB-C13-a03b568d28e68d91ee7a995bb17b7b0e/pdf/GOVPUB-C13-a03b568d28e68d91ee7a995bb17b7b0e.pdf https://purl.fdlp.gov/GPO/gpo101235
001069166,151030s1993\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168769, 0241 (online), C 13.29/2:170, Seismic performance of circular bridge columns designed in accordance with AASHTO/CALTRANS standards / , NIST building science series ; 170 , https://doi.org/10.6028/NIST.BSS.170 https://www.govinfo.gov/content/pkg/GOVPUB-C13-360be9d87125d5e51362f9d0c7eebf97/pdf/GOVPUB-C13-360be9d87125d5e51362f9d0c7eebf97.pdf https://purl.fdlp.gov/GPO/gpo96870
001069167,151030s1993\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168770, 0241 (online), C 13.29/2:171, Field monitoring of a variable-speed integrated heat pump/water heating appliance / , NIST building science series ; 171 , https://doi.org/10.6028/NIST.BSS.171 https://www.govinfo.gov/content/pkg/GOVPUB-C13-78ed7b227b2567937fc0233e320a9373/pdf/GOVPUB-C13-78ed7b227b2567937fc0233e320a9373.pdf https://purl.fdlp.gov/GPO/gpo99552
001069168,151030s1994\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168771, 0241 (online), C 13.29/2:172, Methodologies for predicting the service lives of coating systems / , NIST building science series ; 172 , https://doi.org/10.6028/NIST.BSS.172 https://www.govinfo.gov/content/pkg/GOVPUB-C13-ac74538f548fb9d18ed11694263c618b/pdf/GOVPUB-C13-ac74538f548fb9d18ed11694263c618b.pdf https://purl.fdlp.gov/GPO/gpo101731
001069169,151030s1995\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168777, 0241 (online), C 13.29/2:173, Heat and moisture transfer in wood-based wall construction :  measured versus predicted /, NIST building science series ; 173 , https://doi.org/10.6028/NIST.BSS.173 https://www.govinfo.gov/content/pkg/GOVPUB-C13-28975be9cb2fe4acf615730404bc91d4/pdf/GOVPUB-C13-28975be9cb2fe4acf615730404bc91d4.pdf https://purl.fdlp.gov/GPO/gpo96092
001069171,151030s1996\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168779, 0241 (online), C 13.29/2:175, Performance of tape-bonded seams of EPDM membranes :  comparison of the peel creep-rupture response of tape-bonded and liquid-adhesive-bonded seams /, NIST building science series ; 175 , https://doi.org/10.6028/NIST.BSS.175 https://www.govinfo.gov/content/pkg/GOVPUB-C13-daaaf7b9a15d076055da76ef312dd70e/pdf/GOVPUB-C13-daaaf7b9a15d076055da76ef312dd70e.pdf https://purl.fdlp.gov/GPO/gpo103856
001069172,151030s1997\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168780, 0241 (online), C 13.29/2:176, Performance of tape-bonded seams of EPDM membranes :  effect of material and application factors on peel creep-rupture response /, NIST building science series ; 176 , https://doi.org/10.6028/NIST.BSS.176 https://www.govinfo.gov/content/pkg/GOVPUB-C13-f653d9f3241a2598793a15760a2afa55/pdf/GOVPUB-C13-f653d9f3241a2598793a15760a2afa55.pdf https://purl.fdlp.gov/GPO/gpo105038
