001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001077315,121220s2012\\\\mdu\\\\\o\\\\\000\0\eng\d, (OCoLC)822262416, 0249-A (online), C 13.46:1766, Workshop report for ambulance patient compartment design / , NIST technical note ; 1766 , https://dx.doi.org/10.6028/NIST.TN.1766 https://www.govinfo.gov/content/pkg/GOVPUB-C13-3b9d86d365af6c21aa717ae5119790e8/pdf/GOVPUB-C13-3b9d86d365af6c21aa717ae5119790e8.pdf https://purl.fdlp.gov/GPO/gpo96944
001077318,121018s2011\\\\mdua\\\\o\\\\\000\0\eng\d, (OCoLC)813303303, 0249-A (online), C 13.46:1727, Annex 47 report 3 :  commissioning cost-benefit and persistence of savings /, NIST technical note ; 1727 , https://dx.doi.org/10.6028/NIST.TN.1727 https://www.govinfo.gov/content/pkg/GOVPUB-C13-55ef97c1e048bdd4e969b378b1ba4e8d/pdf/GOVPUB-C13-55ef97c1e048bdd4e969b378b1ba4e8d.pdf https://purl.fdlp.gov/GPO/gpo98034
001077320,121213s2012\\\\mdua\\\\o\\\\\000\0\eng\d, (OCoLC)821072871, 0249-A (online), C 13.46:1764," High-temperature guarded-hot-plate and pipe measurements :  2nd Operators Workshop (March 19-20, 2012) Co-sponsored by ASTM Committee C16 on Thermal Insulation /", NIST technical note ; 1764 , https://dx.doi.org/10.6028/NIST.TN.1764 https://www.govinfo.gov/content/pkg/GOVPUB-C13-5ae32acc496acc00729abb6302f0833f/pdf/GOVPUB-C13-5ae32acc496acc00729abb6302f0833f.pdf https://purl.fdlp.gov/GPO/gpo98351
001077322,180711s2012\\\\mduad\\\ob\\\\000\0\eng\d, (OCoLC)1043836747, 0249-A (online), C 13.46:1747, Factors influencing the smoldering performance of polyurethane foam / , NIST technical note ; 1747 , https://dx.doi.org/10.6028/NIST.TN.1747 https://www.govinfo.gov/content/pkg/GOVPUB-C13-79437f369afc92212ad4d0b56abefa79/pdf/GOVPUB-C13-79437f369afc92212ad4d0b56abefa79.pdf https://purl.fdlp.gov/GPO/gpo100140
001077323,121108s2012\\\\mdua\\\\ob\\\\000\0\eng\d, (OCoLC)816521046, 0249-A (online), C 13.46:1771, A study of thermal behavior of a composite floor system in standard fire resistance tests / , NIST technical note ; 1771 , https://dx.doi.org/10.6028/NIST.TN.1771 https://www.govinfo.gov/content/pkg/GOVPUB-C13-823433995af7bc0e68257df1ceffdd28/pdf/GOVPUB-C13-823433995af7bc0e68257df1ceffdd28.pdf https://purl.fdlp.gov/GPO/gpo99901
001077324,121213s2012\\\\mdua\\\\ob\\\\000\0\eng\d, (OCoLC)821072908, 0249-A (online), C 13.46:1774, FDD CX :  a fault detection and diagnostic commissioning tool for residential air conditioners and heat pumps /, NIST technical note ; 1774 , https://dx.doi.org/10.6028/NIST.TN.1774 https://www.govinfo.gov/content/pkg/GOVPUB-C13-833a1f020f478524297e49b7b112f026/pdf/GOVPUB-C13-833a1f020f478524297e49b7b112f026.pdf https://purl.fdlp.gov/GPO/gpo99950
001077326,121108s2012\\\\mdua\\\\o\\\\\000\0\eng\d, (OCoLC)816519336, 0249-A (online), C 13.46:1713, Helium dispersion in an attached single-car residential garage with and without vehicle / , NIST technical note ; 1713 , https://dx.doi.org/10.6028/NIST.TN.1731 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b37be4c25eb744d38c6f9243592adb21/pdf/GOVPUB-C13-b37be4c25eb744d38c6f9243592adb21.pdf https://purl.fdlp.gov/GPO/gpo102019
001077328,121018s2012\\\\mdua\\\\ob\\\\000\0\eng\d, (OCoLC)813305089, 0249-A (online), C 13.46:1755," Summary and conclusions of a workshop on ""Quantifying the contribution of flaming residential upholstered furniture to fire losses in the United States"" / ", NIST technical note ; 1755 , https://dx.doi.org/10.6028/NIST.TN.1757 https://www.govinfo.gov/content/pkg/GOVPUB-C13-d0c618ee0dec8fff0804e6e4b05b7435/pdf/GOVPUB-C13-d0c618ee0dec8fff0804e6e4b05b7435.pdf https://purl.fdlp.gov/GPO/gpo103238
001077329,120905s2012\\\\mdua\\\\\b\\\f000\0\eng\d, (OCoLC)809181763, 0249-A (online), C 13.46:1746," Accelerated weathering of firefighter protective clothing :  delineating the impact of thermal, moisture, and ultraviolet light exposures /", NIST technical note ; 1746 , https://nist.gov/customcf/get_pdf.cfm?pub_id=911077 https://www.govinfo.gov/content/pkg/GOVPUB-C13-e3867f03f2279c337479d4f190518f84/pdf/GOVPUB-C13-e3867f03f2279c337479d4f190518f84.pdf https://purl.fdlp.gov/GPO/gpo104278
001077330,130225s2012\\\\mdua\\\\\b\\\f000\0\eng\d, (OCoLC)828417849, 0249-A (online), C 13.46:1748, Framework for addressing the national wildland urban interface fire problem - determining fire and ember exposure zones using a WUI hazard scale / , NIST technical note ; 1748 , https://www.treesearch.fs.fed.us/pubs/43634 https://www.govinfo.gov/content/pkg/GOVPUB-C13-ec53d3ebcf09c617afc664159ebfdd7e/pdf/GOVPUB-C13-ec53d3ebcf09c617afc664159ebfdd7e.pdf https://purl.fdlp.gov/GPO/gpo104640
001077332,120619s2011\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)795837506, 0249-A (online), C 13.46:1715, Certified transmittance density uncertainties for standard reference materials using a tranfer spectrophometer / , NIST technical note ; 1715 , https://doi.org/10.6028/NIST.TN.1715 https://www.govinfo.gov/content/pkg/GOVPUB-C13-4054ae43359288269ac3670aa8b8fdfa/pdf/GOVPUB-C13-4054ae43359288269ac3670aa8b8fdfa.pdf https://purl.fdlp.gov/GPO/gpo97087
