001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001079049,140722s2014\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)884337958, 0247-H (online), C 13.57/2:14-977, Disaster resilence workshop / , NIST GCR ;  14-977. , https://doi.org/10.6028/NIST.GCR.14-977 https://www.govinfo.gov/content/pkg/GOVPUB-C13-49cea9295e73d83fba1a4b59144978ee/pdf/GOVPUB-C13-49cea9295e73d83fba1a4b59144978ee.pdf https://purl.fdlp.gov/GPO/gpo97570
001079050,140902s2014\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)889754276, 0247-H (online), C 13.57/2:14-978, Electricity storage in buildings for residential sector demand response :  control algorithms and economic viability evaluation /, NIST GCR ;  14-978. , https://doi.org/10.6028/NIST.GCR.14-978 https://www.govinfo.gov/content/pkg/GOVPUB-C13-12e47ed640b435ecf3fcf491f5b6bf43/pdf/GOVPUB-C13-12e47ed640b435ecf3fcf491f5b6bf43.pdf https://purl.fdlp.gov/GPO/gpo95133
001079051,141105s2014\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)894513382, 0247-H (online), C 13.57/2:14-979," Community resilience workshop :  July 30, 2014 /", NIST GCR ;  14-979. , https://doi.org/10.6028/NIST.GCR.14-979 https://www.govinfo.gov/content/pkg/GOVPUB-C13-619956392df0068ee0351a09b1cc1b83/pdf/GOVPUB-C13-619956392df0068ee0351a09b1cc1b83.pdf https://purl.fdlp.gov/GPO/gpo98629
001079052,150505s2015\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)908407643, 0247-H (online), C 13.57/2:14-980, High performance indoor air quality specification for net zero energy homes / , NIST GCR ;  14-980. , https://doi.org/10.6028/NIST.GCR.14-980 https://www.govinfo.gov/content/pkg/GOVPUB-C13-9479d4b2203aa7cabd6e5ca80256a300/pdf/GOVPUB-C13-9479d4b2203aa7cabd6e5ca80256a300.pdf https://purl.fdlp.gov/GPO/gpo100797
001079053,150505s2015\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)908407644, 0247-H (online), C 13.57/2:15-986-1, Proceedings of the Measurement Science for Sustainable Construction and Manufacturing Workshop volume I :  position papers and findings /, NIST GCR ;  15-986-1. , https://doi.org/10.6028/NIST.GCR.15-986-1 https://www.govinfo.gov/content/pkg/GOVPUB-C13-a2efbf741e8757a615717308122b5d7a/pdf/GOVPUB-C13-a2efbf741e8757a615717308122b5d7a.pdf https://purl.fdlp.gov/GPO/gpo101355
001079054,150505s2015\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)908407645, 0247-H (online), C 13.57/2:15-986-2, Proceedings of the Measurement Science for Sustainable Construction and Manufacturing Workshop volume II :  presentations /, NIST GCR ;  15-986-2. , https://doi.org/10.6028/NIST.GCR.15-986-2 https://www.govinfo.gov/content/pkg/GOVPUB-C13-db104dad9257e61a4fb11325774ad2fe/pdf/GOVPUB-C13-db104dad9257e61a4fb11325774ad2fe.pdf https://purl.fdlp.gov/GPO/gpo103883
001079055,160105s2015\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)933741900, 0247-H (online), C 13.57/2:15-997, Measuring the PMI modeling capability in CAD systems :  report 1 - combined test case verification /, NIST GCR ;  15-997. , https://doi.org/10.6028/NIST.GCR.15-997 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b5a4e7f39be053cd2b59643ab9cc1c46/pdf/GOVPUB-C13-b5a4e7f39be053cd2b59643ab9cc1c46.pdf https://purl.fdlp.gov/GPO/gpo102107
001079056,160105s2015\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)933741901, 0247-H (online), C 13.57/2:15-998, Measuring the PMI modeling capability in CAD systems :  report 2 - combined test case validation /, NIST GCR ;  15-998. , https://doi.org/10.6028/NIST.GCR.15-998 https://www.govinfo.gov/content/pkg/GOVPUB-C13-712f6a8a94e702a97d8399fb0d82e1e8/pdf/GOVPUB-C13-712f6a8a94e702a97d8399fb0d82e1e8.pdf https://purl.fdlp.gov/GPO/gpo99244
001079057,160105s2015\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)933741851, 0247-H (online), C 13.57/2:15-999, Measuring the PMI modeling capability in CAD systems :  report 3 - fully-toleranced test case verification /, NIST GCR ;  15-999. , https://doi.org/10.6028/NIST.GCR.15-999 https://www.govinfo.gov/content/pkg/GOVPUB-C13-4dbcee99603261b7609a46a90a011c62/pdf/GOVPUB-C13-4dbcee99603261b7609a46a90a011c62.pdf https://purl.fdlp.gov/GPO/gpo97721
001079058,160105s2015\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)933741852, 0247-H (online), C 13.57/2:15-1000, Risk-informed performance-based design concepts and framework / , NIST GCR ;  15-1000. , https://doi.org/10.6028/NIST.GCR.15-1000 https://www.govinfo.gov/content/pkg/GOVPUB-C13-3b59a9a6df5c7bf37e68cb7278c7f68e/pdf/GOVPUB-C13-3b59a9a6df5c7bf37e68cb7278c7f68e.pdf https://purl.fdlp.gov/GPO/gpo96937
001079059,160518s2015\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)949907373, 0247-H (online), C 13.57/2:15-1008, NIST disaster and failure studies data repository :  the Chile earthquake database - ground motion and building performance data from the 2010 Chile earthquake - user manual /, NIST GCR ;  15-1008. , https://doi.org/10.6028/NIST.GCR.15-1008 https://www.govinfo.gov/content/pkg/GOVPUB-C13-8abb71b644c77a36099b8f451c6e2a19/pdf/GOVPUB-C13-8abb71b644c77a36099b8f451c6e2a19.pdf https://purl.fdlp.gov/GPO/gpo100409
