001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001069177,070323s2006\\\\mdua\\\\o\\\\f000\0\eng\d, (OCoLC)86119048, 0247-D (online), C 13.58:7325, Linear-fit-based rating procedure for mixed air-source unitary air conditioners and heat pumps operating in the cooling mode / , NISTIR ; 7325 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-02205403fb9e5245dc70adae4bebdc5d/pdf/GOVPUB-C13-02205403fb9e5245dc70adae4bebdc5d.pdf https://purl.fdlp.gov/GPO/gpo94396
001069181,131220s2013\\\\mdua\\\\\b\\\\000\0\eng\d, (OCoLC)865723340, 0247-D (online), C 13.58:1149-12, NIST time and frequency bulletin / , NISTIR ;  1149-12. , https://www.govinfo.gov/content/pkg/GOVPUB-C13-08c0a70ea9ce7cf6f6385a387b93baab/pdf/GOVPUB-C13-08c0a70ea9ce7cf6f6385a387b93baab.pdf https://purl.fdlp.gov/GPO/gpo94757
001069182,141105s2014\\\\mdua\\\\\b\\\\000\0\eng\d, (OCoLC)894513332, 0247-D (online), C 13.58:8016, A proposed interim check for field testing a laser tracker's 3-D length measurement capability using a calibrated scale bar as a reference artifact / , NISTIR ; 8016 , https://dx.doi.org/10.6028/NIST.IR.8016 https://www.govinfo.gov/content/pkg/GOVPUB-C13-254a1864715c7982304eadbdcbd48eee/pdf/GOVPUB-C13-254a1864715c7982304eadbdcbd48eee.pdf https://purl.fdlp.gov/GPO/gpo94776
001069183,070501s2005\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)123903926, 0247-D (online), C 13.58:7204, NIST biometrics evaluations and developments / , NISTIR ; 7204 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-1ba4778e3b87bdd6ce660349317d3263/pdf/GOVPUB-C13-1ba4778e3b87bdd6ce660349317d3263.pdf https://purl.fdlp.gov/GPO/gpo95668
001069184,070501s2004\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)123904039, 0247-D (online), C 13.58:7137," Simulation of the dynamics of a fire in the basement of a hardware store -New York, June 17, 2001 / ", NISTIR ; 7137 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-1c06e675b89ece6c2aa7113a00223c6a/pdf/GOVPUB-C13-1c06e675b89ece6c2aa7113a00223c6a.pdf https://purl.fdlp.gov/GPO/gpo95674
001069185,070509s2005\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)124075057, 0247-D (online), C 13.58:7236, A Framework for standard modular simulation :  application to semiconductor wafer fabrication /, NISTIR ; 7236 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-1d7d08a33cb9fca929f3de4019a1ceb6/pdf/GOVPUB-C13-1d7d08a33cb9fca929f3de4019a1ceb6.pdf https://purl.fdlp.gov/GPO/gpo95707
001069186,070501s2004\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)123904030, 0247-D (online), C 13.58:7133, NIST-SFPE workshop for development of a national R & D roadmap for structural fire safety design and retrofit of structures: proceedings / , NISTIR ; 7133 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-1e6e9ce54f7845faf1bede1711f3383b/pdf/GOVPUB-C13-1e6e9ce54f7845faf1bede1711f3383b.pdf https://purl.fdlp.gov/GPO/gpo95594
001069187,070509s2003\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)124074608, 0247-D (online), C 13.58:7008, NIST research library benchmark study :  2001 summary report /, NISTIR ; 7008 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-209de7689b06aa3edb417535dc31d068/pdf/GOVPUB-C13-209de7689b06aa3edb417535dc31d068.pdf https://purl.fdlp.gov/GPO/gpo95938
001069188,070322s2006\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)86108536, 0247-D (online), C 13.58:7364," Database tools for modeling emissions and control of air pollutants from consumer products, cooking, and combustion / ", NISTIR ; 7364 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-2473605914731220e2f0f0ce89e6586e/pdf/GOVPUB-C13-2473605914731220e2f0f0ce89e6586e.pdf https://purl.fdlp.gov/GPO/gpo95856
001069189,070521s2007\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)132827562, 0247-D (online), C 13.58:7338, Evaluation of fire models for nuclear power plant applications :  benchmark exercie #3 /, NISTIR ; 7338 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-27df941f6e9c183edb7e5706decef3a2/pdf/GOVPUB-C13-27df941f6e9c183edb7e5706decef3a2.pdf https://purl.fdlp.gov/GPO/gpo96069
001069190,070509s2003\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)124074935, 0247-D (online), C 13.58:7040, Workshop summary report :  scanning probe nanolithography workshop /, NISTIR ; 7040 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-2a595f0c484316cf83fd83c867fe2926/pdf/GOVPUB-C13-2a595f0c484316cf83fd83c867fe2926.pdf https://purl.fdlp.gov/GPO/gpo96144
001069191,070323s2006\\\\mdu\\\\\ob\\\f000\0\eng\d, (OCoLC)86118612, 0247-D (online), C 13.58:7348, Interprocess communication in the process specification language / , NISTIR ; 7348 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-2be937b5fd9d859ef75eec27d961746a/pdf/GOVPUB-C13-2be937b5fd9d859ef75eec27d961746a.pdf https://purl.fdlp.gov/GPO/gpo96371
001069192,070501s2005\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)123903898, 0247-D (online), C 13.58:7210, Conformance testing of the government smart card / , NISTIR ; 7210 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-2c685d48d450bd4cbd71ef94bb005b1e/pdf/GOVPUB-C13-2c685d48d450bd4cbd71ef94bb005b1e.pdf https://purl.fdlp.gov/GPO/gpo96199
001069193,070323s2006\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)86118645, 0247-D (online), C 13.58:7346, Studies of biometric fusion / , NISTIR ; 7346 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-2dc295d2ed4e778393e429525b2675e2/pdf/GOVPUB-C13-2dc295d2ed4e778393e429525b2675e2.pdf https://purl.fdlp.gov/GPO/gpo96232
001069195,091208s2009\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)475568095, 0247-D (online), C 13.58:7586, Hypothesis test of fingerprint-image matching algorithms in operational ROC analysis / , NISTIR ; 7586 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-367ee6d5c84e406b4b32ec916edf1a81/pdf/GOVPUB-C13-367ee6d5c84e406b4b32ec916edf1a81.pdf https://purl.fdlp.gov/GPO/gpo96879
001069196,070416s2005\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)123128313, 0247-D (online), C 13.58:7271, The myth of goats :  how many people have fingerprints that are hard to match? /, NISTIR ; 7271 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-37bb065a72282f09dae6b51ebc4d0d51/pdf/GOVPUB-C13-37bb065a72282f09dae6b51ebc4d0d51.pdf https://purl.fdlp.gov/GPO/gpo96683
