001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001076072,151019s1960\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925472733, 0247-A (online), C 13.44:2, Temperature-induced stresses in solids of elementary shape / , NBS monograph ; 2 , https://doi.org/10.6028/NBS.MONO.2 https://www.govinfo.gov/content/pkg/GOVPUB-C13-1b0c2c266f5eb531357cc6b15473a539/pdf/GOVPUB-C13-1b0c2c266f5eb531357cc6b15473a539.pdf https://purl.fdlp.gov/GPO/gpo95409
001076073,151019s1960\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925472768, 0247-A (online), C 13.44:13, Mechanical properties of structural materials at low temperatures :  a compilation from the literature /, NBS monograph ; 13 , https://doi.org/10.6028/NBS.MONO.13 https://www.govinfo.gov/content/pkg/GOVPUB-C13-0db7cc6eaefa48f82095c56b41cabfc0/pdf/GOVPUB-C13-0db7cc6eaefa48f82095c56b41cabfc0.pdf https://purl.fdlp.gov/GPO/gpo94928
001076075,151019s1966\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473075, 0247-A (online), C 13.44:96," Electrical parameters of precision, coaxial, air-dielectric transmission lines / ", NBS monograph ; 96 , https://doi.org/10.6028/NBS.MONO.96 https://www.govinfo.gov/content/pkg/GOVPUB-C13-172d4f6cf4f5462f630830b9c6994c15/pdf/GOVPUB-C13-172d4f6cf4f5462f630830b9c6994c15.pdf https://purl.fdlp.gov/GPO/gpo95416
001076076,151019s1967\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473003, 0247-A (online), C 13.44:97, Microwave attenuation measurements and standards / , NBS monograph ; 97 , https://doi.org/10.6028/NBS.MONO.97 https://www.govinfo.gov/content/pkg/GOVPUB-C13-2c1b7dcb4f3afea89fe115069a7ff818/pdf/GOVPUB-C13-2c1b7dcb4f3afea89fe115069a7ff818.pdf https://purl.fdlp.gov/GPO/gpo96184
001076077,151019s1966\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473004, 0247-A (online), C 13.44:98," Abscissas and weights for Guassian quadrature for N=2 to 100, and N=125, 150, 175, 200 / ", NBS monograph ; 98 , https://doi.org/10.6028/NBS.MONO.98 https://www.govinfo.gov/content/pkg/GOVPUB-C13-8d357e7f5c4164ae3a06508248a1fdeb/pdf/GOVPUB-C13-8d357e7f5c4164ae3a06508248a1fdeb.pdf https://purl.fdlp.gov/GPO/gpo100505
001076078,151019s1967\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473005, 0247-A (online), C 13.44:100, Trace characterization :  chemical and physical /, NBS monograph ; 100 , https://doi.org/10.6028/NBS.MONO.100 https://www.govinfo.gov/content/pkg/GOVPUB-C13-cff2daafa6b95f443196a9a56bd127a0/pdf/GOVPUB-C13-cff2daafa6b95f443196a9a56bd127a0.pdf https://purl.fdlp.gov/GPO/gpo103204
001076087,151019s1968\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473082, 0247-A (online), C 13.44:110, Infrared spectroscopy of carbohydrates :  a review of the literature /, NBS monograph ; 110 , https://doi.org/10.6028/NBS.MONO.110 https://www.govinfo.gov/content/pkg/GOVPUB-C13-0627fde54d58dee20fe03a88fe987678/pdf/GOVPUB-C13-0627fde54d58dee20fe03a88fe987678.pdf https://purl.fdlp.gov/GPO/gpo94688
001076090,151019s1970\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473155, 0247-A (online), C 13.44:114, Survey of micromanometers / , NBS monograph ; 114 , https://doi.org/10.6028/NBS.MONO.114 https://www.govinfo.gov/content/pkg/GOVPUB-C13-0bc24890d6367c9afddffac60de76d1f/pdf/GOVPUB-C13-0bc24890d6367c9afddffac60de76d1f.pdf https://purl.fdlp.gov/GPO/gpo94810
001076092,151019s1960\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925472612, 0247-A (online), C 13.44:15, Calibration of line standards of length and measuring tapes at the National Bureau of Standards / , NBS monograph ; 15 , https://doi.org/10.6028/NBS.MONO.15 https://www.govinfo.gov/content/pkg/GOVPUB-C13-4897c508a3a9e5e445c66591da704b30/pdf/GOVPUB-C13-4897c508a3a9e5e445c66591da704b30.pdf https://purl.fdlp.gov/GPO/gpo97528
001076094,151019s1970\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925472998, 0247-A (online), C 13.44:117, Hearing aids / , NBS monograph ; 117 , https://doi.org/10.6028/NBS.MONO.117 https://www.govinfo.gov/content/pkg/GOVPUB-C13-ebfd2432dbb31ec5bb5ac82e7a85db5d/pdf/GOVPUB-C13-ebfd2432dbb31ec5bb5ac82e7a85db5d.pdf https://purl.fdlp.gov/GPO/gpo104619
