001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001079091,131125s2014\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)863997930, 0244 (online), C 13.2:3," Final report, National Institute of Standards and Technology (NIST) :  technical investigation of the May 22, 2011 tornado in Joplin, Missouri /", NIST NCSTAR ; 3 , https://doi.org/10.6028/NIST.NCSTAR.3 https://www.govinfo.gov/content/pkg/GOVPUB-C13-a0ac8adb5269166f1b1e230423cf79ec/pdf/GOVPUB-C13-a0ac8adb5269166f1b1e230423cf79ec.pdf https://purl.fdlp.gov/GPO/gpo103659
001079092,151019s2005\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473331, 0244 (online), C 13.2:C 68, Final report on the collapse of the World Trade Center towers :  federal building and fire safety investigation of the World Trade Center disaster /, NIST NCSTAR ; 1 , https://doi.org/10.6028/NIST.NCSTAR.1 https://www.govinfo.gov/content/pkg/GOVPUB-C13-f7122d930eede23691ffc0b486548fd0/pdf/GOVPUB-C13-f7122d930eede23691ffc0b486548fd0.pdf https://purl.fdlp.gov/GPO/gpo105063
001079093,151019s2005\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473332, 0244 (online), C 13.2:1-1," Design, construction, and maintenance of structural and life safety systems / ", NIST NCSTAR ;  1-1. , https://doi.org/10.6028/NIST.NCSTAR.1-1 https://www.govinfo.gov/content/pkg/GOVPUB-C13-8daa429f4f4e901bcd87da64957b40c9/pdf/GOVPUB-C13-8daa429f4f4e901bcd87da64957b40c9.pdf https://purl.fdlp.gov/GPO/gpo100516
001079094,151019s2005\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473333, 0244 (online), C 13.2:1-3, Mechanical and metallurgical analysis of structural steel / , NIST NCSTAR ;  1-3. , https://doi.org/10.6028/NIST.NCSTAR.1-3 https://www.govinfo.gov/content/pkg/GOVPUB-C13-f76b5f8ea88f79749f979726d33928c0/pdf/GOVPUB-C13-f76b5f8ea88f79749f979726d33928c0.pdf https://purl.fdlp.gov/GPO/gpo105078
001079095,151019s2005\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473334, 0244 (online), C 13.2:1-4, Active fire protection systems / , NIST NCSTAR ;  1-4. , https://doi.org/10.6028/NIST.NCSTAR.1-4 https://www.govinfo.gov/content/pkg/GOVPUB-C13-d55a0d95eac7272b81d6bbb28da4ac2a/pdf/GOVPUB-C13-d55a0d95eac7272b81d6bbb28da4ac2a.pdf https://purl.fdlp.gov/GPO/gpo103413
001079096,151019s2005\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473433, 0244 (online), C 13.2:1-5, Reconstruction of the fires in the World Trade Center towers / , NIST NCSTAR ;  1-5. , https://doi.org/10.6028/NIST.NCSTAR.1-5 https://www.govinfo.gov/content/pkg/GOVPUB-C13-57e05d388fb42004eea6461efa1c2c06/pdf/GOVPUB-C13-57e05d388fb42004eea6461efa1c2c06.pdf https://purl.fdlp.gov/GPO/gpo98104
001079097,151019s2005\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473436, 0244 (online), C 13.2:1-7," Occupant behavior, egress, and emergency communications / ", NIST NCSTAR ;  1-7. , https://doi.org/10.6028/NIST.NCSTAR.1-7 https://www.govinfo.gov/content/pkg/GOVPUB-C13-41fd18b66efb1428774e5fa63aed14c8/pdf/GOVPUB-C13-41fd18b66efb1428774e5fa63aed14c8.pdf https://purl.fdlp.gov/GPO/gpo97427
001079098,151019s2005\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473526, 0244 (online), C 13.2:1-4c, Fire alarm systems / , NIST NCSTAR ;  1-4c. , https://doi.org/10.6028/NIST.NCSTAR.1-4c https://www.govinfo.gov/content/pkg/GOVPUB-C13-81b436071bb9ef5122cac04b94d76841/pdf/GOVPUB-C13-81b436071bb9ef5122cac04b94d76841.pdf https://purl.fdlp.gov/GPO/gpo99880
001079099,151019s2005\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473474, 0244 (online), C 13.2:1-5c, Fire tests of single office workstations / , NIST NCSTAR ;  1-5c. , https://doi.org/10.6028/NIST.NCSTAR.1-5c https://www.govinfo.gov/content/pkg/GOVPUB-C13-d1f66703fd7fd4dc11b4a56fe07c79be/pdf/GOVPUB-C13-d1f66703fd7fd4dc11b4a56fe07c79be.pdf https://purl.fdlp.gov/GPO/gpo103282
001079100,151019s2005\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473573, 0244 (online), C 13.2:1-6c," Component, connection and subsystem structural analysis / ", NIST NCSTAR ;  1-6c. , https://doi.org/10.6028/NIST.NCSTAR.1-6c https://www.govinfo.gov/content/pkg/GOVPUB-C13-ae8421c763c3457e58081986d8dea497/pdf/GOVPUB-C13-ae8421c763c3457e58081986d8dea497.pdf https://purl.fdlp.gov/GPO/gpo101818
