1,8,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
1073971,030908s2003\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)52987157, 0247 (online), C 13.10:1000-3, Progress report on the Federal building and fire safety investigation of the World Trade Center disaster. , NIST special publication ;  1000-3. , https://dx.doi.org/10.6028/NIST.SP.1000-3 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b551763c068684e48a810a65dff0a28a/pdf/GOVPUB-C13-b551763c068684e48a810a65dff0a28a.pdf https://purl.fdlp.gov/GPO/gpo102095
1073972,091026s2009\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)459763200, 0247 (online), C 13.10:1101, Metrics and tools for measuring construction productivity :  technical and empirical considerations /, NIST special publication ; 1101 , https://doi.org/10.6028/NIST.SP.1101 https://www.govinfo.gov/content/pkg/GOVPUB-C13-3bad38e9466d79a9f41100481877883a/pdf/GOVPUB-C13-3bad38e9466d79a9f41100481877883a.pdf https://purl.fdlp.gov/GPO/gpo96947
1073973,120629s2012\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)797190633, 0247 (online), C 13.10:1132," Technical investigation of the Joplin, Missouri, Tornado of May 22, 2011 / ", NIST special publication ; 1132 , https://doi.org/10.6028/NIST.SP.1132 https://www.govinfo.gov/content/pkg/GOVPUB-C13-361fda6c629c1a8b246c19a83cd66bc4/pdf/GOVPUB-C13-361fda6c629c1a8b246c19a83cd66bc4.pdf https://purl.fdlp.gov/GPO/gpo96871
1073974,120906s2012\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)809273000, 0247 (online), C 13.10:500-295," Conformance testing methodology for ANSI/NIST-ITL 1-2011, data format for the interchange of fingerprint, facial & other biometric information (release 1.0) / ", NIST special publication ;  500-295. , https://doi.org/10.6028/NIST.SP.500-295 https://www.govinfo.gov/content/pkg/GOVPUB-C13-82a6416628abd1b3d9e25cf6ba16d316/pdf/GOVPUB-C13-82a6416628abd1b3d9e25cf6ba16d316.pdf https://purl.fdlp.gov/GPO/gpo99924
1073975,121213s2012\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)821073661, 0247 (online), C 13.10:1139," Progress report, National Institute of Standards and Technology (NIST) :  technical investigation of the May 22, 2011, tornado in Joplin, Missouri /", NIST special publication ; 1139 , https://doi.org/10.6028/NIST.SP.1139 https://www.govinfo.gov/content/pkg/GOVPUB-C13-3d33545f4e4b709dce1598d3c419c7f2/pdf/GOVPUB-C13-3d33545f4e4b709dce1598d3c419c7f2.pdf https://purl.fdlp.gov/GPO/gpo96996
1073976,121213s2012\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)821072830, 0247 (online), C 13.10:1136, 2012 Proceedings of the Performance Metrics for Intelligent Systems (PerMI 12) Workshop / , NIST special publication ; 1136 , https://doi.org/10.6028/NIST.SP.1136 https://www.govinfo.gov/content/pkg/GOVPUB-C13-5e43c2c27dbca7a892d4a7ad5349d36e/pdf/GOVPUB-C13-5e43c2c27dbca7a892d4a7ad5349d36e.pdf https://purl.fdlp.gov/GPO/gpo98502
1073977,130111s2005\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)823930806, 0247 (online), C 13.10:1044," Advanced coatings R&D for pipelines and related facilities :  the proceedings of a workshop held June 9-10, 2005 at the National Institute of Standards and Technology, National Institute of Standards and Technology /", NIST special publication ; 1044 , https://doi.org/10.6028/NIST.SP.1044 https://www.govinfo.gov/content/pkg/GOVPUB-C13-05d7f14ac9e17a000d595c881555e166/pdf/GOVPUB-C13-05d7f14ac9e17a000d595c881555e166.pdf https://purl.fdlp.gov/GPO/gpo94686
1073978,130111s2011\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)823930935, 0247 (online), C 13.10:1118," Technical study of the sofa super store fire - South Carolina, June 18, 2007 / ", NIST special publication ; 1118 , https://doi.org/10.6028/NIST.SP.1118v1 https://www.govinfo.gov/content/pkg/GOVPUB-C13-d4339ea04ec0cdf246c005aec732ba8b/pdf/GOVPUB-C13-d4339ea04ec0cdf246c005aec732ba8b.pdf https://purl.fdlp.gov/GPO/gpo103370
1073979,130111s2011\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)823930951, 0247 (online), C 13.10:800-82," Guide to Industrial Control Systems (ICS) security :  Supervisory Control and Data Acquisition (SCADA) systems, Distributed Control systems (DCS), and other control system configurations such as Programmable Logic Controllers (PLC) : recommendations of the National Institute of Standards and Technology, Computer security,", NIST special publication ;  800-82. , https://doi.org/10.6028/NIST.SP.800-82 https://www.govinfo.gov/content/pkg/GOVPUB-C13-217bd93eb77c098600b46e4789c8bcde/pdf/GOVPUB-C13-217bd93eb77c098600b46e4789c8bcde.pdf https://purl.fdlp.gov/GPO/gpo95960
1073980,130111s2012\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)823937510, 0247 (online), C 13.10:800-133, Recommendation for Cryptographic Key Generation / , NIST special publication ;  800-133. , https://doi.org/10.6028/NIST.SP.800-133 https://www.govinfo.gov/content/pkg/GOVPUB-C13-9e1525f67514600798ae8547bf8c194d/pdf/GOVPUB-C13-9e1525f67514600798ae8547bf8c194d.pdf https://purl.fdlp.gov/GPO/gpo103572
