001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001079101,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883740, 0244 (online), C 13.27:3, Thermal insulation :  comparative estimated fuel savings in heating dwelling houses equipped with various means for reducing heat loss /, Technical information on building materials; 3 , https://doi.org/10.6028/NBS.TIBM.3 https://www.govinfo.gov/content/pkg/GOVPUB-C13-e0d0e394d232741094855568f0758af3/pdf/GOVPUB-C13-e0d0e394d232741094855568f0758af3.pdf https://purl.fdlp.gov/GPO/gpo104150
001079102,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883856, 0244 (online), C 13.27:20, Recommendations for Portland cement stucco construction / , Technical information on building materials; 20 , https://doi.org/10.6028/NBS.TIBM.20 https://www.govinfo.gov/content/pkg/GOVPUB-C13-1655b35db06c4c0f817c849493f13c59/pdf/GOVPUB-C13-1655b35db06c4c0f817c849493f13c59.pdf https://purl.fdlp.gov/GPO/gpo95299
001079103,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883857, 0244 (online), C 13.27:21, Finishes and maintenance of Portland cement stucco construction / , Technical information on building materials; 21 , https://doi.org/10.6028/NBS.TIBM.21 https://www.govinfo.gov/content/pkg/GOVPUB-C13-a2c97c57750480fe62cabb1d4677c33b/pdf/GOVPUB-C13-a2c97c57750480fe62cabb1d4677c33b.pdf https://purl.fdlp.gov/GPO/gpo103548
001079104,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883858, 0244 (online), C 13.27:22, Submerged corrosion of ferrous materials / , Technical information on building materials; 22 , https://doi.org/10.6028/NBS.TIBM.22 https://www.govinfo.gov/content/pkg/GOVPUB-C13-6ff163eeaff22e130c5b5dbca5ef39d2/pdf/GOVPUB-C13-6ff163eeaff22e130c5b5dbca5ef39d2.pdf https://purl.fdlp.gov/GPO/gpo99185
001079105,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883859, 0244 (online), C 13.27:23, Concrete masonry units / , Technical information on building materials; 23 , https://doi.org/10.6028/NBS.TIBM.23 https://www.govinfo.gov/content/pkg/GOVPUB-C13-832e80226de0f0f83be3da4186a2c342/pdf/GOVPUB-C13-832e80226de0f0f83be3da4186a2c342.pdf https://purl.fdlp.gov/GPO/gpo99945
001079106,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883861, 0244 (online), C 13.27:13, Thermal insulation :  insulating values for frame wall construction - stucco with various types of interior finishes /, Technical information on building materials; 13 , https://doi.org/10.6028/NBS.TIBM.13 https://www.govinfo.gov/content/pkg/GOVPUB-C13-780dd406cd99d796d5a0d9e256ed7913/pdf/GOVPUB-C13-780dd406cd99d796d5a0d9e256ed7913.pdf https://purl.fdlp.gov/GPO/gpo99514
001079107,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883882, 0244 (online), C 13.27:1, Corrosion of metals used in house construction / , Technical information on building materials; 1 , https://doi.org/10.6028/NBS.TIBM.1 https://www.govinfo.gov/content/pkg/GOVPUB-C13-d9124a63fe29fabba3285d4774917bfa/pdf/GOVPUB-C13-d9124a63fe29fabba3285d4774917bfa.pdf https://purl.fdlp.gov/GPO/gpo103793
001079108,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883883, 0244 (online), C 13.27:2, Life of non-ferrous screen wire cloth / , Technical information on building materials; 2 , https://doi.org/10.6028/NBS.TIBM.2 https://www.govinfo.gov/content/pkg/GOVPUB-C13-24a84e4319fc7916787888e0e5f36f86/pdf/GOVPUB-C13-24a84e4319fc7916787888e0e5f36f86.pdf https://purl.fdlp.gov/GPO/gpo95985
001079109,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883893, 0244 (online), C 13.27:6, Integral waterproofing for concrete / , Technical information on building materials; 6 , https://doi.org/10.6028/NBS.TIBM.6 https://www.govinfo.gov/content/pkg/GOVPUB-C13-6a94c28ed6bc836a288410b26c3697d3/pdf/GOVPUB-C13-6a94c28ed6bc836a288410b26c3697d3.pdf https://purl.fdlp.gov/GPO/gpo98962
001079110,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883894, 0244 (online), C 13.27:7," Thermal insulation :  comparative insulating values of 8"" solid brick walls having various types of interior finishes /", Technical information on building materials; 7 , https://doi.org/10.6028/NBS.TIBM.7 https://www.govinfo.gov/content/pkg/GOVPUB-C13-70e3a761dfbcdd1c7dfaf265efa2e0c8/pdf/GOVPUB-C13-70e3a761dfbcdd1c7dfaf265efa2e0c8.pdf https://purl.fdlp.gov/GPO/gpo99227
