MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Local Field 922/SPOT	Cultural resources climate change strategy	001009365	971254164		I			Department of the Interior			I 29.2:C 61/5			0648 (online)			2016	https://purl.fdlp.gov/GPO/gpo77014			https://www.nps.gov/subjects/climatechange/upload/ClimateChange_01-05_DigitalPrelim.pdf		
Local Field 922/SPOT	Symbols of the U.S. government: Ben's activity book.	001009508	681772555	624186609	GP			Government Publishing Office			GP 1.2:SY 6			0548 (online)			2004	https://purl.fdlp.gov/GPO/gpo77319					
Local Field 922/SPOT	Mission 66 visitor centers: the history of a building type	001022871	681844552	623677305	I			Department of the Interior			I 29.2:M 69/5			0648 (online)			2000	https://purl.fdlp.gov/GPO/gpo82618			https://ia800307.us.archive.org/26/items/mission66visitor00alla/mission66visitor00alla.pdf	https://www.nps.gov/parkhistory/online_books/allaback/	
Local Field 922/SPOT	Wallpapers in historic preservation	001025671	692605143	297947710; 557511399; 624196946	I			Department of the Interior			I 29.2:W 15/2			0648 (online)			1977	https://purl.fdlp.gov/GPO/gpo83741			https://irma.nps.gov/DataStore/DownloadFile/487749	https://www.nps.gov/parkhistory/online_books/tpsd/wallpaper/	
Local Field 922/SPOT	Discover your changing world with NOAA: an activity book.	001026495	1001466328		C			Department of Commerce			C 55.402:D 63/2			0192 (online)			2013	https://purl.fdlp.gov/GPO/gpo83668			https://oceanservice.noaa.gov/education/discoverclimate/noaa_complete_activity_book_111213.pdf		
Local Field 922/SPOT	58th presidential inauguration: Junior Ranger activity book.	001027024	1001960176		I			Department of the Interior			I 29.171:P 92/4			0648-A-46 (online)			2017?	https://purl.fdlp.gov/GPO/gpo83584			https://www.nps.gov/subjects/inauguration/upload/2017_Inauguration_Junior_Ranger_Book_FINALsmall.pdf		
Local Field 922/SPOT	Celebrating the immigrant: an administrative history of the Statue of Liberty National Monument, 1952-1982	001037567	679746661	54664975; 54680634; 624415994	I			Department of the Interior			I 29.86:10			0646-N-03 (online)			1985	https://purl.fdlp.gov/GPO/gpo83608			http://files.eric.ed.gov/fulltext/ED278589.pdf	https://www.nps.gov/parkhistory/online_books/stli/adhi.htm	
Local Field 922/SPOT	President's management agenda	001050950	1029735360		PREX			Executive Office of the President			PREX 2.2:M 31/4/2018			0854 (online)			2018	https://purl.fdlp.gov/GPO/gpo90293			https://www.whitehouse.gov/wp-content/uploads/2018/03/The-Presidents-Management-Agenda.pdf		
Local Field 922/SPOT	Final report on the WPA program, 1935-43	001059216	680081139	630025967; 631162393	FW			Federal Works Agency			FW 4.1:935-43						1947	https://purl.fdlp.gov/GPO/gpo92804			http://lcweb2.loc.gov/service/gdc/scd0001/2008/20080212001fi/20080212001fi.pdf		
Local Field 922/SPOT	Plantas nativas: cuaderno de actividades.	001059528	1038277741		I			Department of the Interior			I 53.71:P 69/2017/SPAN.			0631-G-13 (online)			2017	https://purl.fdlp.gov/GPO/gpo92892			https://www.blm.gov/download/file/fid/19092		
Local Field 922/SPOT	Improving the intelligence community's declassification process and the community's support to the National Declassification Center	001061246	969274847		PREX			Executive Office of the President			PREX 28.2:D 35			0857-T (online)			2016	https://purl.fdlp.gov/GPO/gpo92367			https://www.dni.gov/files/documents/Newsroom/Reports%20and%20Pubs/CDA3-23-2015-Improving-the-IC-Declass-Process-and-IC-Support-to-NDC_Final.pdf		
Local Field 922/SPOT	Meet some wildlife champs: coloring book	001061688	1041112293		I			Department of the Interior			I 49.140:W 64			0612-Q-22 (online)			not after 2016	https://purl.fdlp.gov/GPO/gpo93763			https://www.fws.gov/refuges/kids/pdfs/WildlifeChamps_coloringbookEnglish.pdf		
Local Field 922/SPOT	Crafting an intelligence community: papers of the first four DCIs.	001063093	1042563235		PREX			Executive Office of the President			PREX 3.22:D 62			0856-A-36 (online)			2012	https://purl.fdlp.gov/GPO/gpo93613			https://www.cia.gov/library/publications/intelligence-history/intel-policy-and-politics/intel-policy-Politics.pdf		
Local Field 922/SPOT	Separated children placed in Office of Refugee Resettlement care	001091457	1083204970		HE			Department of Health and Human Services			HE 1.75:OEI-BL-18-00511			0445-B-07 (online)			2019	https://purl.fdlp.gov/GPO/gpo115132			https://oig.hhs.gov/oei/reports/oei-BL-18-00511.pdf		
Local Field 922/SPOT	Ensuring continued U.S. soybean exports to China	001091619	1083261224		A			Department of Agriculture			A 101.2:SO 9			0030-A-05 (online)			2017	https://purl.fdlp.gov/GPO/gpo114845			https://www.aphis.usda.gov/publications/plant_health/fs-soybeans-to-china.pdf		
Local Field 922/SPOT	Seeking enterprise customer data held by cloud service providers	001092096	1083669829		J			Department of Justice			J 1.2:C 62			0717 (online)			2017	https://purl.fdlp.gov/GPO/gpo115337			https://www.justice.gov/criminal-ccips/file/1017511/download		
Local Field 922/SPOT	Stalingrad: the battle for the Martenovskii shop	001092791	1085351654		D			Department of Defense			D 110.2:ST 1/2/M 36			0359-C-11 (online)			2018	https://purl.fdlp.gov/GPO/gpo115986			https://www.dvidshub.net/video/614338/stalingrad-battle-martenovskii-shop		
Local Field 922/SPOT	Stalingrad: the Commissar's House	001092792	1085351630		D			Department of Defense			D 110.2:ST 1/2/C 73			0359-C-11 (online)			2018	https://purl.fdlp.gov/GPO/gpo115987			https://www.dvidshub.net/video/628870/stalingrad-commissars-house		
Local Field 922/SPOT	Stalingrad: the campaign	001092793	1085351790		D			Department of Defense			D 110.2:ST 1/2/C 15			0359-C-11 (online)			2019	https://purl.fdlp.gov/GPO/gpo115988			https://www.dvidshub.net/video/653457/stalingrad-campaign		
Local Field 922/SPOT	Worldwide threat assessment of the U.S. intelligence community for the Senate Committee on Armed Services	001093098	1085569236		PREX			Executive Office of the President			PREX 28.16:			0857-T-04 (online)			2011-	https://purl.fdlp.gov/GPO/gpo116195					
Local Field 922/SPOT	Y2K myths and realities: joint hearing before the Subcommittee on Technology of the Committee on Science and the Subcommittee on Government Management, Information, and Technology of the Committee on Government Reform, House of Representatives, One Hundred Sixth Congress, first session, November 4, 1999.	001094318	852760264	652295213; 908323267; 1012089126; 1022003733; 1071976968	Y			Congress			Y 4.SCI 2:106-61			1025-A-01 (online)			2000	https://purl.fdlp.gov/GPO/gpo117039			https://www.govinfo.gov/content/pkg/CHRG-106hhrg61629/pdf/CHRG-106hhrg61629.pdf		
