MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Bibliographic_Level/Illustrations/Publication status	PLANTS database	000447173	33105290	38007716; 1098397875; 1289565969; 1289584237; 1295192198; 1303020479; 1311310326	A			Department of Agriculture			A 57.80:			0121-G-06 (online)			200u	https://purl.fdlp.gov/GPO/LPS40370			https://plants.usda.gov/home		
Bibliographic_Level/Illustrations/Publication status	Geographic Names Information System (GNIS)	000460508	35152405	39639068; 71832899; 74335183	I			Department of the Interior			I 19.16/2:			0621-J (online)			1995	https://purl.fdlp.gov/GPO/LPS1507	https://purl.fdlp.gov/GPO/gpo52537		http://geonames.usgs.gov/pls/gnispublic/	http://geonames.usgs.gov/apex/f?p=gnispq:1:::NO:1:P1_SHOW_ANTAR,P1_SHOW_ADV,P1_SHOW_FIPS55:Y,,	
Bibliographic_Level/Illustrations/Publication status	Plant Variety Protection Office scanned certificates	000477138	37789862		A			Department of Agriculture			A 88.52/2:			0024-B-12 (online)	0024- B-41 (online)		1997?]-	https://purl.fdlp.gov/GPO/LPS400			http://apps.ams.usda.gov/CMS/		
Bibliographic_Level/Illustrations/Publication status	NCJRS abstracts database	000487949	39266166	40254594; 78244707	J			Department of Justice			J 28.31/2:			0718-D (online)			1998	https://purl.fdlp.gov/GPO/LPS523			https://www.ncjrs.gov/App/AbstractDB/AbstractDBSearch.aspx		
Bibliographic_Level/Illustrations/Publication status	Major shippers report archive	000490899	39661242		C			Department of Commerce			C 61.53:			0231-B-41 (online)			1996]-	https://purl.fdlp.gov/GPO/LPS711					
Bibliographic_Level/Illustrations/Publication status	Biographical directory of the United States Congress	000496841	40411130	40467835; 51113853; 995270167; 1001348278; 1039009345; 1047695168; 1060920455; 1067004478; 1079386811; 1154566125; 1195706924; 1198446763	Y			Congress			Y 1.7:			1006-C (online)			1998]-	https://purl.fdlp.gov/GPO/LPS21383			http://bioguide.congress.gov/		
Bibliographic_Level/Illustrations/Publication status	Congressional bills	000501532	40946176	32287663; 35305564; 48788369; 1130604518; 1195706412; 1198445574	Y			Congress			Y 1.6:			1006-B (online)			1993]-	https://purl.fdlp.gov/GPO/LPS3503	https://purl.fdlp.gov/GPO/LPS29362		http://www.gpoaccess.gov/bills/index.html		
Bibliographic_Level/Illustrations/Publication status	Excluded parties list system	000503268	41174982		GS			General Services Administration			GS 1.28:			0559-F (online)			19uu	https://purl.fdlp.gov/GPO/LPS49844					
Bibliographic_Level/Illustrations/Publication status	ToxFAQs: information about contaminants found at hazardous waste sites.	000513071	42666740	44276344	HE	HE		Department of Health and Human Services	Department of Health and Human Services		HE 20.502:2004010114	HE 20.520/3:		0504-R-01 (online)	0504-R-09 (online)		1998	https://purl.fdlp.gov/GPO/LPS42857			http://www.atsdr.cdc.gov/toxfaqs/index.asp		
Bibliographic_Level/Illustrations/Publication status	Transportation Research Information Services (TRIS)	000517023	43326779	43336464; 44209760; 44279494; 44394989; 1053099493	TD			Department of Transportation			TD 7.2:T 67/2/			0982-H-02 (online)			1999?]-	https://purl.fdlp.gov/GPO/LPS17946			http://www.fta.dot.gov/assistance/resources/research_5644.html		
Bibliographic_Level/Illustrations/Publication status	Disclosure reports	000520535	43888547	1060528077; 1067193201; 1130603758; 1130608701	FR	Y	Y	Federal Reserve System Board of Governors	Congress	Congress	FR 1.63/55:	Y 3.F 49:18/INTERNET	Y 3.F 49:18/	0443-E-55 (online)	1061-J-07 (online)		1999]-	https://purl.fdlp.gov/GPO/gpo138656	https://purl.fdlp.gov/GPO/LPS4316		https://ffiec.cfpb.gov/data-publication/disclosure-reports/2018		
Bibliographic_Level/Illustrations/Publication status	Classification resources	000525035	44792043	1031629592; 1031807389	C			Department of Commerce			C 21.3/2:			0252-A (online)			1999?]-	https://purl.fdlp.gov/GPO/LPS5132					
Bibliographic_Level/Illustrations/Publication status	Catalog of U.S. government publications	000525895	45008224	43973836; 46314750; 48853290; 428007563; 704527737; 742148463; 811205052; 830854581; 904421503; 959274930; 1003819476; 1039181686; 1098625865; 1114441604; 1119597777	GP			Government Publishing Office			GP 3.8/8-9:			0557-F (online)			1994-	https://purl.fdlp.gov/GPO/LPS844			http://catalog.gpo.gov/F		
Bibliographic_Level/Illustrations/Publication status	USA trade online	000529450	45673827	83891650	C			Department of Commerce			C 1.88/4:			0128-L-02 (online)			2000?]-	https://purl.fdlp.gov/GPO/LPS28231			https://usatrade.census.gov/		
Bibliographic_Level/Illustrations/Publication status	State basin outlook reports	000538157	48239200	44276269	A			Department of Agriculture			A 57.46/20:			0102-B-54 (online)			199u	https://purl.fdlp.gov/GPO/LPS1646			http://www.wcc.nrcs.usda.gov/cgibin/bor.pl		
Bibliographic_Level/Illustrations/Publication status	MedlinePlus: trusted health information for you.	000540865	49012038	41830356; 43609260; 44203640; 44286658; 45149800; 48958868; 48981326; 57002091; 1002388182; 1091748157	HE			Department of Health and Human Services			HE 20.3629:			0508-D-04 (online)			1998-	https://purl.fdlp.gov/GPO/LPS34458					
Bibliographic_Level/Illustrations/Publication status	Geographic locator codes	000541227	49209305		GS			General Services Administration			GS 1.34:			0559-E-04 (online)			2002	https://purl.fdlp.gov/GPO/LPS49762					
Bibliographic_Level/Illustrations/Publication status	National drug code directory	000542701	49611521	904438372; 1053023345; 1060550296; 1130603376; 1195707193; 1198446007	HE			Department of Health and Human Services			HE 20.4012:			0475-N (online)			2001	https://purl.fdlp.gov/GPO/LPS18706			http://www.fda.gov/cder/ndc/database/default.htm		
Bibliographic_Level/Illustrations/Publication status	Cost estimates of foodborne illness	000552792	56482705	52506963	A			Department of Agriculture			A 93.68/2:			0042-T-21 (online)			2003?]-	https://purl.fdlp.gov/GPO/gpo127168	https://purl.fdlp.gov/GPO/LPS50376		https://www.ers.usda.gov/data-products/cost-estimates-of-foodborne-illnesses.aspx		
Bibliographic_Level/Illustrations/Publication status	Fixed assets accounts tables	000556465	53344201		C			Department of Commerce			C 59.28/2:			0130-U-06 (online)			uuuu	https://purl.fdlp.gov/GPO/LPS39424					
Bibliographic_Level/Illustrations/Publication status	Food availability (per capita) data system	000556934	53464048		A			Department of Agriculture			A 93.64:			0042-T-12 (online)			2001]-	https://purl.fdlp.gov/GPO/LPS35828					
